<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_ac.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_academic_paper96_ac.txt </filename>
<title> 한국어 관계구문의 통사와 의미구조 </title>
<author> 신효필 </author>
<date> 1994 </date>
<publisher>서울대학교  </publisher>
<kdc>TD715.8  </kdc>
<ddc>TD495.75 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>

1       논제명  논제명/ncn
2       :       :/sp
3       한국어  한국어/ncn
4       관계구문의      관계/ncpa+구문/ncn+의/jcm
5       통사와  통사/ncn+와/jcj
6       의미구조        의미/ncn+구조/ncpa
7       -       -/sd
8       통합문법적      통합/ncpa+문법/ncn+적/xsn
9       접근    접근/ncpa
10      -       -/sd
11      위치정보        위치/ncpa+정보/ncn
12      :       :/sp
13      언어학과        언어학과/ncn
14      박사학위        박사/ncn+학위/ncn
15      논문    논문/ncn
16      ,        ,/sp
17      1993    1993/nnc
18      .        ./sf
19      저자명  저자명/ncn
20      :       :/sp
21      신효필  신효필/nq
22      <       </sl
23      국문    국문/ncn
24      초록    초록/ncn
25              >/sr
26      한국어  한국어/ncn
27      관계구문의      관계/ncpa+구문/ncn+의/jcm
28      통사와  통사/ncn+와/jcj
29      의미구조        의미/ncps+구조/ncpa
30      -       -/sd
31      통합문법적      통합/ncpa+문법/ncn+적/xsn
32      접근    접근/ncpa
33      -       -/sd
34      본      보/px+ㄴ/etm
35      논문은  논문/ncn+은/jxc
36      한국어  한국어/ncn
37      관형구성의      관형구성/ncn+의/jcm
38      일종으로        일종/ncn+으로/jca
39      오래    오래/mag
40      전부터  전/ncn+부터/jca
41      논의되어        논의/ncpa+되/xsv+어/ecx
42      온      오/px+ㄴ/etm
43      관계구성의      관계/ncpa+구성/ncpa+의/jcm
44      통사    통사/ncn
46      의미적인        의미/ncps+적/xsn+이/jp+ㄴ/etm
47      특성을  특성/ncn+을/jco
48      살피고  살피/pvg+고/ecc
49      다시    다시/mag
50      이를    이르/pvg+ㄹ/etm
51      정보기반적      정보/ncn+기반/ncn+적/xsn
52      (       (/sl
53      information      information/f
54      -       -/sd
55      based   based/f
56      )       )/sr
57      이고    이/jp+고/ecs
58      통합문법        통합/ncpa+문법/ncn
59      적인    적/xsn+이/jp+ㄴ/etm
60      머리중심        머리/ncn+중심/ncn
61      구조문법        구조문법/ncn
62      (       (/sl
63      Head   Head/f
64      -       -/sd
65      driven  driven/f
66      Phrase Phrase/f
67      Structure       Structure/f
68      Grammar       Grammar/f
69      :       :/sp
70      HPSG  HPSG/f
71      )       )/sr
72      을      을/jco
73      기초로  기초/ncpa+로/jca
75      하여    하/pvg+어/ecs
76      통사와  통사/ncn+와/jcj
77      의미가  의미/ncps+가/jcs
78      상호작용하는    상호작용/ncpa+하/xsv+는/etm
79      문법    문법/ncn
80      모형    모형/ncn
81      안에서  안/ncn+에서/jca
82      이와    이/npd+와/jct
83      관련된  관련/ncpa+되/xsv+ㄴ/etm
84      여러    여러/mma
85      현상들을        현상/ncn+들/xsn+을/jco
86      기술해보는      기술/ncpa+하/xsv+어/ecx+보/px+는/etm
87      것을    것/nbn+을/jco
88      목표로  목표/ncpa+로/jca
89      삼는다  삼/pvg+는다/ef
90      .        ./sf
91      한국어  한국어/ncn
