<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0006.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0006.txt </filename>
<title>허공의 몸을 찾아서 </title>
<author>석지명  </author>
<date>1993  </date>
<publisher>불교시대사  </publisher>
<kdc>223  </kdc>
<ddc>294.38  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
법구경은	법구경/nq+은/jxc
단순히	단순/ncn+히/xsa
편안해지는	편안/ncps+하/xsm+어/ecx+지/px+는/etm
마음가짐이나	마음가짐/ncn+이나/jcj
행동거지를	행동거지/ncn+를/jco
갖게	갖/pvg+게/ecx
함으로써	하/px+ㅁ/etn+으로써/jca
모든	모든/mma
이론을	이론/ncn+을/jco
떠나	떠나/pvg+아/ecs
실천하게	실천/ncpa+하/xsv+게/ecx
만든다	만들/pvg+ㄴ다/ef
.	./sf
원시경전을	원시/ncn+경전/ncn+을/jco
보면	보/pvg+면/ecs
팔리어	팔리어/nq
한문번역본의	한문/nq+번역/ncn+본/xsn+의/jcm
차이에	차이/ncn+에/jca
대한	대하/pvg+ㄴ/etm
문제가	문제/ncn+가/jcs
생기므로	생기/pvg+므로/ecs
팔리어와	팔리어/nq+와/jca
범어에	범어/nq+에/jca
대해서	대하/pvg+어서/ecs
살펴보자	살피/pvg+어/ecx+보/px+자/ef
.	./sf
그리고	그리고/maj
법구경	법구경/nq
(	(/sl
法句經	法句經/nq
)	)/sr
에	에/jca
대한	대하/pvg+ㄴ/etm
정보를	정보/ncn+를/jco
알아보고	알/pvg+아/ecx+보/px+고/ecc
법구경	법구경/nq
의	의/jcm
예문도	예문/ncn+도/jxc
보도록	보/pvg+도록/ecs
하자	하/pvg+자/ef
.	./sf
법구경	법구경/nq
자체에	자체/ncn+에/jca
대한	대하/pvg+ㄴ/etm
지식을	지식/ncn+을/jco
얻는	얻/pvg+는/etm
데	데/nbn
있어서	있/paa+어서/ecs
경	경/ncn
이름의	이름/ncn+의/jcm
뜻	뜻/ncn
,	,/sp
경의	경/ncn+의/jcm
종류	종류/ncn
,	,/sp
경의	경/ncn+의/jcm
원본	원본/ncn
,	,/sp
경의	경/ncn+의/jcm
대체적	대체/ncn+적/xsn
내용을	내용/ncn+을/jco
간추리고	간추리/pvg+고/ecc
교리	교리/ncn
적으로는	적/xsn+으로/jca+는/jxc
어떤	어떤/mmd
의미가	의미/ncn+가/jcs
있는지도	있/paa+는지/ecs+도/jxc
알아야	알/pvg+아야/ecs
하겠다	하/pvg+겠/ep+다/ef
.	./sf
어느	어느/mmd
경이고	경/ncn+이/jp+고/ecx
중요하지	중요/ncps+하/xsm+지/ecx
않은	않/px+은/etm
것이	것/nbn+이/jcs
없지만	없/paa+지만/ecs
이	이/mmd
글에서	글/ncn+에서/jca
세우는	세우/pvg+는/etm
체제의	체제/ncn+의/jcm
교리와	교리/ncn+와/jct
관계되는	관계/ncpa+되/xsv+는/etm
경에	경/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
자세하게	자세/ncps+하/xsm+게/ecx
다루고	다루/pvg+고/ecc
그렇지	그렇/pad+지/ecx
않을	않/px+을/etm
경우에는	경우/ncn+에/jca+는/jxc
간단하게	간단/ncps+하/xsm+게/ecx
살펴보도록	살피/pvg+어/ecx+보/px+도록/ecs
하겠다	하/pvg+겠/ep+다/ef
.	./sf
지금	지금/ncn
원시경의	원시/ncn+경/ncn+의/jcm
하나인	하나/nnc+이/jp+ㄴ/etm
법구경	법구경/nq
에	에/jca
대해서	대하/pvg+어서/ecs
처음	처음/ncn
살펴야	살피/pvg+어야/ecs
하는데	하/pvg+는데/ecs
원시경전을	원시/ncn+경전/ncn+을/jco
보면	보/pvg+면/ecs
팔리어본	팔리어/nq+본/xsn
경전과	경전/ncn+과/jcj
범어본	범어/nq+본/xsn
경전이	경전/ncn+이/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf
그래서	그래서/maj
팔리어와	팔리어/nq+와/jcj
범어	범어/nq
,	,/sp
그리고	그리고/maj
이	이/mmd
두	두/nnc
언어와	언어/ncn+와/jcj
불경과의	불경/ncn+과/jct+의/jcm
관계에	관계/ncn+에/jca
대해	대하/pvg+어/ecs
간략히	간략/ncn+히/xsa
생각해	생각/ncpa+하/xsv+어/ecx
보고	보/px+고/ecx
넘어가도록	넘/pvg+어/ecs+가/pvg+도록/ecs
하겠다	하/pvg+겠/ep+다/ef
.	./sf
현재의	현재/ncn+의/jcm
팔리어가	팔리어/nq+가/jcs
남방불교의	남방/ncn+불교/ncn+의/jcm
성전용어가	성전/ncn+용어/ncn+가/jcc
되기까지	되/pvg+기/etn+까지/jxc
2천여	2/nnc+천/nnc+여/xsn
년의	년/nbu+의/jcm
세월을	세월/ncn+을/jco
거치면서	거치/pvg+면서/ecs
많은	많/paa+은/etm
발전단계를	발전/ncn+단계/ncn+를/jco
거쳤으리라고	거치/pvg+었/ep+으리라/ef+고/ecs
추측된다	추측/ncpa+되/xsv+ㄴ다/ef
.	./sf
팔리	팔리/nq
(	(/sl
Pali	Pali/f
)	)/sr
라는	라는/jp
말은	말/ncn+은/jxc
본래	본래/mag
선	선/ncn
(	(/sl
線	線/ncn
)	)/sr
이나	이나/jcj
규정의	규정/ncn+의/jcm
뜻이었지만	뜻/ncn+이/jp+었/ep+지만/ecs
성전	성전/ncn
(	(/sl
聖典	聖典/ncn
)	)/sr
이라는	이/jp+라는/ecs
뜻으로	뜻/ncn+으로/jca
변했다	변하/pvg+었/ep+다/ef
.	./sf
팔리어의	팔리어/nq+의/jcm
원형을	원형/ncn+을/jco
따지는	따지/pvg+는/jxc
문제는	문제/ncn+는/jxc
부처님	부처/ncn+님/xsn
열반	열반/ncn
후	후/ncn
,	,/sp
제1회	제/xp+1/nno+회/nbu
결집	결집/ncn
당시에	당시/ncn+에/jca
어떤	어떤/mmd
언어를	언어/ncn+를/jco
사용했느냐의	사용/ncpa+하/xsv+었/ep+느냐/ep+의/jcm
문제와	문제/ncn+와/jct
관계가	관계/ncn+가/jcc
있다	있/paa+다/ef
.	./sf
제1회	제/xp+1/nno+회/nbu
결집	결집/ncn
당시에는	당시/ncn+에는/jca
마가다국이	마가다국/nq+이/jcs
강국이었으므로	강국/ncn+이/jp+었/ep+으므로/ecs
마가다국의	마가다국/nq+의/jcm
방언을	방언/ncn+을/jco
팔리어	팔리어/nq
원형으로	원형/ncn+으로/jca
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
그	그/mmd
결집	결집/ncn
당시보다	당시/ncn+보다/jca
약	약/mma
100	100/nnc
년	년/nbu
전에	전/ncn+에/jca
세력이	세력/ncn+이/jcs
있었던	있/paa+었/ep+던/etm
코살라국의	코살라국/nq+의/jcm
방언도	방언/ncn+도/jxc
팔리어	팔리어/nq
원형으로	원형/ncn+으로/jca
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
인도의	인도/nq+의/jcm
어떤	어떤/mmd
방언에서	방언/ncn+에서/jca
유래되었든	유래/ncpa+되/xsv+었/ep+든/ecs
상관없이	상관/ncn+없/paa+이/xsa
팔리어가	팔리어/nq+가/jcs
처음부터	처음/ncn+부터/jxc
현재의	현재/ncn+의/jcm
형태로	형태/ncn+로/jca
다듬어진	다듬/pvg+어/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
아니고	아니/paa+고/ecs
많은	많/paa+은/etm
단계의	단계/ncn+의/jcm
변화와	변화/ncn+와/jcj
발전을	발전/ncn+을/jco
겪어	겪/pvg+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
인도방언	인도/nq+방언/ncn
중의	중/nbn+의/jcm
하나가	하나/nnc+가/jcs
불교성전어로	불교/ncn+성전/ncn+어/xsn+로/jca
된	되/pvg+ㄴ/etm
이	이/mmd
팔리어는	팔리어/nq+는/jxc
범어에	범어/nq+에/jca
비하여	비하/pvg+여/ecs
음조가	음조/ncn+가/jcs
적고	적/paa+고/ecc
문법도	문법/ncn+도/jxc
간단하다	간단/ncps+하/xsm+다/ef
.	./sf
범어는	범어/nq+는/jxc
고대인도의	고대/ncn+인도/nq+의/jcm
표준	표준/ncn
문장어이다	문장/ncn+어/xsn+이/jp+다/ep
.	./sf
범어도	범어/nq+도/jxc
높은	높/paa+은/etm
언어와	언어/ncn+와/jcj
속스러운	속스럽/paa+ㄴ/etm
언어로	언어/ncn+로/jca
나뉘는데	나뉘/pvg+는데/ecs
높은	높/paa+은/etm
언어는	언어/ncn+는/jxc
삼스크리타	삼스크리타/nq
(	(/sl
samskrta	samskrta/f
)	)/sr
이고	이고/jcj
속어는	속어/ncn+는/jxc
프라크리타	프라크리타/nq
(	(/sl
prakrta	prakrta/f
)	)/sr
이다	이/jp+다/ef
.	./sf
인도유럽의	인도/nq+유럽/nq+의/jcm
대부분	대부분/ncn
언어들이	언어/ncn+들/xsn+이/jcs
이	이/mmd
범어에	범어/nq+에/jca
뿌리를	뿌리/ncn+를/jco
두고	두/pvg+고/ecx
있다	있/paa+다/ef
.	./sf
범어라고	범어/nq+라고/ecs
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
인도의	인도/nq+의/jcm
조물신	조물신/ncn
(	(/sl
造物神	造物神/ncn
)	)/sr
인	이/jp+ㄴ/etm
범천이	범천/nq+이/jcs
만든	만들/pvg+ㄴ/etm
말이라는	말/ncn+이/jp+라는/etm
데서	데/nbn+서/jca
생긴	생기/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
한	한/nnc
비범한	비범/ncps+하/xsm+ㄴ/etm
시인이	시인/ncn+이/jcs
이	이/mmd
범어를	범어/nq+를/jco
사용하여	사용/ncpa+하/xsv+여/ecs
기록한	기록/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
베다이다	베다/nq+이/jp+다/ef
.	./sf
기원전	기원전/ncn
4	4/nnc
세기경에	세기/nbu+경/xsn+에/jca
범어	범어/nq
문법학자인	문법/ncn+학자/ncn+이/jp+ㄴ/etm
파니니	파니니/nq
(	(/sl
Panini	Panini/f
)	)/sr
가	가/jcs
당시	당시/ncn
지식계급의	지식/ncn+계급/ncn+의/jcm
언어를	언어/ncn+를/jco
기초로	기초/ncn+로/jca
문법책을	문법/ncn+책/ncn+을/jco
만들었다	만들/pvg+었/ep+다/ef
.	./sf
파니니에	파니니/nq+에/jca
의해서	의하/pvg+어서/ecs
범어의	범어/nq+의/jcm
문법이	문법/ncn+이/jcs
자리를	자리/ncn+를/jco
굳힘에	굳히/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
이	이/mmd
범어가	범어/nq+가/jcs
종교	종교/ncn
.	./sf
철학	철학/ncn
.	./sf
문학의	문학/ncn+의/jcm
용어로	용어/ncn+로/jca
사용되어	사용/ncpa+되/xsv+어/ecx
있다	있/paa+다/ef
.	./sf
범어라고	범어/nq+라고/jxc
하더라도	하/pvg+더/ep+라도/ecs
문법이	문법/ncn+이/jcs
체계화되기	체계/ncn+화/xsn+되/xsv+기/etn
이전의	이전/ncn+의/jcm
베다어와	베다어/nq+와/jcj
문법이	문법/ncn+이/jxc
체계화된	체계/ncn+화/xsn+되/xsv+ㄴ/etm
이후의	이후/ncn+의/jcm
산스크리트어로	산스크리트어/nq+로/jca
구분된다	구분/ncpa+되/xsv+ㄴ다/ef
.	./sf
한편	한편/maj
,	,/sp
인도의	인도/nq+의/jcm
민간인들	민간/ncn+인/xsn+들/xsn
사이에	사이/ncn+에/jca
속어였던	속어/ncn+이/jp+었/ep+던/etm
프라크리타	프라크리타/nq
(	(/sl
prakrta	prakrta/f
)	)/sr
