<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0009.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0009.txt </filename>
<title>임상의학의 탄생  </title>
<author>미셸 푸꼬 저 ; 홍성민 역  </author>
<date>1993  </date>
<publisher>인간사랑  </publisher>
<kdc>166.8  </kdc>
<ddc>194  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제목	제목/ncn
:	:/sp
임상의학의	임상/ncn+의학/ncn+의/jcm
탄생	탄생/ncn
1	1/nno
공간화와	공간/ncn+화/xsn+와/jct
분류하기	분류/ncpa+하/xsv+기/xsn
지금까지	지금/ncn+까지/jxc
인간의	인간/ncn+의/jcm
육체는	육체/ncn+는/jxc
질병의	질병/ncn+의/jcm
근원과	근원/ncn+과/jcj
배치를	배치/ncn+를/jco
결정하는	결정/ncpa+하/xsv+는/etm
하나의	하나/nnc+의/jcm
공간이었다	공간/ncn+이/jp+었/ep+다/ef
.	./sf
신체의	신체/ncn+의/jcm
선	선/ncn
(	(/sl
lignes	lignes/f
),	)/sr+,/sp
용적	용적/ncn
(	(/sl
volumes	volumes/f
),	),/sr
표면	표면/ncn
(	(/sl
surfaces	surfaces/f
)	)/sr
등이	등/nbn+이/jp
나누어지는	나누/pvg+어/ecx+지/px+는/etm
방식은	방식/ncn+은/jxc
'	'/sl
인체해부의	인체/ncn+해부/ncn+의/jcm
지도책	지도/ncn+책/xsn
'(	'(/sl
atlas	atlas/f
anatomique	anatomique/f
)	)/sr
에	에/jca
따라	따르/pvg+아/ecs
지현적으로	지현/ncn+적/xsn+으로/jca
이루어지는	이루/pvg+어/ecx+지/px+는/etm
것이	것/nbn+이/jp
보통이다	보통/ncn+이/jp+다/ef
.	./sf
그러나	그러나/maj
이것이	이것/npd+이/jcs
가장	가장/mag
올바르고	올바르/paa+고/jcc
가장	가장/mag
근본적인	근본/ncn+적/xsn+이/jp+ㄴ/etm
방법이라고	방법/ncn+이/jp+라/ef+고/jcr
말할	말/ncpa+하/xsm+ㄹ/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
말하자면	말/ncpa+하/xsm+자면/ecs
,	,/sp
우리	우리/npp
눈에	눈/ncn+에/jca
익숙해져	익숙/ncps+하/xsm+어/ecx+지/px+어/ecx
있는	있/px+는/etm
그러한	그러하/pad+ㄴ/etm
분류는	분류/ncn+는/jxc
의사들이	의사/ncn+들/xsn+이/jcs
질병을	질병/ncn+을/jco
공간화시키는	공간/ncn+화/xsn+시키/xsv+는/jxc
하나의	하나/nnc+의/jcm
방법에	방법/ncn+에/jca
불과하다는	불과/ncps+하/xsm+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
우리는	우리/npp+는/jxc
얼마든지	얼마/ncn+든지/jxc
질병을	질병/ncn+을/jco
전혀	전혀/mag
다른	다르/paa+ㄴ/etm
방식으로	방식/ncn+으로/jca
구분하는	구분/ncpa+하/xsv+는/etm
가능성도	가능/ncn+성/xsn+도/jxc
생각해	생각/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
