<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0011.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0011.txt </filename>
<title>선과 기독교 신비주의  </title>
<author>윌리암 존스톤 저 ; 이원석 역  </author>
<date>1993  </date>
<publisher>대원정사  </publisher>
<kdc>231.93  </kdc>
<ddc>261.24  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1	1/nno
.	./sf
현대인과	현대/ncn+인/xsn+과/jcj
선	선/ncn
(	(/sl
禪	禪/ncn
)	)/sr
선	선/ncn
(	(/sl
禪	禪/ncn
)	)/sr
명상에	명상/ncn+에/jca
대한	대하/pvg+ㄴ/etm
현상론적	현상/ncn+론/xsn+적/xsn
연구는	연구/ncn+는/jxc
최근에	최근/ncn+에/jca
들어서야	들/pvg+어서야/ecs
가능하게	가능/ncps+하/xsm+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
이제	이제/ncn
선사	선사/ncn
(	(/sl
禪師	禪師/ncn
)	)/sr
와	와/jcj
그	그/mmd
제자들은	제자/ncn+들/xsn+은/jxc
그들의	그/npp+들/xsn+의/jcm
내적	내적/ncn
삶에	삶/ncn+에/jca
대한	대하/pvg+ㄴ/etm
친밀한	친밀/ncps+하/xsm+ㄴ/etm
기록을	기록/ncn+을/jco
통하여	통하/pvg+어/ecs
우리들에게	우리/npp+들/xsn+에게/jca
깨달음에서	깨달음/ncn
절정을	절정/ncn+을/jco
이루는	이루/pvg+는/etm
내면의	내면/ncn+의/jcm
여정에	여정/ncn+에/jca
대한	대하/pvg+ㄴ/etm
정확한	정확/ncps+하/xsm+ㄴ/etm
기술을	기술/ncn+을/jco
제공하기	제공/ncpa+하/xsv+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
모두가	모두/ncn+가/jcs
그렇지는	그렇/pad+지/ecx+는/jxc
않다	않/px+다/ef
.	./sf
전통적인	전통/ncn+적/xsn+이/jp+ㄴ/etm
선	선/ncn
(	(/sl
禪	禪/ncn
)	)/sr
본래의	본래/ncn+의/jcm
영역은	영역/ncn+은/jxc
여전히	여전/ncn+히/xsa
침묵을	침묵/ncn+을/jco
지키고	지키/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그들의	그/npp+들/xsn+의/jcm
문필작품	문필/ncn+작품/ncn
[	[/sl
어록	어록/ncn
]	]/sr
은	은/jxc
역설적인	역설/ncn+적/xsn+이/jp+ㄴ/etm
재치와	재치/ncn+와/jcj
흥미있는	흥미/ncn+있/paa+는/etm
일화로	일화/ncn+로/jca
가득차	가득/mag+차/pvg+아/ecx
있지만	있/px+지만/ecs
,	,/sp
깨달음의	깨달음/ncn+의/jcm
내적	내적/ncn
과정에	과정/ncn+에/jca
대한	대하/pvg+ㄴ/etm
현상론적	현상/ncn+론/xsn+적/xsn
상세한	상세/ncps+하/xsm+ㄴ/etm
기술은	기술/ncn+은/jxc
전혀	전혀/mag
언급되어	언급/ncpa+되/xsv+어/ecx
있지	있/px+지/ecx
않다	않/px+다/ef
.	./sf
"	"/sl
아는	알/pvg+ㄴ/etm
자는	자/nbn+는/jxc
말하지	말/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
,	,/sp
말하는	말/ncpa+하/xsv+는/etm
자는	자/nbn+는/jxc
알지	알/pvg+지/ecx
못한다	못하/px+ㄴ다/ef
"	"/sr
는	는/jxc
말씀처럼	말씀/ncn+처럼/jca
마음과	마음/ncn+과/jcj
마음으로	마음/ncn+으로/jca
이어지던	잇/pvg+어/ecx+지/px+던/etm
가섭	가섭/ncn
(	(/sl
迦葉	迦葉/ncn
)	)/sr
의	의/jcm
침묵을	침묵/ncn+을/jco
이어가고	잇/pvg+어/ecx+가/px+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
이러한	이러하/pad+ㄴ/etm
침묵이	침묵/ncn+이/jcs
어느	어느/mmd
정도	정도/ncn
말문을	말문/ncn+을/jco
개방한	개방/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
바로	바로/mma
스즈끼다이세쯔	스즈끼다이세쯔/nq
박사에	박사/ncn+에/jca
의해서다	의하/pvg+어서/ecs
.	./sf
그는	그/npp+는/jxc
달변의	달변/ncn+의/jcm
역설과	역설/ncn+과/jcj
유창한	유창/ncps+하/xsm
산문으로	산문/ncn+으로/jca
그	그/mmd
선의	선/ncn+의/jcm
세계를	세계/ncn+를/jco
표현한다	표현/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
그의	그/npp+의/jcm
필설에	필설/ncn+에/jca
깨달음과	깨달음/ncn+과/jcj
그	그/mmd
예비적	예비/ncn+적/xsn
단계에	단계/ncn+에/jca
대한	대하/pvg+ㄴ/etm
현상론적	현상/ncn+론/xsn+적/xsn
설명은	설명/ncn+은/jxc
나타나지	나타나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
때문에	때문에/maj
그의	그/npp+의/jcm
비평가들에게	비평/ncn+가/xsn+들/xsn+에게/jca
결국	결국/mag
그가	그/npp+가/jcs
깨달음의	깨달음/ncn+의/jcm
최고	최고/ncn
순간에	순간/ncn+에/jca
이르렀는가를	이르/pvg+렀/ep+는가/ef+ㄹ/etm
물어본다면	묻/pvg+어/ecx+보/px+ㄴ다면/ecs
그들은	그/npp+들/xsn+은/jxc
그의	그/npp+의/jcm
체험의	체험/ncn+의/jcm
깊이에	깊이/ncn+에/jca
대해서	대하/pvg+어서/ecs
가설적인	가설/ncn+적/xsn+이/jp+ㄴ/etm
의문을	의문/ncn+을/jco
표현했을	표현/ncpa+하/xsv+었/ep+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그렇지만	그렇지만/maj
스즈끼	스즈끼/nq
박사가	박사/ncn+가/jcs
이루어	이루/pvg+어/ecx
놓은	놓/px+ㄴ/etm
분명한	분명/ncps+하/xsm+ㄴ/etm
업적은	업적/ncn+은/jxc
선	선/ncn
(	(/sl
禪	禪/ncn
)	)/sr
의	의/jcm
연구와	연구/ncn+와/jcj
수행에	수행/ncn+에/jca
세계적	세계/ncn+적/xsn
관심을	관심/ncn+을/jco
불러일으켰다는	부르/pvg+어/ecx+일으키/pvg+었/ep+다는/etm
사실이다	사실/ncn+이/jp+다/ef
.	./sf
그	그/mmd
결과	결과/ncn
수많은	수많/paa+ㄴ/etm
서양인들이	서양/ncn+인/xsn+들/xsn+이/jcs
불안과	불안/ncn+과/jcj
번민을	번민/ncn+을/jco
다스리고	다스리/pvg+고/ecc
존재의	존재/ncn+의/jcm
수수께끼를	수수께끼/ncn+를/jco
풀어	풀/pvg+어/ecx
줄	주/px+ㄹ/etm
깨달음을	깨달음/ncn+을/jco
찾아	찾/pvg+아/ecs
동양으로	동양/ncn+으로/jca
향하는	향하/pvg+는/etm
구도의	구도/ncn+의/jcm
행렬을	행렬/ncn+을/jco
만들어	만들/pvg+어/ecx
내게	내/px+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
외국의	외국/ncn+의/jcm
구도자들은	구도/ncn+자/xsn+들/xsn+은/jxc
선	선/ncn
(	(/sl
禪	禪/ncn
)	)/sr
의	의/jcm
고전적인	고전/ncn+적/xsn+이/jp+ㄴ/etm
침묵의	침묵/ncn+의/jcm
태도에	태도/ncn+에/jca
만족할	만족/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
이윽고	이윽고/mag
선에	선/ncn+에/jca
관한	관하/pvg+ㄴ/etm
기사와	기사/ncn+와/jcj
선	선/ncn
관계	관계/ncn
