<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0016.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0016.txt </filename>
<title>창세기 강해집  </title>
<author>박오근  </author>
<date>1993  </date>
<publisher>크리스찬비젼하우스  </publisher>
<kdc>233.211  </kdc>
<ddc>222.11  </ddc>
<typist>  </typist> 
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1	1/nno
.	./sf
하나님의	하나님/nq+의/jcm
축복된	축복/ncpa+되/xsv+ㄴ/etm
구속의	구속/ncn+의/jcm
언약	언약/ncn
창세기	창세기/nq
3	3/nno
:	:/sp
11	11/nno
가라사대	갈/pvg+아사대/ecs
누가	누가/npd
너의	너/npp+의/jcm
벗었음을	벗/pvg+었/ep+ㅁ/etn+을/jco
네게	네/npd+게/jca
고하였느냐	고하/pvg+었/ep+느냐/ef
너더러	너/npp+더러/jca
먹지	먹/pvg+지/ecx
말라	말/px+라/ef
명한	명하/pvg+ㄴ/etm
그	그/mmd
나무실과를	나무/ncn+실과/ncn+를/jco
네가	네/npp+가/jcs
먹었느냐	먹/pvg+었/ep+느냐/ef
하나님께서	하나님/nq+께서/jcs
사람을	사람/ncn+을/jco
찾으심은	찾/pvg+으시/ep+ㅁ/etn+은/jxc
사랑의	사랑/ncn+의/jcm
동기요	동기/ncn+요/ecc
,	,/sp
공의로우신	공의/ncps+롭/xsm+으시/ep+ㄴ/etm
처리	처리/ncn
즉	즉/mag
죄를	죄/ncn+를/jco
심판하여	심판/ncpa+하/xsv+어/ecs
죄에서	죄/ncn+에서/jca
자유케	자유/ncn+케/ecx
해주고자	하/pvg+어/ecx+주/px+고자/ecs
하는	하/pvg+는/etm
것임을	것/nbn+이/jp++ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있읍니다	있/paa+ㅂ니다/ef
.	./sf
죄는	죄/ncn+는/jxc
심판되기	심판/ncpa+되/xsv+기/etn
전에는	전/ncn+에/jca+는/jxc
가책과	가책/ncn+과/jcj
두려움에서	두렵/paa+ㅁ/xsn+에서/jca
해방될	해방/ncpa+되/xsv+ㄹ/etm
수는	수/nbn+는/jxc
없는	없/paa+는/etm
존재입니다	존재/ncn+이/jp++ㅂ니다/ef
.	./sf
히브리서	히브리/nq+서/jca
9	9/nno
장	장/nbu
27	27/nno
절에는	절/nbu+에/jca+는/jxc
"	"/sl
한번	한/nnc+번/nbn
나고	나/pvg+고/ecc
죽는	죽/pvg+는/etm
것은	것/nbn+은/jxc
사람에게	사람/ncn+에게/jca
정하신	정하/pvg+시/ep+ㄴ/etm
것이요	것/nbn+이요/ef
.	./sf
그후에는	그/mmd+후/ncn+에/jca+는/jxc
심판이	심판/ncn+이/jcs
있으리라	있/paa+으리라/ef
"	"/sr
고	고/jcr
선포하고	선포/ncpa+하/xsv+고/ecx
있읍니다	있/px+ㅂ니다/ef
.	./sf
하나님의	하나님/nq+의/jcm
심판의	심판/ncn+의/jcm
과정을	과정/ncn+을/jco
보면	보/pvg+면/ecs
죄는	죄/ncn+는/jxc
먼저	먼저/mag
사람으로	사람/ncn+으로/jca
자백하게	자백/ncpa+하/xsv+게/ecx
만들고	만들/pvg+고/ecc
그	그/mmd
죄를	죄/ncn+를/jco
확정짓고	확정/ncn+짓/pvg+고/ecc
그	그/mmd
다음에	다음/ncn+에/jca
예수님의	예수/nq+님/xsn+의/jcm
오신	오/pvg+시/ep+ㄴ/etm
목적인	목적/ncn+이/jp++ㄴ/etm
죄인의	죄인/ncn+의/jcm
구원에	구원/ncn+에/jca
대한	대하/pvg+ㄴ/etm
복음을	복음/ncn+을/jco
적용시켜서	적용/ncpa+시키/xsv+어서/ecs
구원을	구원/ncn+을/jco
얻게	얻/pvg+게/ecx
하는	하/px+는/etm
것입니다	것/nbn+이/jp++ㅂ니다/ef
.	./sf
인간이	인간/ncn+이/jcs
의인이라면	의인/ncn+이/jp++라면/ecs
예수님과	예수/nq+님/xsn+과/jct
관계가	관계/ncn+가/jcs
없는	없/paa+는/etm
것입니다	것/nbn+이/jp++ㅂ니다/ef
.	./sf
누가복음	누가복음/nq
18	18/nno
장	장/nbu
9	9/nno
절	절/ncn
이후에	이후/ncn+에/jca
나타나는	나타나/pvg+는/etm
바리새	바리새/nq
교인의	교인/ncn+의/jcm
자기	자기/npp
자랑은	자랑/ncn+은/jxc
예수님과	예수/nq+님/xsn+과/jct
아무런	아무렇/pad+ㄴ/etm
관계가	관계/ncn+가/jcs
없는	없/paa+는/etm
것입니다	것/nbn+이/jp++ㅂ니다/ef
.	./sf
아담의	아담/nq+의/jcm
죄의	죄/ncn+의/jcm
자복을	자복/ncn+을/jco
들어	들/pvg+어/ecx
보십시오	보/px+십시오/ef
.	./sf
"	"/sl
내가	내/npp+가/jcs
동산에서	동산/ncn+에서/jca
하나님의	하나님/nq+의/jcm
소리를	소리/ncn+를/jco
듣고	듣/pvg+고/ecc
내가	내/npp+가/jcs
벗었으므로	벗/pvg+었/ep+으므로/ecs
두려워하여	두렵/paa+어/ecx+하/px+어/ecs
숨었나이다	숨/pvg+었/ep+나이다/ef
.	./sf
"	"/sr
(	(/sl
창	창/nq
3	3/nno
:	:/sp
10	10/nno
)	)/sr
자기의	자기/npp+의/jcm
벌거벗음	벌거벗/pvg+ㅁ/etn
곧	곧/mag
자기의	자기/npp+의/jcm
죄의	죄/ncn+의/jcm
결과를	결과/ncn+를/jco
하나님	하나님/nq
앞에	앞/ncn+에/jca
자복하는	자복/ncpa+하/xsv+는/etm
사실은	사실/ncn+은/jxc
매우	매우/mag
축복된	축복/ncpa+되/xsv+ㄴ/etm
일입니다	일/ncn+이/jp++ㅂ니다/ef
.	./sf
그	그/mmd
자백은	자백/ncn+은/jxc
언제	언제/mag
이루어지는	이루/pvg+어/ecx+지/px+는/etm
것입니까	것/nbn+이/jp++ㅂ니까/ef
?	?/sf
하나님의	하나님/nq+의/jcm
음성을	음성/ncn+을/jco
들음으로입니다	들/pvg+ㅁ/etn+으로/jca+이/jp++ㅂ니다/ef
.	./sf
사람들이	사람/ncn+들/xsn+이/jcs
하나님의	하나님/nq+의/jcm
음성이	음성/ncn+이/jcs
나타날	나타나/pvg+ㄹ/etm
때	때/ncn
자기의	자기/npp+의/jcm
초라한	초라하/paa+ㄴ/etm
죄인의	죄인/ncn+의/jcm
모습을	모습/ncn+을/jco
고백하는	고백/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
매우	매우/mag
축복된	축복/ncpa+되/xsv+ㄴ/etm
일이라고	일/ncn+이/jp++라고/jcr
아니	아니/paa
할	하/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
것이	것/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
"	"/sl
자기의	자기/npp+의/jcm
죄를	죄/ncn+를/jco
숨기는	숨기/pvg+는/etm
자는	자/nbn+는/jxc
형통치	형통/ncpa+하/xsv+지/ecx
못할	못하/px+ㄹ/etm
것	것/nbn
"	"/sr
을	을/jco
성경은	성경/ncn+은/jxc
말하고	말/ncpa+하/xsv+고/ecx
있읍니다	있/px+ㅂ니다/ef
.	./sf
죄를	죄/ncn+를/jco
자복하고	자복/ncpa+하/xsv+고/ecc
바들바들	바들바들/mag
떠는	떨/pvg+는/etm
아담	아담/nq
하와에게	하와/nq+에게/jca
하나님은	하나님/nq+은/jxc
긍휼을	긍휼/ncn+을/jco
베푸시기	베풀/pvg+시/ep+기/etn
이전에	이전/ncn+에/jca
먼저	먼저/mag
죄를	죄/ncn+를/jco
심판하시는	심판/ncpa+하/xsv+시/ep+는/etm
것을	것/nbn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
그	그/mmd
심판은	심판/ncn+은/jxc
공의로우십니다	공의/ncps+롭/xsm+으시/ep+ㅂ니다/ef
.	./sf
하와에게는	하와/nq+에게/jca+는/jxc
해산의	해산/ncn+의/jcm
고통을	고통/ncn+을/jco
주셨고	주/pvg+셨/ep+고/ecc
아담에게는	아담/nq+에게/jca+는/jxc
이마에	이마/ncn+에/jca
계속	계속/mag
땀을	땀/ncn+을/jco
흘려야	흘리/pvg+어야/ecs
살아가되	살/pvg+아/ecx+가/px+되/ecs
가시와	가시/ncn+와/jcj
엉겅퀴가	엉겅퀴/ncn+가/jcs
삶을	삶/ncn+을/jco
가로막으므로	가로막/pvg+으므로/ecs
자기로	자기/npp+로/jca
말미암아	말미암아/mag
저주받은	저주/ncn+받/pvg+ㄴ/etm
땅을	땅/ncn+을/jco
통한	통하/pvg+ㄴ/etm
고통을	고통/ncn+을/jco
받으며	받/pvg+으며/ecs
살다가	살/pvg+다가/ecs
필경은	필경/mag+은/jxc
"	"/sl
흙으로	흙/ncn+으로/jca
돌아가라	돌/pvg+아/ecs+가/pvg+라/ef
"	"/sr
라는	라/jcr+는/jxc
선고를	선고/ncn+를/jco
받았읍니다	받/pvg+았/ep+ㅂ니다/ef
.	./sf
사탄은	사탄/nq+은/jxc
여인의	여인/ncn+의/jcm
후손으로	후손/ncn+으로/jca
말미암아	말미암아/mag
멸망할	멸망/ncpa+하/xsv+ㄹ/etm
것을	것/nbn+을/jco
선고하셨읍니다	선고/ncpa+하/xsv+셨/ep+ㅂ니다/ef
.	./sf
아담에게	아담/nq+에게/jca
죽음을	죽/pvg+ㅁ/xsn+을/jco
,	,/sp
즉	즉/mag
