<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0024.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0024.txt </filename>
<title>문학비평론  </title>
<author>홍문표  </author>
<date>1993  </date>
<publisher>양문각  </publisher>
<kdc>809  </kdc>
<ddc>801.95  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1.	1/nno+./sf
비평의	비평/ncn+의/jcm
개념	개념/ncn
(1	(/sl+1/nno
)	)/sr
비평의	비평/ncn+의/jcm
어의	어의/ncn
비평	비평/ncn
(criticism	(/sl+criticism/f
)이라는	)/sr+이/jp+라/ef+는/etm
말은	말/ncn+은/jxc
원래	원래/ncn
라틴어의	라틴어/nq+의/jcm
criticus에서	criticus/f+에서/jca
온	오/pvg+ㄴ/etm
말로	말/ncn+로/jca
이는	이/npd+는/jxc
재판관	재판/ncn+관/xsn
,	,/sp
심판	심판/ncn
,	,/sp
또는	또는/maj
감정가	감정/ncn+가/xsn
,	,/sp
심사원이라는	심사/ncn+원/xsn+이/jp+라/ef+는/etm
뜻을	뜻/ncn+을/jco
가지고	가지/pvg+고/ecx
있다.	있/px+다/ef+./sf
또한	또한/maj
희랍어는	희랍어/nq+는/jxc
krinein이라는	krinein/f+이/jp+라/ef+는/etm
말이	말/ncn+이/jcs
있는데	있/paa+는데/ecs
이는	이/npd+는/jxc
분할	분할/ncn
,	,/sp
구분	구분/ncn
또는	또는/maj
결정하다	결정/ncpa+하/xsv+다/ef
,	,/sp
식별하다	식별/ncpa+하/xsv+다/ef
,	,/sp
권위	권위/ncn
있는	있/paa+는/etm
의견을	의견/ncn+을/jco
말하다라는	말/ncpa+하/xsv+다/ef+라/jcr+는/etm
뜻이다.	뜻/ncn+이/jp+다/ef+./sf
따라서	따라서/maj
문학비평이란	문학/ncn+비평/ncn+이/jp+란/jxc
문학작품에	문학/ncn+작품/ncn+에/jca
대하여	대하/pvg+어/ecs
좋은	좋/paa+은/etm
점	점/ncn
,	,/sp
잘못된	잘못/ncpa+되/xsv+ㄴ/etm
점	점/ncn
,	,/sp
작품의	작품/ncn+의/jcm
가치	가치/ncn
,	,/sp
작품의	작품/ncn+의/jcm
방법	방법/ncn
,	,/sp
작품의	작품/ncn+의/jcm
본질	본질/ncn
등을	등/nbn+을/jco
판단하고	판단/ncpa+하/xsv+고/ecc
해석하는	해석/ncpa+하/xsv+는/etm
넓은	넓/paa+은/etm
의미에서의	의미/ncn+에서/jca+의/jcm
독서행위라고	독서/ncn+행위/ncn+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
한편	한편/maj
비평의	비평/ncn+의/jcm
