<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0054.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0054.txt </filename>
<title>한국경제,  설 땅이 없다 : 일본, 동남아연합, 한국경제의 선택과 전략</title>
<author>이경규 [외]  </author>
<date>1993  </date>
<publisher>중앙일보사  </publisher>
<kdc>320.911  </kdc>
<ddc>330.9519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
동남아서	동남아/nq+서/jca
철저히	철저/ncn+히/xsa
고립되고	고립/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
일본과	일본/nq+과/jcj
동남아가	동남아/nq+가/jcs
협공을	협공/ncn+을/jco
가해오고	가하/pvg+어/ecx+오/px+고/ecx
있다	있/px+다/ef
.	./sf
일본의	일본/nq+의/jcm
기술	기술/ncn
자본과	자본/ncn+과/jcj
동남아의	동남아/nq+의/jcm
풍부한	풍부/ncps+하/xsm+ㄴ/etm
노동력이	노동/ncn+력/xsn+이/jcs
함께	함께/mag
어울려	어울리/pvg+어/ecs
한국경제를	한국/nq+경제/ncn+를/jco
압박해오고	압박/ncpa+하/xsv+어/ecx+오/px+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
동남아	동남아/nq
국가들이	국가/ncn+들/xsn+이/jcs
발전	발전/ncn
의지가	의지/ncn+가/jcs
날로	날로/mag
왕성해지고	왕성/ncps+하/xsm+어/ecx+지/px+고/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
물론이고	물론/ncn+이/jp+고/ecc
일본의	일본/nq+의/jcm
기관차	기관/ncn+차/ncn
역활로	역활/ncn+로/jca
그	그/mmd
속도를	속도/ncn+를/jco
더해가고	더하/pvg+어/ecx+가/px+고/ecx
있다	있/px+다/ef
.	./sf
"	"/sl
이	이/mmd
나라	나라/ncn
기업들이	기업/ncn+들/xsn+이/jcs
어떻게	어떻/pad+게/ecx
하면	하/px+면/ecs
일본시장에	일본/nq+시장/ncn+에/jca
수출을	수출/ncn+을/jco
많이	많/paa+이/xsa
할	하/pvg+ㄹ/etm
수	수/nbn
있을까를	있/pvg+을까/ef+를/jco
찾아내고	찾/pvg+아/ecx+내/px+고/ecc
도와주는	돕/pvg+아/ecx+주/px+는/etm
것이	것/nbn+이/jcs
우리의	우리/npp+의/jcm
주된	주되/pvg+ㄴ/etm
임무입니다	임무/ncn+이/jp+ㅂ니다/ef
."	./sf+"/sl
동남아에	동남아/nq+에/jca
나와	나오/pvg+아/ecx
있는	있/px+는/etm
JETRO	JETRO/f
(	(/sl
일본무역진흥회	일본무역진흥회/nq
)	)/sr
관계자들의	관계/ncn+자/xsn+들/xsn+의/jcm
한결같은	한결같/paa+은/etm
설명이다	설명/ncn+이/jp+다/ef
.	./sf
막대한	막대/ncps+하/xsm+ㄴ/etm
예산을	예산/ncn+을/jco
쓰고	쓰/pvg+고/ecx
있는	있/px+는/etm
이들이	이/npp+들/xsn+이/jcs
얼핏	얼핏/mag
봐서는	보/pvg+아서/ecs+는/jxc
일본을	일본/nq+을/jco
위해서	위하/pvg+어서/ecs
일을	일/ncn+을/jco
하는	하/pvg+는/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
,	,/sp
현지	현지/ncn
정부와	정부/ncn+와/jcj
기업을	기업/ncn+을/jco
위해서	위하/pvg+어서/ecs
일을	일/ncn+을/jco
하는	하/pvg+는/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
분간하기	분간/ncpa+하/xsv+기/etn
어려울	어렵/paa+ㄹ/etm
지경이다	지경/ncn+이/jp+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
제품들이	제품/ncn+들/xsn+이/jcs
일본으로	일본/nq+으로/jca
역수입되는	역/xp+수입/ncpa+되/xsv+는/etm
바람에	바람/ncn+에/jca
메이드	메이드/ncn
인	인/ncn
코리아의	코리아/ncn+의/jcm
일본시장	일본/nq+시장/ncn
진출을	진출/ncn+을/jco
더욱	더욱/mag
어렵게	어렵/paa+게/ecx
하고	하/px+고/ecx
있다	있/px+다/ef
.	./sf
동남아	동남아/nq
사람들이	사람/ncn+들/xsn+이/jcs
게으르다는	게으르/paa+다/ef+는/etm
선입견은	선입견/ncn+은/jxc
옛말이다	옛말/ncn+이/jp+다/ef
.	./sf
특히	특히/mag
일본의	일본/nq+의/jcm
손만	손/ncn+만/jxc
거치면	거치/pvg+면/ecs
분위기가	분위기/ncn+가/jcs
싹	싹/mag
달라진다	다르/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
마닐라의	마닐라/nq+의/jcm
도요타	nq[도요타/nq
자동차	자동/ncn+차/ncn]nq
현지투자	현지/ncn+투자/ncn
공장은	공장/ncn+은/jxc
여간	여간/mag
세련된	세련/ncpa+되/xsv+ㄴ/etm
분위기가	분위기/ncn+가/jcc
아니다	아니/paa+다/ef
.	./sf
필리핀	필리핀/nq
종업원들의	종업/ncn+원/xsn+들/xsn+의/jcm
눈빛이나	눈빛/ncn+이나/jcj
손놀림이	손놀림/ncn+이/jcs
한국의	한국/nq+의/jcm
자동차	자동/ncn+차/ncn
공장과	공장/ncn+과/jct
다를	다르/paa+ㄹ/etm
바가	바/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
태국에	태국/nq+에/jca
진출한	진출/ncpa+하/xsv+ㄴ/etm
미네베아	미네베아/nq
(	(/sl
베어링	베어링/ncn
제조회사	제조/ncn+회사/ncn
)	)/sr
는	는/jxc
일본회사를	일본/nq+회사/ncn+를/jco
그대로	그대로/mag
옮겨다	옮기/pvg+어다/ecs
놓은	놓/pvg+은/etm
