<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0058.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0058.txt </filename>
<title>(속)나무이야기  </title>
<author>권영한  </author>
<date>1993  </date>
<publisher>전원문화사  </publisher>
<kdc>480.4  </kdc>
<ddc>580  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
가을이	가을/ncn+이/jcc
되면	되/pvg+면/ecs
천지는	천지/ncn+는/jxc
온통	온통/mag
낙엽으로	낙엽/ncn+으로/jca
가득합니다.	가득/mag+하/xsm+ㅂ니다/ef+./sf
낙엽은	낙엽/ncn+은/jxc
나무가	나무/ncn+가/jcs
1년	1/nnc+년/nbu
동안	동안/ncn
정성들여	정성/ncn+들이/pvg+어/ecs
만든	만들/pvg+ㄴ/etm
작품이기에	작품/ncn+이/jp+기/etn+에/jca
어느	어느/mma
하나를	하나/ncn+를/jco
만져	만지/pvg+어/ecx
봐도	보/px+아도/ecs
허술함이	허술/ncps+하/xsm+ㅁ/etn+이/jcs
없습니다.	없/paa+습니다/ef+./sf
무엇이든	무엇/npd+이든/jxc
이	이/mmd
세상에	세상/ncn+에/jca
태어났다가	태어나/pvg+았/ep+다가/ecs
사라진다는	사라지/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
슬픈	슬프/paa+ㄴ/etm
일이고	일/ncn+이/jp+고/ecc
애석한	애석/ncps+하/xsm+ㄴ/etm
일이지만,	일/ncn+이/jp+지만/ecs+,/sp
수많은	수많/paa+은/etm
낙엽에는	낙엽/ncn+에/jca+는/jxc
그러한	그러하/pad+ㄴ/etm
슬픔이나	슬픔/ncn+이나/jxc
애석함이	애석/ncps+하/xsm+ㅁ/etn+이/jcs
없는	없/paa+는/etm
듯합니다.	듯/nbn+하/xsm+ㅂ니다/ef+./sf
때가	때/ncn+가/jcc
되면	되/pvg+면/ecs
당연히	당연/ncn+히/xsa
떨어져	떨어지/pvg+어/ecx
흙으로	흙/ncn+으로/jca
돌아가는	돌/pvg+아/ecs+가/pvg+는/etm
것이	것/nbn+이/jcs
자연의	자연/ncn+의/jcm
순리라는	순리/ncn+라/ef+는/etm
것을	것/nbn+을/jco
너무나도	너무나/mag+도/jxc
잘	잘/mag
알고	알/pvg+고/ecx
있기에	있/px+기/etn+에/jca
자기에서	자기/npp+에서/jca
떨어져	떨어지/pvg+어/ecx
나올	나오/px+ㄹ/etm
때는	때/nbn+는/jxc
이미	이미/mag
새로운	새롭/paa+ㄴ/etm
꽃눈이나	꽃눈/ncn+이나/jcj
잎눈을	잎눈/ncn+을/jco
가지	가지/ncn
위에	위/ncn+에/jca
남기고	남기/pvg+고/ecc
홀가분한	홀가분/ncps+하/xsm+ㄴ/etm
마음으로	마음/ncn+으로/jca
떨어져	떨어지/pvg+어/ecx
나와	나오/px+아/ecs
한줌	한줌/ncn
흙이	흙/ncn+이/jcc
되어,	되/pvg+어/ecs+,/sp
다시	다시/mag
그	그/mmd
나무가	나무/ncn+가/jcs
생기	생기/ncn
있게	있/paa+게/ecx
잘	잘/mag
살	살/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
밑거름이	밑거름/ncn+이/jcc
되어주는	되/pvg+어/ecx+주/px+는/etm
겁니다.	것/nbn+ㅂ니다/ef+./sf
그러므로	그러므로/maj
낙엽의	낙엽/ncn+의/jcm
마음은	마음/ncn+은/jxc
유유자적하며	유유자적/paa+하/xsv+며/ecc
허허로우며,	허허롭/paa+으며/ecs+,/sp
무상함이나	무상/ncps+하/xsm+ㅁ/etn+이나/jcj
윤회의	윤회/ncn+의/jcm
법칙을	법칙/ncn+을/jco
비관도	비관/ncn+도/jxc
낙관도	낙관/ncn+도/jxc
하지	하/pvg+지/ecx
않는	않/px+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
대지에	대지/ncn+에/jca
깊이	깊/paa+이/xsa
뿌리박은	뿌리/ncn+박/pvg+은/etm
거목은	거목/ncn+은/jxc
누구의	누구/npp+의/jcm
눈에도	눈/ncn+에/jca+도/jxc
아름다움의	아름/ncsp+답/xsm+ㅁ/etn+의/jcm
경지를	경지/ncn+를/jco
넘어	넘/pvg+어/ecx
거룩하고	거룩/ncps+하/xsm+고/ecc
신령스럽게조차	신령/ncn+스럽/xsm+게/ecs+조차/jxc
보일	보이/pvg+ㄹ/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
그러한	그러하/pad+ㄴ/etm
나무의	나무/ncn+의/jcm
정성어린	정성/ncn+어리/pvg+ㄴ/etm
작품이	작품/ncn+이/jcs
바로	바로/mag
낙엽이기에	낙엽/ncn+이/jp+기/etn+에/jca
낙엽은	낙엽/ncn+은/jxc
나무가	나무/ncn+가/jcs
우리에게	우리/npp+에게/jca
주는	주/pvg+는/etm
많은	많/paa+은/etm
사연이	사연/ncn+이/jcs
담긴	담기/pvg+ㄴ/etm
편지라고	편지/ncn+라고/ecs
생각됩니다.	생각/ncpa+되/xsv+ㅂ니다/ef+./sf
오직	오직/mag
우리	우리/npp
마음의	마음/ncn+의/jcm
눈이	눈/ncn+이/jcs
어두워서	어둡/paa+어서/ecs
그	그/mmd
깊은	깊/paa+은/etm
사연을	사연/ncn+을/jco
읽을	읽/pvg+을/etm
수	수/nbn
없으므로	없/paa+으므로/ecs
나무의	나무/ncn+의/jcm
마음과	마음/ncn+과/jcj
뜻을	뜻/ncn+을/jco
모를	모르/pvg+ㄹ/etm
따름입니다.	따름/nbn+이/jp+ㅂ니다/ef+./sf
그러므로	그러므로/maj
낙엽을	낙엽/ncn+을/jco
쓸어버린다는	쓸/pvg+어/ecx+버리/px+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
읽지도	읽/pvg+지/ecx+도/jxc
않는	않/px+는/etm
편지를	편지/ncn+를/jco
버리는	버리/pvg+는/etm
것과도	것/nbn+과/jct+도/jxc
같은	같/paa+은/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
수백	수백/nnc
년	년/nbu
묵은	묵/pvg+은/etm
은행	은행/ncn
잎이	잎/ncn+이/jcs
땅을	땅/ncn+을/jco
노랗게	노랗/paa+게/ecs
덮을	덮/pvg+을/etm
때는	때/ncn+는/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
하고	하/pvg+고/ecx
싶은	싶/px+은/etm
말이	말/ncn+이/jcs
꼭	꼭/mag
있을	있/paa+을/etm
거고,	거/nbn+고/ecs+,/sp
뾰족한	뾰족하/paa+ㄴ/etm
솔잎이	솔잎/ncn+이/jcs
산허리를	산/ncn+허리/ncn+를/jco
푹신히	푹신/ncn+히/xsa
덮을	덮/pvg+을/etm
때도	때/ncn+도/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
그	그/mmd
속에	속/ncn+에/jca
속삭임이	속삭이/pvg+ㅁ/etn+이/jcs
있을	있/paa+을/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
쓸어버리기에는	쓸/pvg+어/ecx+버리/px+기/etn+에/jca+는/jxc
너무나도	너무나/mag+도/jxc
아까운	아깝/paa+ㄴ/etm
가을의	가을/ncn+의/jcm
수많은	수많/paa+은/etm
편지!	편지/ncn+!/sf
그	그/npp
속에	속/ncn+에/jca
진정	진정/ncn
나무들의	나무/ncn+들/xsn+의/jcm
마음이	마음/ncn+이/jcs
담겨	담기/pvg+어/ecx
있을	있/px+을/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
싸리나무의	싸리나무/ncn+의/jcm
작은	작/paa+은/etm
잎에는	잎/ncn+에/jca+는/jxc
작은	작/paa+은/etm
사연이,	사연/ncn+이/jcs+,/sp
오동나무의	오동나무/ncn+의/jcm
넓은	넓/paa+은/etm
잎에는	잎/ncn+에/jca+는/jxc
많은	많/paa+은/etm
사연이	사연/ncn+이/jcs
담겨	담기/pvg+어/ecx
있을	있/px+을/etm
겁니다.	것/nbn+ㅂ니다/ef+./sf
깃털과	깃털/ncn+과/jct
같이	같/paa+이/xsa
생긴	생기/pvg+ㄴ/etm
커다란	커다랗/paa+ㄴ/etm
가죽나무	가죽나무/ncn
잎에도	잎/ncn+에/jca+도/jxc
우리가	우리/npp+가/jcs
읽어	읽/pvg+어/ecx
볼	보/px+ㄹ/etm
만한	만하/px+ㄴ/etm
사연들이	사연/ncn+들/xsn+이/jcs
수없이	수/ncn+없/paa+이/xsa
많이	많/paa+이/xsa
적혀	적히/pvg+어/ecx
있을	있/px+을/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
우산을	우산/ncn+을/jco
펴들고	펴들/pvg+고/ecs
서	서/pvg+어/ecx
있는	있/px+는/etm
거인처럼	거인/ncn+처럼/jca
키가	키/ncn+가/jcs
크고	크/paa+고/ecc
비교적	비교/ncn+적/xsn
잔가지가	잔가지/ncn+가/jcs
적은	적/paa+은/etm
가죽나무는	가죽나무/ncn+는/jxc
흔히	흔히/mag
볼	보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
나무이고,	나무/ncn+이/jp+고/ecc+,/sp
우리나라	우리/npp+나라/ncn
전역에	전역/ncn+에/jca
넓게	넓/paa+게/ecx
분포되어	분포/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
