<tdmsfile>
 Corpus 
 Korean 
 KSC-5601-1988 
  pos 
  
 96-kaist_corpus_96_explanation_pos_mh2-0087.txt 
 kaist_corpus_96_explanation_pos_mh2-0087.txt 

한국기독청년협의회  
1993  
녹두  
233.5  
225  
  
1	1/nno
.	./sf
탐색전	탐색/ncn+전/xsn
-	-/sd
신약의	신약/nq+의/jcm
배경	배경/ncn
-	-/sd
예고편	예고/ncn+편/xsn
갈릴리에서	갈릴리/nq+에서/jca
시작하면	시작/ncpa+하/xsv+면/ecs
저기	저기/npd
장도리가	장도리/ncn+가/jcs
비죽	비죽/mag
나온	나오/pvg+ㄴ/etm
가방을	가방/ncn+을/jco
멘	메/pvg+ㄴ/etm
아저씨가	아저씨/ncn+가/jcs
눈곱낀	눈곱/ncn+끼/pvg+ㄴ/etm
얼굴로	얼굴/ncn+로/jca
첫차	첫/nno+차/ncn
를	를/jco
기다리고	기다리/pvg+고/ecx
있다	있/px+다/ef
.	./sf
가쁜	가쁘/paa+ㄴ/etm
숨을	숨/ncn+을/jco
몰아쉬는	몰/pvg+아/ecs+쉬/pvg+는/etm
청년이	청년/ncn+이/jcs
춥지도	춥/paa+지/ecx+도/jxc
않은	않/px+은/etm
날씨에	날씨/ncn+에/jca
모자를	모자/ncn+를/jco
뒤집어쓰고	뒤집/pvg+어/ecs+쓰/pvg+고/ecs
쉭쉭거리며	쉭쉭거리/pvg+며/ecs
그	그/mmd
옆을	옆/ncn+을/jco
뛰고	뛰/pvg+고/ecx
있고	있/px+고/ecs
,	,/sp
자기몸통	자기/npp+몸통/ncn
만한	만하/px+ㄴ/etm
책가방에	책가방/ncn+에/jca
자기머리	자기/npp+머리/ncn
만한	만하/px+ㄴ/etm
도시락통을	도시락/ncn+통/ncn+을/jco
빗겨	빗기/pvg+어/ecx
멘	메/pvg+ㄴ/etm
여학생은	여학생/ncn+은/jxc
눈을	눈/ncn+을/jco
반만	반/ncn+만/jxc
뜨고	뜨/paa+고/ecs
땅을	땅/ncn+을/jco
보고	보/pvg+고/ecx
있다	있/px+다/ef
.	./sf
허리둘레를	허리/ncn+둘레/ncn+를/jco
알	알/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
바지를	바지/ncn+를/jco
입은	입/ncn+은/jxc
아주머니가	아주머니/ncn+가/jcs
함지박을	함지박/ncn+을/jco
눈치	눈치/ncn
못채게	못채/pvg+게/ecs
버스에	버스/ncn+에/jca
실을	싣/pvg+을/etm
수	수/nbn
있을까	있/paa+을까/ef
고민하며	고민/ncpa+하/xsv+며/ecs
길가에	길가/ncn+에/jca
쪼그려	쪼그리/pvg+어/ecs
앉아	앉/pvg+아/ecx
있고	있/px+고/ecs
자식과	자식/ncn+과/jcj
손녀들이	손녀/ncn+들/xsn+이/jcs
마실	마시/pvg+ㄹ/etm
물을	물/ncn+을/jco
받아오기	받/pvg+아/ecs+오/pvg+기/etn
위해	위하/pvg+어/ecs
두	두/nnc
개의	개/nbu+의/jcm
물통을	물통/ncn+을/jco
파란	파랗/paa+ㄴ/etm
배낭을	배낭/ncn+을/jco
넣어	넣/pvg+어/ecx
짊어진	짊/pvg+어/ecx+지/px+ㄴ/etm
할아버지도	할아버지/ncn+도/jxc
그	그/mmd
곁에	곁/ncn+에/jca
앉아	앉/pvg+아/ecx
계신다	계시/px+ㄴ다/ef
.	./sf
느끼지	느끼/pvg+지/ecx
못하는	못하/px+는/etm
사이에	사이/ncn+에/jca
새벽은	새벽/ncn+은/jxc
점점	점점/mag
아침으로	아침/ncn+으로/jca
바뀌어가고	바뀌/pvg+어/ecx+가/px+고/ecx
있지만	있/px+지만/ecs
아직도	아직도/mag
졸리운	졸립/pvg+ㄴ/etm
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
삶으로	삶/ncn+으로/jca
이어지는	잇/pvg+어/ecx+지/px+는/etm
기나긴	기나길/paa+ㄴ/etm
길에서	길/ncn+에서/jca
다시	다시/mag
줄을	줄/ncn+을/jco
서고	서/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
이	이/mmd
사람들은	사람/ncn+들/xsn+은/jxc
전부	전부/mag
새벽	새벽/ncn
뒤에	뒤/ncn+에/jca
오는	오/pvg+는/etm
아침이	아침/ncn+이/jcs
안	안/mag
오면	오/pvg+면/ecs
안	안/mag
되는	되/pvg+는/etm
사람들이었다	사람/ncn+들/xsn+이/jp+었/ep+다/ef
.	./sf
몸을	몸/ncn+을/jco
말안장에	말안장/ncn+에/jca
밀착시킨	밀착/ncpa+시키/xsv+ㄴ/etm
기병대가	기병/ncn+대/xsn+가/jcs
흙먼지를	흙먼지/ncn+를/jco
날리며	날리/pvg+며/ecs
마을을	마을/ncn+을/jco
떠나갔다	떠나/pvg+아/ecs+가/pvg+았/ep+다/ef
.	./sf
병사들의	병사/ncn+들/xsn+의/jcm
고함소리와	고함/ncn+소리/ncn+와/jcj
찢어지는	찢/pvg+어/ecx+지/px+는/etm
아낙네들의	아낙/ncn+네/xsn+들/xsn+의/jcm
비명소리	비명/ncn+소리/ncn
그리고	그리고/maj
숨이	숨/ncn+이/jcs
넘어갈	넘/pvg+어/ecs+가/pvg+ㄹ/etm
듯한	듯하/px+ㄴ/etm
아이	아이/ncn
울음소리가	울음/ncn+소리/ncn+가/jcs
말밥굽소리에	말밥굽/ncn+소리/ncn+에/jca
뒤섞여	뒤섞이/pvg+어/ecs
아수라장을	아수라장/ncn+을/jco
이루던	이루/pvg+던/etm
지옥도는	지옥/ncn+도/xsn+는/jxc
한순간	한순간/ncn
조용해진	조용/ncps+하/xsm+어/ecx+지/px+ㄴ/etm
듯했지만	듯하/px+었/ep+지만/ecs
그건	그것/npd+ㄴ/etm
아이들의	아이/ncn+들/xsn+의/jcm
울음소리가	울음/ncn+소리/ncn+가/jcs
더이상	더이상/mag
들리지	들리/pvg+지/ecx
않게	않/px+게/ecs
되었기	되/pvg+었/ep+기/etn
때문이었다	때문/nbn+이/jp+었/ep+다/ef
.	./sf
핏발선	핏발/ncn+서/pvg+ㄴ/etm
눈으로	눈/ncn+으로/jca
문을	문/ncn+을/jco
박차고	박차/pvg+고/ecx
들어와	들/pvg+어/ecs+오/pvg+아/ecs
아이들에게	아이/ncn+들/xsn+에게/jca
칼을	칼/ncn+을/jco
겨누던	겨누/pvg+던/etm
헤롯의	헤롯/nq+의/jcm
병사들에겐	병사/ncn+들/xsn+에게/jca+ㄴ/jxc
달콤한	달콤/ncps+하/xsm+ㄴ/etm
대가를	대가/ncn+를/jco
위한	위하/pvg+ㄴ/etm
충성이요	충성/ncn+이/jp+요/jxf
불가피한	불가피/ncps+하/xsm+ㄴ/etm
희생이었겠지만	희생/ncn+이/jp+었겠/ep+지만/ecs
이	이/mmd
야수의	야수/ncn+의/jcm
권력에	권력/ncn+에/jca
허망하게	허망/ncps+하/xsm+게/ecs
사라진	사라지/pvg+ㄴ/etm
아이들과	아이/ncn+들/xsn+과/jcj
그	그/mmd
가족들에겐	가족/ncn+들/xsn+에게/jca+ㄴ/jxc
씻기	씻/pvg+기/etn
어려운	어렵/paa+ㄴ/etm
한이	한/ncn+이/jcs
구천에	구천/ncn+에/jca
사무치는	사무치/pvg+는/etm
순간이었다	순간/ncn+이/jp+었/ep+다/ef
.	./sf
통곡소리는	통곡/ncn+소리/ncn+는/jxc
더욱	더욱/mag
자진모리로	자진모리/ncn+로/jca
넘어가고	넘/pvg+어/ecs+가/pvg+고/ecx
있었고	있/px+었/ep+고/ecs
진홍빛	진홍/ncn+빛/ncn
노을이	노을/ncn+이/jcs
서산에서	서산/ncn+에서/jca
배어나와	배/pvg+어/ecx+나오/px+아/ecs
슬픈	슬프/paa+ㄴ/etm
마을을	마을/ncn+을/jco
다시	다시/mag
적시고	적시/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
드디어	드디어/mag
힘찬	힘/ncn+차/paa+ㄴ/etm
울음소리가	울음/ncn+소리/ncn+가/jcs
들렸다	들리/pvg+었/ep+다/ef
.	./sf
커다란	커다랗/paa+ㄴ/etm
눈을	눈/ncn+을/jco
가진	가지/pvg+ㄴ/etm
순한	순하/paa+ㄴ/etm
짐승이	짐승/ncn+이/jcs
물끄러미	물끄러미/mag
바라다보고	바라/pvg+다/ecs+보/pvg+고/ecx
있고	있/px+고/ecs
나귀가	나귀/ncn+가/jcs
고개를	고개/ncn+를/jco
푸르륵거린다	푸르륵거리/pvg+ㄴ다/ef
.	./sf
마지막	마지막/ncn
사력을	사력/ncn+을/jco
다해	다하/pvg+어/ecx
생명을	생명/ncn+을/jco
밀어낸	밀/pvg+어/ecx+내/px+ㄴ/etm
산모는	산모/ncn+는/jxc
사내의	사내/ncn+의/jcm
손에	손/ncn+에/jca
들려	들리/pvg+어/ecx
가냘프게	가냘프/paa+게/ecs
바둥거리는	바둥거리/px+는/etm
조그만	조그맣/paa+ㄴ/etm
아이를	아이/ncn+를/jco
땀에	땀/ncn+에/jca
범벅이	범벅/ncn+이/jcc
된	되/pvg+ㄴ/etm
얼굴로	얼굴/ncn+로/jca
바라보고	바라/pvg+아/ecx+보/px+고/ecx
있었고	있/px+었/ep+고/ecs
,	,/sp
벌어진	벌어/pvg+지/px+ㄴ/etm
입을	입/ncn+을/jco
다물	다물/pvg+ㄹ/etm
줄	줄/nbn
모르는	모르/pvg+는/etm
순박한	순박/ncps+하/xsm+ㄴ/etm
사내는	사내/ncn+는/jxc
아이엄마에	아이/ncn+엄마/ncn+에/jca
대해	대하/pvg+어/ecx
수고했다는	수고/ncpa+하/xsv+었/ep+다/ef+는/etm
말도	말/ncn+도/jxc
할	하/pvg+ㄹ/etm
줄	줄/nbn
모르고	모르/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그들은	그/npp+들/xsn+은/jxc
그	그/mmd
어렵고	어렵/paa+고/ecc
힘든	힘/ncn+들/pvg+ㄴ/etm
삶의	삶/ncn+의/jcm
틈바구니에	틈바구니/ncn+에/jca
끼여	끼이/pvg+어/ecs
행운이라곤	행운/ncn+이/jp+라고/ecs+ㄴ/etm
없을	없/px+을/etm
것	것/nbn
같은	같/paa+은/etm
체념을	체념/ncn+을/jco
뒤엎고	뒤엎/pvg+고/ecx
태어나는	태어나/pvg+는/etm
아이의	아이/ncn+의/jcm
경이로움에	경이/ncps+롭/xsm+ㅁ/etn+에/jca
취해	취하/pvg+어/ecs
아이가	아이/ncn+가/jcs
첫	첫/nno
울음을	울음/ncn+을/jco
울어젖히던	울/pvg+어/ecs+젖히/pvg+던/etm
순간에	순간/ncn+에/jca
갑자기	갑자기/mag
바깥이	바깥/ncn+이/jcs
환해지는	환하/paa+어/ecx+지/px+는/etm
것	것/nbn
같더니	같/paa+더니/ecs
잠시	잠시/ncn
후	후/ncn
다시	다시/mag
캄캄해졌었다는	캄캄하/paa+어/ecx+지/px+었었/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
깨닫고	깨닫/pvg+고/ecx
있지	있/px+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf
그들은	그/npp+들/xsn+은/jxc
어둡고	어둡/paa+고/ecs
풀냄새	풀/ncn+냄새/ncn
가득하지만	가득/ncps+하/xsm+지만/ecs
작은	작/paa+은/etm
등경으로	등경/ncn+으로/jca
제법	제법/mag
아늑한	아늑/ncps+하/xsm+ㄴ/etm
이	이/mmd
공간에서	공간/ncn+에서/jca
잠시	잠시/ncn
후	후/ncn
그들과	그/npp+들/xsn+과/jcj
별로	별로/mag
다르게	다르/paa+게/ecs
생기지	생기/pvg+지/ecx
않은	않/px+은/etm
목동들이	목동/ncn+들/xsn+이/jcs
양털묻은	양털/ncn+묻/pvg+은/etm
머리를	머리/ncn+를/jco
쏙	쏙/mag
내밀고	내밀/pvg+고/ecs
들어올까	들/pvg+어/ecs+오/pvg+ㄹ까/ef
말까	말/pvg+까/ef
망설일	망설이/pvg+ㄹ/etm
때에야	때/ncn+에/jca+야/jxc
