<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0092.txt 
 kaist_corpus_96_explanation_pos_mh2-0092.txt 

 안정애, 양정현 공저 
1993  
가람기획  
912  
951  
  
  
  

1992	1992/nno
년	년/nbu
12	12/nno
월	월/nbu
,	,/sp
삼면이	삼면/ncn+이/jcs
바다로	바다/ncn+로/jca
둘러싸인	두르/pvg+어/ecs+싸이/pvg+ㄴ/etm
북경	북경/nq
교외의	교외/ncn+의/jcm
탄광	탄광/ncn
마을	마을/ncn
주구점	주구점/nq
.	./sf
그	그/mmd
남쪽	남쪽/ncn
산	산/ncn
,	,/sp
일명	일명/ncn
'	'/sl
용골산	용골산/nq
'	'/sr
에서는	에서/jca+는/jxc
일단의	일단/ncn+의/jcm
학자들이	학자/ncn+들/xsn+이/jcs
흑한을	흑한/ncn+을/jco
무릅쓰고	무릅쓰/pvg+고/ecc
작업에	작업/ncn+에/jca
열중하고	열중/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
이	이/mmd
산은	산/ncn+은/jxc
석회암	석회암/ncn
산지였기	산지/ncn+이/jp+었/ep+기/etn
때문에	때문/nbn+에/jca
수많은	수많/paa+은/etm
동물의	동물/ncn+의/jcm
뼈가	뼈/ncn+가/jcs
화석이	화석/ncn+이/jcc
되어	되/pvg+어/ecs
남아있었고	남/pvg+아/ecx+있/px+었/ep+고/ecc
,	,/sp
중국사람들은	중국/nq+사람/ncn+들/xsn+은/jxc
이	이/mmd
뼈를	뼈/ncn+를/jco
'	'/sl
용골	용골/ncn
'	'/sr
이라	이라/jca
부르고	부르/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
용골사람들	용골/ncn+사람/ncn+들/xsn
사이에	사이/ncn+에/jca
만병통치약쯤으로	만병/ncn+통치/ncn+약/ncn+쯤/xsn+으로/jca
여겨져	여기/pvg+어/ecx+지/px+어/ecs
고가로	고가/ncn+로/jca
팔려가고	팔리/pvg+어/ecx+가/px+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그	그/mmd
약용의	약용/ncn+의/jcm
뼈	뼈/ncn
중에	중/nbn+에/jca
사람의	사람/ncn+의/jcm
뼈가	뼈/ncn+가/jcs
있으리라고는	있/paa+으리라고는/ecs
아무도	아무/npd+도/jxc
생각지	생각/ncn+지/ecx
못했을	못하/px+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
스웨덴의	스웨덴/nq+의/jcm
지질학자인	지질/ncn+학자/ncn+이/jp+ㄴ/etm
앤더슨이	앤더슨/nq+이/jcs
처음으로	처음/ncn+으로/jca
새로운	새롭/paa+ㄴ/etm
시각으로	시각/ncn+으로/jca
이	이/mmd
산에	산/ncn+에/jca
접근하기	접근/ncpa+하/xsv+기/etn
시작하였다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
그는	그/npp+는/jxc
본래	본래/ncn
원세개	원세개/nq
정권이	정권/ncn+이/jcs
재정난을	재정/ncn+난/xsn+을/jco
타개하기	타개/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
서방에서	서방/ncn+에서/jca
초빙한	초빙/ncpa+하/xsv+ㄴ/etm
광공업이	광공/ncn+업/xsn+이/jcs
고문이었으나	고문/ncn+이/jp+었/ep+으나/ecs
광맥을	광맥/ncn+을/jco
찾는	찾/pvg+는/etm
일보다	일/ncn+보다/jca
그	그/mmd
속에서	속/ncn+에서/jca
인류의	인류/ncn+의/jcm
화석이나	화석/ncn+이나/jcj
고대의	고대/ncn+의/jcm
유물을	유물/ncn+을/jco
발굴하는데	발굴/ncpa+하/xsv+는데/ecs
정열을	정열/ncn+을/jco
바침으로써	바치/pvg+ㅁ/etn+으로써/jca
,	,/sp
1920	1920/nno
년대	년/nbu+대/xsn
중국	중국/nq
고고학에서	고고/ncn+학/xsn+에서/jca
가장	가장/mag
빛나는	빛나/pvg+는/etm
업적을	업적/ncn+을/jco
이루어냈다	이루/pvg+어/ecx+내/px+었/ep+다/ef
.	./sf
앤더슨	앤더슨/nq
일행은	일행/ncn+은/jxc
이미	이미/mag
1927	1927/nno
년에	년/nbu+에/jca
인류의	인류/ncn+의/jcm
것으로	것/nbn+으로/jca
보이는	보이/pvg+는/etm
어금니	어금니/ncn
뼈를	뼈/ncn+를/jco
찾아냈으나	찾/pvg+아/ecx+내/px+었/ep+으나/ecs
,	,/sp
학계의	학계/ncn+의/jcm
인정을	인정/ncn+을/jco
받지	받/pvg+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf
보다	보다/mag
확실한	확실/ncps+하/xsm+ㄴ/etm
유골을	유골/ncn+을/jco
찾기	찾/pvg+기/etn
위한	위하/pvg+ㄴ/etm
작업이	작업/ncn+이/jcs
계속되었지만	계속/ncpa+되/xsv+었/ep+지만/ecs
그	그/mmd
작업은	작업/ncn+은/jxc
성과를	성과/ncn+를/jco
확실하게	확실/ncps+하/xsm+게/ecs
예견할	예견/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
지난한	지난/ncps+하/xsm+ㄴ/etm
작업이었다	작업/ncn+이/jp+었/ep+다/ef
.	./sf
앤더슨은	앤더슨/nq+은/jxc
고고학적	고고/ncn+학/xsn+적/xsn
발굴의	발굴/ncn+의/jcm
어려움을	어렵/paa+ㅁ/etn+을/jco
'	'/sl
마치	마치/mag
공원서	공원/ncn+서/jca
잃어버린	잃/pvg+어/ecx+버리/px+ㄴ/etm
핀을	핀/ncn+을/jco
찾는	찾/pvg+는/etm
것	것/nbn
같다	같/paa+다/ef
'	'/sr
고	고/jcr
표현했는데	표현/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
그야말로	그야말로/mag
산을	산/ncn+을/jco
거의	거의/mag
허물어내는	허물/pvg+어/ecx+내/px+는/etm
기나긴	기나긴/mma
노고	노고/ncn
끝에	끝/ncn+에/jca
북경원인	북경/nq+원인/ncn
(	(/sl
北京原人	北京原人/ncn
)	)/sr
의	의/jcm
화석이	화석/ncn+이/jcs
발굴되었다	발굴/ncpa+되/xsv+었/ep+다/ef
.	./sf
동굴을	동굴/ncn+을/jco
파고들어가던	파/pvg+아/ecx+들/pvg+어/ecx+가/px+던/etm
사람들이	사람/ncn+들/xsn+이/jcs
30m	30/nnc+m/su
깊이의	깊이/ncn+의/jcm
동굴밑바닥에	동굴/ncn+밑/ncn+바닥/ncn+에/jca
도달했다	도달/ncpa+하/xsv+었/ep+다/ef
.	./sf
그들이	그/npp+들/xsn+이/jcs
손에	손/ncn+에/jca
들고	들/pvg+고/ecx
있는	있/px+는/etm
도구는	도구/ncn+는/jxc
주걱	주걱/ncn
.	./sf
고고학이	고고/ncn+학/xsn+이/jcs
현대	현대/ncn
과학의	과학/ncn+의/jcm
성과라고	성과/ncn+라고/jca
하기에는	하/pvg+기/etn+에/jca+는/jxc
그들이	그/npp+들/xsn+이/jcs
사용하는	사용/ncpa+하/xsv+는/etm
도구들이	도구/ncn+들/xsn+이/jcs
너무나도	너무나/mag+도/jxc
보잘것이	보잘것/ncn+이/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
밑바닥에는	밑/ncn+바닥/ncn+에/jca+는/jxc
겨우	겨우/mag
한	한/nnc
사람이	사람/ncn+이/jcs
들어갈	들/pvg+어/ecx+가/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
작은	작/paa+은/etm
구멍	구멍/ncn
2	2/nnc
개가	개/nbu+가/jcs
나	나/pvg+아/ecx
있었다	있/px+었/ep+다/ef
.	./sf
중국인	중국/nq+인/xsn
젊은	젊/paa+은/etm
학자	학자/ncn
중에	중/nbn+에/jca
배문중이	배문중/nq+이/jcs
희미한	희미/ncps+하/xsm+ㄴ/etm
불빛에	불빛/ncn+에/jca
의존하여	의존/ncpa+하/xsv+어/ecs
구멍까지	구멍/ncn+까지/jxc
들어갔을	들/pvg+어/ecx+가/px+았/ep+을/etm
때	때/ncn
,	,/sp
순간	순간/ncn
그는	그/npp+는/jxc
숨을	숨/ncn+을/jco
멈추었다	멈추/pvg+었/ep+다/ef
.	./sf
"	"/sl
앗	앗/ii
,	,/sp
두개골이다	두개골/ncn+이/jp+다/ef
."	./sf+"/sr
그것은	그것/npd+은/jxc
거의	거의/mag
완전한	완전/ncps+하/xsm+ㄴ/etm
모습의	모습/ncn+의/jcm
인류	인류/ncn
두개골이었다	두개골/ncn+이/jp+었/ep+다/ef
.	./sf
어찌된	어찌/mag+되/pvg+ㄴ/etm
일인지	일/ncn+이/jp+ㄴ지/ecs
서양인학자들에	서양/ncn+인/xsn+학자/ncn+들/xsn+에/jca
의해	의하/pvg+어/ecs
시작되고	시작/ncpa+되/xsv+고/ecc
미국의	미국/nq+의/jcm
록펠러재단의	록펠러/nq+재단/ncn+의/jcm
지원속에	지원/ncn+속/ncn+에/jca
진행되었던	진행/ncpa+되/xsv+었/ep+던/etm
이	이/mmd
발굴에서	발굴/ncn+에서/jca
,	,/sp
원인의	원인/ncn+의/jcm
유골은	유골/ncn+은/jxc
중국인	중국/nq+인/xsn
학자들에게	학자/ncn+들/xsn+에게/jca
그	그/mmd
첫	첫/mma
모습을	모습/ncn+을/jco
드러냈다	드러내/pvg+었/ep+다/ef
.	./sf
협화의학원의	협화의학원/nq+의/jcm
해부학	해부/ncn+학/xsn
교수로	교수/ncn+로/jca
있던	있/paa+던/etm
블랙은	블랙/nq+은/jxc
이	이/mmd
유골이	유골/ncn+이/jcs
50만	50만/nnc
년전	년/nbu+전/ncn
,	,/sp
즉	즉/maj
구석기	구석기/ncn
전기의	전기/ncn+의/jcm
유골임을	유골/ncn+이/jp+ㅁ/etn+을/jco
알게	알/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
그가	그/npp+가/jcs
두개골을	두개골/ncn+을/jco
손상시키지	손상/ncpa+시키/xsv+지/ecx
않고	않/px+고/ecc
부착된	부착/ncpa+되/xsv+ㄴ/etm
단단한	단단하/paa+ㄴ/etm
흙을	흙/ncn+을/jco
제거하는	제거/ncpa+하/xsv+는/etm
데	데/nbn
걸린	걸리/pvg+ㄴ/etm
시간만도	시간/ncn+만도/jxc
4	4/nnc
개월	개월/nbu
,	,/sp
북경원인에	북경/nq+원인/ncn+에/jca
매료되어	매료/ncpa+되/xsv+어/ecs
실체를	실체/ncn+를/jco
규명하고자	규명/ncpa+하/xsv+고자/ecs
애쓰던	애쓰/pvg+던/etm
그는	그/npp+는/jxc
끝내	끝내/mag
과로로	과로/ncn+로/jca
숨졌다	숨지/pvg+었/ep+다/ef
.	./sf
북경원인은	북경/nq+원인/ncn+은/jxc
같은	같/paa+은/etm
단계의	단계/ncn+의/jcm
자바원인과	자바/nq+원인/ncn+과/jct
달리	달리/mag
거의	거의/mag
완전한	완전/ncps+하/xsm+ㄴ/etm
상태로	상태/ncn+로/jca
발굴됨으로써	발굴/ncpa+되/xsv+ㅁ/etn+으로써/jca
학계를	학계/ncn+를/jco
흥분시켰는데	흥분/ncpa+시키/xsv+었/ep+는데/ecs
,	,/sp
2차	2/nno+차/xsn
대전의	대전/ncn+의/jcm
와중에서	와중/ncn+에서/jca
증발	증발/ncn
,	,/sp
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
수수께끼로	수수께끼/ncn+로/jca
남게	남/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
북경원인과	북경/nq+원인/ncn+과/jct
같은	같/paa+은/etm
지층에서	지층/ncn+에서/jca
불에	불/ncn+에/jca
탄	타/pvg+ㄴ/etm
뼈와	뼈/ncn+와/jcj
다량의	다량/ncn+의/jcm
사슴	사슴/ncn
,	,/sp
코뿔소	코뿔소/ncn
,	,/sp
호랑이	호랑이/ncn
,	,/sp
하이에나	하이에나/ncn
등의	등/nbn+의/jcm
동물뼈	동물/ncn+뼈/ncn
,	,/sp
그리고	그리고/maj
인공을	인공/ncn+을/jco
가한	가하/pvg+ㄴ/etm
석기들이	석기/ncn+들/xsn+이/jcs
발견되었다	발견/ncpa+되/xsv+었/ep+다/ef
.	./sf
이들로부터	이/npp+들/xsn+로/jca+부터/jxc
추정하건대	추정/ncpa+하/xsv+건대/ecs
,	,/sp
그들은	그/npp+들/xsn+은/jxc
지금보다	지금/ncn+보다/jxc
훨씬	훨씬/mag
따뜻한	따뜻하/paa+ㄴ/etm
기후에서	기후/ncn+에서/jca
직접	직접/mag
제작한	제작/ncpa+하/xsv+ㄴ/etm
도구를	도구/ncn+를/jco
이용하고	이용/ncpa+하/xsv+고/ecc
,	,/sp
위대한	위대/ncps+하/xsm+ㄴ/etm
공동	공동/ncn
노동을	노동/ncn+을/jco
통해서	통하/pvg+어서/ecs
자신보다	자신/ncn+보다/jxc
훨씬	훨씬/mag
거대한	거대/ncps+하/xsm+ㄴ/etm
짐승들을	짐승/ncn+들/xsn+을/jco
사냥하며	사냥/ncpa+하/xsv+며/ecc
삶을	삶/ncn+을/jco
영위하고	영위/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그들의	그/npp+들/xsn+의/jcm
집은	집/ncn+은/jxc
자연이	자연/ncn+이/jcs
만들어	만들/pvg+어/ecx
놓은	놓/px+은/etm
동굴이었다	동굴/ncn+이/jp+었/ep+다/ef
.	./sf
특히	특히/mag
,	,/sp
그들은	그/npp+들/xsn+은/jxc
불을	불/ncn+을/jco
사용하고	사용/ncpa+하/xsv+고/ecx
있었는데	있/px+었/ep+는데/ecs
,	,/sp
불의	불/ncn+의/jcm
사용은	사용/ncn+은/jxc
인류가	인류/ncn+가/jcs
자연계의	자연/ncn+계/xsn+의/jcm
거인으로	거인/ncn+으로/jca
탄생하게	탄생/ncpa+하/xsv+게/ecx
되는	되/px+는/etm
첫	첫/mma
걸음인	걸음/ncn+이/jp+ㄴ/etm
도구	도구/ncn
사용	사용/ncn
다음으로	다음/ncn+으로/jca
,	,/sp
인류의	인류/ncn+의/jcm
발달사에서	발달/ncn+사/xsn+에서/jca
아주	아주/mag
의미	의미/ncn
깊은	깊/paa+은/etm
일이었다	일/ncn+이/jp+었/ep+다/ef
.	./sf
번개나	번개/ncn+나/jcj
지진	지진/ncn
등	등/nbn
자연적	자연/ncn+적/xsn
현상	현상/ncn
속에서	속/ncn+에서/jca
불을	불/ncn+을/jco
몹시	몹시/mag
두려워했으나	두렵/paa+어/ecx+하/px+었/ep+으나/ecs
,	,/sp
점차	점차/mag
그	그/mmd
위대함을	위대/ncps+하/xsm+ㅁ/etn+을/jco
깨닫고	깨닫/pvg+고/ecc
생활에	생활/ncn+에/jca
적극	적극/ncn
이용할	이용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
불은	불/ncn+은/jxc
생존을	생존/ncn+을/jco
위협하는	위협/ncn+하/xsv+는/etm
맹수들의	맹수/ncn+들/xsn+의/jcm
침입과	침입/ncn+과/jcj
엄습하는	엄습/ncpa+하/xsv+는/etm
추위로부터	추위/ncn+로/jca+부터/jxc
인간을	인간/ncn+을/jco
보호해	보호/ncpa+하/xsv+어/ecx
주었으며	주/px+었/ep+으며/ecc
,	,/sp
식량을	식량/ncn+을/jco
익혀	익히/pvg+어/ecs
먹기	먹/pvg+기/etn
시작하자	시작/ncpa+하/xsv+자/ecc
인류의	인류/ncn+의/jcm
신체는	신체/ncn+는/jxc
더욱	더욱/mag
튼튼해졌고	튼튼하/paa+어/ecx+지/px+었/ep+고/ecc
두뇌는	두뇌/ncn+는/jxc
더욱	더욱/mag
발달하기	발달/ncpa+하/xsv+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
북경원인의	북경/nq+원인/ncn+의/jcm
발굴을	발굴/ncn+을/jco
시작으로	시작/ncn+으로/jca
최근까지	최근/ncn+까지/jxc
발굴된	발굴/ncpa+되/xsv+ㄴ/etm
중국의	중국/nq+의/jcm
구석기	구석기/ncn
유적은	유적/ncn+은/jxc
무려	무려/mag
