<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0096.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0096.txt </filename>
<title>포위된 혁명  </title>
<author>강문구  </author>
<date>1993  </date>
<publisher>나라사랑  </publisher>
<kdc>342.8 ; 340.947  </kdc>
<ddc>322.44 ; 320.97 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1	1/nno
.	./sf
문제의	문제/ncn+의/jcm
배경	배경/ncn
제	제/xp
3세계라는	3/nno+세계/ncn+라는/jxc
용어는	용어/ncn+는/jxc
침탈과	침탈/ncn+과/jcj
예속의	예속/ncn+의/jcm
역사와	역사/ncn+와/jcj
분리시켜	분리/ncpa+시키/xsv+어/ecs
떠올릴	떠올리/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
이들	이/npd+들/xsn
국가들의	국가/ncn+들/xsn+의/jcm
역사적	역사/ncn+적/xsn
궤적	궤적/ncn
속에는	속/ncn+에/jca+는/jxc
외세	외세/ncn
혹은	혹은/maj
제국주의의	제국/ncn+주의/ncn+의/jcm
파장이	파장/ncn+이/jcs
촘촘이	촘촘/ncn+이/xsa
진동하여	진동/ncpa+하/xsv+어/ecs
엄밀하게	엄밀/ncps+하/xsm+게/ecs
그	그/mmd
내외적	내외/ncn+적/xsn
경로를	경로/ncn+를/jco
분간하는	분간/ncpa+하/xsv+는/etm
일마저	일/ncn+마저/jxc
용이하지	용이/ncps+하/xsm+지/ecx
않는	않/px+는/etm
지경에	지경/ncn+에/jca
이르렀다	이르/pvg+었/ep+다/ef
.	./sf
그리하여	그리하/pvg+어/ecs
한	한/nnc
국가의	국가/ncn+의/jcm
발전경로나	발전/ncn+경로/ncn+나/jcj
내부의	내부/ncn+의/jcm
역학관계	역학/ncn+관계/ncn
그리고	그리고/maj
역동성	역동/ncn+성/xsn
(	(/sl
dynamics	dynamics/f
)-	)/sr+-/sd
비록	비록/mag
그것이	그것/npd+이/jcs
아주	아주/mag
자율적이지	자율/ncn+적/xsn+이/jp+지/ecx
않다	않/px+다/ecs
하더라도	하/pvg+더라도/ecs
필시	필시/mag
갖게	갖/pvg+게/ecx
되는	되/px+는/etm
-	-/sd
의	의/jcm
구조는	구조/ncn+는/jxc
또	또/maj
다른	다르/paa+ㄴ/etm
차원을	차원/ncn+을/jco
획득하게	획득/ncpa+하/xsv+게/ecx
되어	되/px+어/ecs
그	그/mmd
성격이	성격/ncn+이/jcs
한층	한층/mag
더	더/mag
복합적이고	복합/ncn+적/xsn+이/jp+고/ecc
중층적인	중층/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcc
되었다	되/pvg+었/ep+다/ef
.	./sf
다른	다르/paa+ㄴ/etm
한편으로	한편/ncn+으로/jca
흥미로운	흥미/ncn+롭/xsm+ㄴ/etm
것은	것/nbn+은/jxc
바로	바로/mag
이렇게	이렇/pad+게/ecs
복잡한	복잡/ncps+하/xsm+ㄴ/etm
외세의	외세/ncn+의/jcm
영향권하에서	영향/ncn+권/xsn+하/ncn+에서/jca
오랜	오래/paa+ㄴ/etm
역사	역사/ncn
동안	동안/ncn
복종과	복종/ncn+과/jcj
억압을	억압/ncn+을/jco
강요당해	강요/ncn+당하/pvg+어/ecs
온	오/pvg+ㄴ/etm
라틴아메리카	라틴아메리카/nq
대륙에서	대륙/ncn+에서/jca
