<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0098.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0098.txt </filename>
<title> 교실 밖 국사여행 </title>
<author>역사학연구소   </author>
<date> 1993 </date>
<publisher>사계절출판사  </publisher>
<kdc>911  </kdc>
<ddc>951.9  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
도구를	도구/ncn+를/jco
만드는	만들/pvg+는/etm
사람	사람/ncn
선사	선사/ncn
문화의	문화/ncn+의/jcm
이해	이해/ncn
국립	nq[국립/ncn
중앙	중앙/ncn
박물관에	박물/ncn+관/xsn]nq+에/jca
가면	가/pvg+면/ecs
제일	제일/mag
앞에	앞/ncn+에/jca
있고	있/paa+고/ecc
,	,/sp
먼저	먼저/mag
보게	보/pvg+게/ecx
되는	되/px+는/etm
방이	방/ncn+이/jcs
선사시대실이다	선사/ncn+시대/ncn+실/xsn+이/jp+다/ef
.	./sf
사람에	사람/ncn+에/jca
따라	따르/pvg+아/ecs
다르겠지만	다르/paa+겠/ep+지만/ecs
,	,/sp
제일	제일/mag
흥미롭게	흥미/ncps+롭/xsm+게/ecs
볼	보/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
전시실도	전시/ncn+실/xsn+도/jxc
이	이/mmd
방이다	방/ncn+이/jp+다/ef
.	./sf
다른	다르/paa+ㄴ/etm
방에는	방/ncn+에/jca+는/jxc
그림이나	그림/ncn+이나/jcj
글씨	글씨/ncn
,	,/sp
도자기	도자기/ncn
등	등/nbn
여러	여러/mma
분야의	분야/ncn+의/jcm
명품이	명품/ncn+이/jcs
있지만	있/paa+지만/ecs
,	,/sp
이	이/mmd
방에는	방/ncn+에/jca+는/jxc
갖가지	갖가지/ncn
생활	생활/ncn
도구들이	도구/ncn+들/xsn+이/jcs
전시되어	전시/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
아득히	아득하/paa+이/xsa
먼	멀/paa+ㄴ/etm
옛날의	옛날/ncn+의/jcm
생활	생활/ncn
도구들은	도구/ncn+들/xsn+은/jxc
일상	일상/ncn
생활과	생활/ncn+과/jct
동떨어진	동떨어지/paa+ㄴ/etm
다른	다르/paa+ㄴ/etm
방의	방/ncn+의/jcm
미술품들과는	미술/ncn+품/xsn+들/xsn+과/jct+는/jxc
달리	달리/mag
그때	그때/npd
사람들의	사람/ncn+들/xsn+의/jcm
생활	생활/ncn
모습을	모습/ncn+을/jco
떠올리게	떠올리/pvg+게/ecx
한다	하/px+ㄴ다/ef
.	./sf
도구의	도구/ncn+의/jcm
단순한	단순/ncps+하/xsm+ㄴ/etm
모양이나	모양/ncn+이나/jcj
