<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0146.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0146.txt </filename>
<title>정보화사회와 글로벌도시  </title>
<author>원제무, 박용훈 공저  </author>
<date> 1993 </date>
<publisher>박영사  </publisher>
<kdc>331.541  </kdc>
<ddc> 303.483 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
국제환경	국제/ncn+환경/ncn
변화전망	변화/ncn+전망/ncn
90년대	90/nno+년대/nbu
초반의	초반/ncn+의/jcm
국제정세를	국제/ncn+정세/ncn+를/jco
고려하여	고려/ncpa+하/xsv+여/ecs
장래의	장래/ncn+의/jcm
국제환경을	국제/ncn+환경/ncn+을/jco
전망해	전망/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
,	,/sp
앞으로	앞/ncn+으로/jca
국제사회의	국제/ncn+사회/ncn+의/jcm
큰	크/paa+ㄴ/etm
조류는	조류/ncn+는/jxc
경제적	경제/ncn+적/xsn
관심에서	관심/ncn+에서/jca
민족주의에	민족/ncn+주의/ncn+에/jca
대한	대하/pvg+ㄴ/etm
관심으로	관심/ncn+으로/jca
전환될	전환/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
판단된다	판단/ncpa+되/xsv+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
민족주의의	민족/ncn+주의/ncn+의/jcm
대두에	대두/ncn+에/jca
대해서	대하/pvg+어서/ecs
미래학자는	미래/ncn+학자/ncn+는/jxc
물론이고	물론/mag+이/jp+고/ecc
사회학자나	사회/ncn+학자/ncn+나/jcj
인류학자들	인류/ncn+학자/ncn+들/xsn
사이에서도	사이/ncn+에서/jca+도/jxc
공감대가	공감/ncn+대/xsn+가/jcs
형성되어	형성/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
상태다	상태/ncn+다/ef
.	./sf
그러나	그러나/maj
앞으로	앞/ncn+으로/jca
지구촌이	지구/ncn+촌/xsn+이/jcs
색깔과	색깔/ncn+과/jcj
종족에	종족/ncn+에/jca
따라	따르/pvg+아/ecs
새로운	새롭/paa+ㄴ/etm
구도를	구도/ncn+를/jco
갖게	갖/pvg+게/ecs
되기까지는	되/pvg+기/etn+까지/jxc+는/jxc
상당한	상당/ncps+하/xsm+ㄴ/etm
시간이	시간/ncn+이/jcs
필요할	필요/ncps+하/xsm+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리고	그리고/maj
민족주의를	민족/ncn+주의/ncn+를/jco
중심으로	중심/ncn+으로/jca
