<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0188.txt 
 kaist_corpus_96_explanation_pos_mh2-0188.txt 

최준식  
1993  
민족사  
151.7  
181.11  
  
  
  

한국에도	한국/nq+에/jca+도/jxc
위대한	위대/ncps+하/xsm+ㄴ/etm
스승이	스승/ncn+이/jcs
있었다는	있/px+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
알리기	알리/pvg+기/etn
위해	위하/pvg+어/ecs
나름대로는	나름/nbn+대로/jca+는/jxc
소신	소신/ncn
있게	있/pvg+게/ecx
펴냈던	펴/pvg+내/px+었/ep+던/etm
한국의	한국/nq+의/jcm
스승이란	스승/ncn+이/jp+란/jxc
책이	책/ncn+이/jcs
2	2/nnc
년	년/nbu
전쯤	전/ncn+쯤/xsn
출간된	출간/ncpa+되/xsv+ㄴ/etm
뒤	뒤/ncn
,	,/sp
독자로부터	독자/ncn+로/jca+부터/jxc
어떤	어떤/mmd
반응이	반응/ncn+이/jcs
있을까	있/paa+을까/ef
꽤나	꽤/mag+나/jxc
궁금했다	궁금하/paa+었/ep+다/ef
.	./sf
그러나	그러나/maj
생각한	생각/ncpa+하/xsv+ㄴ/etm
것만큼은	것/nbn+만큼/jca+은/jxc
호응이	호응/ncn+이/jcs
크지	크/paa+지/ecx
않았고	않/px+았/ep+고/ecc
,	,/sp
어떤	어떤/mmd
때는	때/ncn+는/jxc
실망되기까지	실망/ncpa+되/xsv+기/etn+까지/jxc
했다	하/pvg+었/ep+다/ef
.	./sf
물론	물론/mag
반응이	반응/ncn+이/jcs
전혀	전혀/mag
없었던	없/paa+었/ep+던/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
하지만	하지만/maj
일반	일반/ncn
독자들의	독자/ncn+들/xsn+의/jcm
반응은	반응/ncn+은/jxc
거의	거의/mag
전무해서	전무/ncps+하/xsm+어서/ecs
새삼	새삼/ncn
우리의	우리/npp+의/jcm
것을	것/nbn+을/jco
알리는	알리/pvg+는/etm
데	데/nbn
대한	대하/pvg+ㄴ/etm
어려움을	어렵/paa+ㅁ/etn+을/jco
뼈저리게	뼈저리/paa+게/ecx
느꼈다	느끼/pvg+었/ep+다/ef
.	./sf
이	이/mmd
책은	책/ncn+은/jxc
다시금	다시금/mag
그런	그런/mmd
우리들에게	우리/npp+들/xsn+에게/jca
던져	던지/pvg+어/ecx
보는	보/px+는/etm
책이다	책/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
지난번	지나/pvg+ㄴ/etm+번/nbn
책의	책/ncn+의/jcm
편집이나	편집/ncn+이나/jcj
내용과는	내용/ncn+과/jct+는/jxc
전혀	전혀/mag
다를	다르/paa+ㄹ/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
새롭게	새롭/paa+게/ecx
발견된	발견/ncpa+되/xsv+ㄴ/etm
자료를	자료/ncn+를/jco
보강하여	보강/ncpa+하/xsv+어/ecx
전혀	전혀/mag
새로운	새롭/paa+ㄴ/etm
책으로	책/ncn+으로/jca
만들어	만들/pvg+어/ecx
보려고	보/px+려고/ecs
노력했다	노력/ncpa+하/xsv+었/ep+다/ef
.	./sf
지난번	지나/pvg+ㄴ/etm+번/nbn
한국의	한국/nq+의/jcm
스승은	스승/ncn+은/jxc
짧은	짧/paa+은/etm
해설과	해설/ncn+과/jct
함께	함께/mag
주로	주로/mag
본문	본문/ncn
중심이	중심/ncn+이/jcc
되어	되/pvg+어/ecs
어떤	어떤/mmd
경우에는	경우/ncn+에/jca+는/jxc
이런	이런/mmd
가르침에	가르치/pvg+ㅁ/etn+에/jca
익숙하지	익숙하/paa+지/ecx
않은	않/px+은/etm
독자들은	독자/ncn+들/xsn+은/jxc
본문을	본문/ncn+을/jco
제대로	제대로/mag
이해하는	이해/ncpa+하/xsv+는/etm
데에	데/nbn+에/jca
어려움을	어렵/paa+ㅁ/etn+을/jco
느꼈을	느끼/pvg+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
이번에는	이번/ncn+에/jca+는/jxc
이와	이/npd+와/jct
같은	같/paa+은/etm
결점들을	결점/ncn+들/xsn+을/jco
보완하려고	보완/ncpa+하/xsv+려고/ecs
했다	하/px+었/ep+다/ef
.	./sf
우선	우선/mag
지난번에는	지나/pvg+ㄴ/etm+번/nbn+에/jca+는/jxc
인물별로	인물별/ncn+로/jca
분류한	분류/ncpa+하/xsv+ㄴ/etm
것을	것/nbn+을/jco
주제별로	주제/ncn+별/xsn+로/jca
바꾸었다	바꾸/pvg+었/ep+다/ef
.	./sf
그러나	그러나/maj
각	각/mma
주제	주제/ncn
안에서	안/ncn+에서/jca
다시	다시/mag
인물별로	인물/ncn+별/xsn+로/jca
모아	모으/pvg+아/ecx
놓았기	놓/px+았/ep+기/etn
때문에	때문/nbn+에/jca
인물들	인물/ncn+들/xsn
각각의	각각/ncn+의/jcm
사상을	사상/ncn+을/jco
일관되게	일관/ncpa+되/xsv+게/ecx
이해할	이해/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게끔	있/paa+게끔/ecx
도모했다	도모/ncpa+하/xsv+었/ep+다/ef
.	./sf
주제별	주제/ncn+별/xsn
구분이기	구분/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
어떤	어떤/mmd
일정한	일정/ncps+하/xsm+ㄴ/etm
주제에	주제/ncn+에/jca
대해	대하/pvg+어/ecs
구한말의	구한말/ncn+의/jcm
선지자들은	선지/ncn+자/xsn+들/xsn+은/jxc
어떻게	어떻게/mag
생각했느냐	생각/ncpa+하/xsv+었/ep+느냐/ef
하는	하/pvg+는/etm
것을	것/nbn+을/jco
일목요연하게	일목요연/ncps+하/xsm+게/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
장점도	장점/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
가령	가령/mag
여성학을	여성/ncn+학/xsn+을/jco
하는	하/pvg+는/etm
사람이	사람/ncn+이/jcs
이	이/mmd
분들의	분/nbn+들/xsn+의/jcm
새로운	새롭/paa+ㄴ/etm
여성관을	여성/ncn+관/xsn+을/jco
알고	알/pvg+고/ecx
싶어한다면	싶/px+어/ecx+하/px+ㄴ다/ef+면/ecs
'	'/sl
여성	여성/ncn
'	'/sl
이라는	이/jp+라/ef+는/etm
주제를	주제/ncn+를/jco
다룬	다루/pvg+ㄴ/etm
부분만	부분/ncn+만/jxc
보면	보/pvg+면/ecs
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이와	이/npd+와/jct
더불어	더불/pvg+어/ecs
내용이	내용/ncn+이/jcs
대폭	대폭/mag
보강되었다	보강/ncpa+되/xsv+었/ep+다/ef
.	./sf
우선	우선/mag
본문	본문/ncn
가운데	가운데/ncn
반이상을	반/nnc+이상/ncn+을/jco
새로운	새롭/paa+ㄴ/etm
기록에서	기록/ncn+에서/jca
뽑은	뽑/pvg+은/etm
것으로	것/nbn+으로/jca
채웠다	채우/pvg+었/ep+다/ef
.	./sf
그리고	그리고/maj
반이	반/ncn+이/jcs
조금	조금/mag
못	못/mag
되는	되/pvg+는/etm
나머지	나머지/ncn
부분은	부분/ncn+은/jxc
한국의	한국/nq+의/jcm
스승에서	스승/ncn+에서/jca
중요한	중요/ncps+하/xsm+ㄴ/etm
가르침	가르치/pvg+ㅁ/etn
가운데	가운데/ncn
이번에	이번/ncn+에/jca
나눈	나누/pvg+ㄴ/etm
주제에	주제/ncn+에/jca
꼭	꼭/mag
집어넣었으면	집/pvg+어/ecs+넣/pvg+었/ep+으면/ecs
하는	하/pvg+는/etm
것들이다	것/nbn+들/xsn+이/jp+다/ef
.	./sf
그러나	그러나/maj
같은	같/paa+은/etm
내용이라도	내용/ncn+이/jp+라/ef+도/jxc
완전히	완전히/mag
새로운	새롭/paa+ㄴ/etm
해설을	해설/ncn+을/jco
달아	달/pvg+아/ecs
다시	다시/mag
읽는	읽/pvg+는/etm
독자들도	독자/ncn+들/xsn+도/jxc
새로운	새롭/paa+ㄴ/etm
느낌을	느낌/ncn+을/jco
갖도록	갖/pvg+도록/ecs
하였다	하/px+었/ep+다/ef
.	./sf
보강되고	보강/ncpa+되/xsv+고/ecc
빠진	빠지/pvg+ㄴ/etm
부분을	부분/ncn+을/jco
보면	보/pvg+면/ecs
,	,/sp
우선	우선/mag
수운의	수운/nq+의/jcm
경우는	경우/ncn+는/jxc
더	더/mag
이상	이상/ncn
실을	싣/pvg+을/etm
만한	만하/paa+ㄴ/etm
일화적인	일화/ncn+적/xsn+이/jp+ㄴ/etm
기록이	기록/ncn+이/jcs
없어	없/paa+어/ecs
이번에는	이번/ncn+에/jca+는/jxc
포함시키지	포함/ncpa+시키/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
해월의	해월/nq+의/jcm
경우는	경우/ncn+는/jxc
대폭	대폭/mag
보강되었는데	보강/ncpa+되/xsv+었/ep+는데/ecs
,	,/sp
그	그/mmd
출처는	출처/ncn+는/jxc
지난번과	지나/pvg+ㄴ/etm+번/nbn+과/jct
마찬가지로	마찬가지/ncn+로/jca
천도교	천도/nq+교/xsn
경전을	경전/ncn+을/jco
주로	주로/mag
이용하였다	이용/ncpa+하/xsv+었/ep+다/ef
.	./sf
특히	특히/mag
8	8/nnc
'	'/sr
내칙	내칙/nq
'이나	'/sl+이나/jcj
'	'/sl
내수도문	내수도문/nq
'과	'/sl+과/jct
같이	같이/mag
부녀를	부녀/ncn+를/jco
대상으로	대상/ncn+으로/jca
했던	하/pvg+었/ep+던/etm
