<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
48	48/nnc
배나	배/nbu+나/jxc
되는	되/pvg+는/etm
광활한	광활/ncps+하/xsm+ㄴ/etm
중국대륙	중국/nq+대륙/ncn
,	,/sp
총	총/ncn
9	9/nnc
백	백/ncn
59	59/nnc
Km2	Km2/su
의	의/jcm
땅에	땅/ncn+에/jca
살고	살/pvg+고/ecx
있는	있/px+는/etm
10	10/nnc
억	억/nbu
7	7/nnc
천여만명의	천/nnc+여/nbn+만/nnc+명/nbu+의/jcm
중국인구	중국/nq+인구/ncn
가운데	가운데/ncn
6	6/nnc
%	%/su
에	에/jca
불과한	불과/ncps+하/xsm+ㄴ/etm
7	7/nnc
천여만명의	천/nnc+여/xsn+만/nnc+명/nbu+의/jcm
55	55/nnc
개	개/nbu
소수민족들	소수/ncn+민족/ncn+들/xsn
.	./sf
그들은	그/npp+들/xsn+은/jxc
비록	비록/mag
화하족	화하족/nq
(	(/sl
華夏族	華夏族/nq
:	:/sp
한곡의	한곡/nq+의/jcm
옛	옛/mma
이름	이름/ncn
)	)/sr
에	에/jca
의해	의하/pvg+어/ecx
변경지대로	변경/ncn+지대/ncn+로/jca
밀려나	밀/pvg+려/ecx+나/px+아/ecs
살고	살/pvg+고/ecx
있지만	있/px+지만/ecs
전국토의	전/mma+국토/ncn+의/jcm
60	60/nnc
%	%/su
를	를/jco
거주지로	거주/ncn+지/xsn+로/jca
삼아	삼/pvg+아/ecs
저마다	저/npp+마다/jxc
자기민족	자기/npp+민족/ncn
고유의	고유/ncn+의/jcm
전통과	전통/ncn+과/jcj
자존을	자존/ncn+을/jco
지키며	지키/pvg+며/ecc
살고	살/pvg+고/ecx
있는	있/px+는/etm
끈기가	끈기/ncn+가/jcs
가상스럽다	가상스럽/paa+다/ef
.	./sf
이들은	이/npd+들/xsn+은/jxc
특히	특히/mag
지금껏	지금껏/mag
문명을	문명/ncn+을/jco
등진	등지/pvg+ㄴ/etm
채	채/nbn
자연의	자연/ncn+의/jcm
악조건과	악/ncn+조건/ncn+과/jct
싸우며	싸우/pvg+며/ecc
원시공동체	원시/ncn+공동/ncn+체/xsn
생활이나	생활/ncn+이나/jcj
다름없는	다름/ncn+없/paa+는/etm
환경	환경/ncn
속에서	속/ncn+에서/jca
삶을	삶/ncn+을/jco
이어오는	잇/pvg+어/ecx+오/px+는/etm
동안	동안/ncn
갖가지	갖가지/ncn
애환을	애환/ncn+을/jco
담은	담/pvg+은/etm
전설과	전설/ncn+과/jct
민가	민가/ncn
(	(/sl
民家	民家/ncn
)	)/sr
그리고	그리고/maj
설화와	설화/ncn
고사	고사/ncn
등을	등/ncn+을/jco
수없	수/nbn
없이	없/paa+이/xsa
남겨	남기/pvg+어/ecx
놓았다	놓/px+았/ep+다/ef
.	./sf
그러면	그러면/maj
우선	우선/mag
티베트의	티베트/nq+의/jcm
유명한	유명/ncpa+하/xsv+ㄴ/etm
포타라궁전에	포타라궁전/nq+에/jca
얽힌	얽히/pvg+ㄴ/etm
고사를	고사/ncn+를/jco
소개하고자	소개/ncpa+하/xsv+고자/ecx
한다	하/px+ㄴ다/ef
.	./sf
옛	옛/mma
중국	중국/nq
소수민족	소수/ncn+민족/ncn
국가의	국가/ncn+의/jcm
왕이	왕/ncn+이/jcs
종주국의	종주/ncn+국/xsn+의/jcm
공주를	공주/ncn+를/jco
아내로	아내/ncn+로/jca
