<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0274.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0274.txt </filename>
<title></title>
<author></author>
<date>  </date>
<publisher>  </publisher>
<kdc></kdc>
<ddc>  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1	1/nno
861	861/nno
년	년/nbu
5	5/nno
월	월/nbu
5	5/nno
일	일/nbu
천	천/nnc
년	년/nbn
고도	고도/ncn
서라벌은	서라벌/nq+은/jxc
이른	이르/paa+ㄴ/etm
아침부터	아침/ncn+부터/jxc
창포물에	창포/ncn+물/ncn+에/jca
머리	머리/ncn
감아	감/ncn+아/ecs
빗고	빗/pvg+고/ecc
울긋불긋	울긋불긋/mag
채색옷	채색/ncn+옷/ncn
차려	차리/pvg+어/ecs
입은	입/ncn+은/etm
단오절	단오/ncn+절/xsn
놀이	놀이/ncn
인파로	인파/ncn+로/jca
뒤덮였다	뒤덮이/pvg+었/ep+다/ef
.	./sf
마을마다	마을/ncn+마다/jxc
웃통을	웃통/ncn+을/jco
벗어부친	벗/pvg+어/ecs+부치/pvg+ㄴ/etm
장사들이	장사/ncn+들/xsn+이/jcs
맞잡은	맞잡/pvg+은/etm
샅바	샅바/ncn
당기며	당기/pvg+며/ecs
힘주는	힘/ncn+주/pvg+는/etm
고함소리요	고함/ncn+소리/ncpa+요/jxf
,	,/sp
크고	크/paa+고/ecc
작은	작/paa+은/etm
활터마다	활터/nbn+마다/jxc
화살	화살/ncn
날린	날리/pvg+ㄴ/etm
시윗소리와	시윗소리/ncn+와/jcj
관중이요	관중/ncn+이/jp+요/jxf
하고	하/pvg+고/ecs
외치는	외치/pvg+는/etm
환호성이며	환호성/ncn+이/jp+며/ecc
,	,/sp
나무	나무/ncn
그늘마다	그늘/ncn+마다/jxc
꾀꼬리가	꾀꼬리/ncn+가/jcs
나는	날/pvg+는/etm
듯	듯/nbn
나비가	나비/ncn+가/jcs
춤추는	춤/ncn+추/pvg+는/etm
듯	듯/nbn
나붓나붓	나붓나붓/mag
너훌너훌	너훌너훌/mag
휘어지는	휘/pvg+어/ecx+지/px+는/etm
나뭇가지	나뭇가지/ncn
흔들며	흔들/pvg+며/ecs
그네	그네/ncn
타는	타/pvg+는/etm
아낙네들의	아낙/ncn+네/xsn+들/xsn+의/jcm
자지러지는	자지러지/pvg+는/etm
웃음소리가	웃음/ncn+소리/ncn+가/jcs
기화요초가	기화요초/ncn+가/jcs
다투어	다투/pvg+어/ecs
핀	피/pvg+ㄴ/etm
봄	봄/ncn
꽃밭만	꽃밭/ncn+만/jxc
같았다	같/paa+았/ep+다/ef
.	./sf
월성궁의	월성궁/ncn+의/jcm
높다란	높다랗/paa+ㄴ/etm
담벼락을	담벼락/ncn+을/jco
옆에	옆/ncn+에/jca
끼고	끼/pvg+고/ecc
쭉	쭉/mag
내뻗은	내/pvg+어/ecs+뻗/pvg+은/jxc
큰	크/paa+ㄴ/etm
길을	길/ncn+을/jco
나는	날/pvg+는/etm
듯이	듯/nbn+이/xsa
걷고	걷/pvg+고/ecx
있는	있/px+는/etm
소년	소년/ncn
무사	무사/ncn
세	세/nnc
사람의	사람/ncn+의/jcm
걸음걸이에도	걸음걸이/ncn+에/jca+도/jxc
신명이	신명/ncn+이/jcs
지펴	지피/pvg+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
오른쪽의	오른쪽/ncn+의/jcm
베옷에	베옷/ncn+에/jca
삼	삼/ncn
섞인	섞이/pvg+ㄴ/etm
짚신을	짚신/ncn+을/jco
신고	신/pvg+고/ecc
견포	견포/ncn
복두	복두/ncn
(	(/sl
천으로	천/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
관	관/ncn
)	)/sr
를	를/jco
쓴	쓰/pvg+ㄴ/etm
소년이	소년/ncn+이/jcs
활과	활/ncn+과/jcj
전통을	전통/ncn+을/jco
멘	메/pvg+ㄴ/etm
어깨로	어깨/ncn+로/jca
가운데	가운데/ncn
소년을	소년/ncn+을/jco
툭	툭/mag
밀치며	밀치/pvg+며/ecs
싱그레	싱그럽/paa+이/xsa
웃음이	웃음/ncn+이/jcs
가득	가득/mag
밴	배/pvg+ㄴ/etm
얼굴을	얼굴/ncn+을/jco
돌렸다	돌리/pvg+었/ep+다/ef
.	./sf
"	"/sl
요원아	요원/nq+아/jcv
,	,/sp
향도스님	향도/nq+스님/ncn
허락은	허락/ncn+은/jxc
분명히	분명/ncn+히/xsa
받아둔	받/pvg+아/ecx+두/px+ㄴ/etm
거지	거/nbn+지/ef
?"	?/sf+"/sl
그러자	그러자/maj
,	,/sp
자색	자색/ncn
비단옷에	비단/ncn+옷/ncn+에/jca
가죽신을	가죽/ncn+신/ncn+을/jco
신고	신/pvg+고/ecc
자색	자색/ncn
비단	비단/ncn
복두를	복두/ncn+를/jco
쓴	쓰/pvg+ㄴ/etm
가운데	가운데/ncn
소년	소년/ncn
역시	역시/mag
활과	활/ncn+과/jcj
전통을	전통/ncn+을/jco
멘	메/pvg+ㄴ/etm
어깨로	어깨/ncn+로/jca
오른쪽	오른쪽/ncn
소년을	소년/ncn+을/jco
툭	툭/mag
되밀치면서	되밀치/pvg+면서/ecs
꽤나	꽤/mag+나/jxc
성가시다는	성가시/paa+다/ef+는/etm
말투로	말투/ncn+로/jca
받았다	받/pvg+았/ep+다/ef
.	./sf
"	"/sl
에이	에이/ii
,	,/sp
원종이	원종/nq+이/xsn
너	너/npp
도대체	도대체/mag
벌써	벌써/mag
몇	몇/mma
