<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0300.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0300.txt </filename>
<title>수학과의 만남  </title>
<author>써지 랭 저 ; 송교식 역  </author>
<date>1992  </date>
<publisher>가서원  </publisher>
<kdc>410  </kdc>
<ddc> 510 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
수학을	수학/ncn+을/jco
하기	하/pvg+기/etn
위해	위하/pvg+어/ecs
여기에	여기/npd+에/jca
왔습니다	오/pvg+았/ep+습니다/ef
.	./sf
여러분이	여러분/npp+이/jcs
기하학	기하/ncn+학/xsn
강의에서	강의/ncn+에서/jca
이미	이미/mag
들어본	들/pvg+어/ecx+보/px+ㄴ/etm
직사각형	직사각형/ncn
,	,/sp
삼각형	삼각형/ncn
그리고	그리고/maj
원과	원/ncn+과/jct
같은	같/paa+은/etm
간단한	간단/ncps+하/xsm+ㄴ/etm
도형의	도형/ncn+의/jcm
넓이에	넓이/ncn+에/jca
대하여	대하/pvg+여/ecs
공부하기로	공부/ncpa+하/xsv+기/etn+로/jca
합시다	하/pvg+ㅂ시다/ef
.	./sf
사각형을	사각형/ncn+을/jco
가지고	가지/pvg+고/ecs
먼저	먼저/mag
시작합시다	시작/ncpa+하/xsv+ㅂ시다/ef
.	./sf
따라서	따라서/maj
각	각/mma
변을	변/ncn+을/jco
a	a/f
와	와/jcj
b	b/f
라	라/ef
하면	하/pvg+면/ecs
그	그/npp
직사각형의	직사각형/ncn+의/jcm
넓이가	넓이/ncn+가/jcs
ab	ab/f
라는	라/ef+는/etm
것을	것/nbn+을/jco
여러분은	여러분/npp+은/jxc
알고	알/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
,	,/sp
직사각형의	직사각형/ncn+의/jcm
두	두/nnc
변의	변/ncn+의/jcm
길이가	길이/ncn+가/jcs
3	3/nnc
,	,/sp
4	4/nnc
라면	라/ef+면/ecs
그것의	그것/npd+의/jcm
넓이는	넓이/ncn+는/jxc
12	12/nnc
입니다	이/jp+ㅂ니다/ef
.	./sf
다음	다음/mmd
그림을	그림/ncn+을/jco
보고	보/pvg+고/ecs
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
직사각형을	직사각형/ncn+을/jco
반으로	반/nnc+으로/jca
자를	자르/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다/ef+면/ecs
:	:/sp
그러면	그러면/maj
직각삼각형이	직각/ncn+삼각형/ncn+이/jcs
생기고	생기/pvg+고/ecc
따라서	따라서/maj
,	,/sp
그	그/npp
직각삼각형의	직각/ncn+삼각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
(	(/sl
밑변	밑변/ncn
)	)/sr
(	(/sl
높이	높이/ncn
)	)/sr
의	의/jcm
반과	반/nnc+과/jct
같습니다	같/paa+습니다/ef
.	./sf
즉	즉/maj
,	,/sp
b	b/f
가	가/jcs
밑변	밑변/ncn
,	,/sp
h	h/f
는	는/jxc
높이일	높이/ncn+이/jp+ㄹ/etm
때	때/ncn
,	,/sp
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
쓸	쓰/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
:	:/sp
직각삼각형의	직각/ncn+삼각형/ncn+의/jcm
넓이	넓이/ncn
=	=/sy
bh	bh/f
넓이	넓이/ncn
=	=/sy
bh	bh/f
만약	만약/mag
h	h/f
가	가/jcs
수직선에서의	수직/ncn+선/ncn+에서/jca+의/jcm
높이라면	높이/pvg+라/ef+면/ecs
모든	모든/mag
삼각형에서	삼각형/ncn+에서/jca
위의	위/ncn+의/jcm
공식이	공식/ncn+이/jcs
옳다는	옳/paa+다/ef+는/etm
것을	것/nbn+을/jco
여러분은	여러분/npp+은/jxc
알고	알/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
두	두/nnc
경우가	경우/ncn+가/jcs
있을	있/paa+을/etm
수	수/nbn
있습니다	있/paa+습니다/ef
:	:/sp
넓이	넓이/ncn
=	=/sy
bh	bh/f
넓이	넓이/ncn
=	=/sy
bh	bh/f
공식을	공식/ncn+을/jco
각자	각자/ncn
증명해	증명/ncpa+하/xsv+어/ecx
보세요	보/px+시/ep+에/ef+요/jxf
.	./sf
왜냐하면	왜냐하면/maj
보다	보다/mag
흥미있는	흥미/ncn+있/paa+는/etm
원에	원/ncn+에/jca
대하여	대하/pvg+여/ecs
많은	많/paa+은/etm
시간을	시간/ncn+을/jco
할애하고	할애/ncpa+하/xsv+고/ecx
싶기	싶/px+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
그러나	그러나/maj
삼각형의	삼각형/ncn+의/jcm
넓이에	넓이/ncn+에/jca
대하여	대하/pvg+여/ecs
여러분이	여러분/npp+이/jcs
잘	잘/mag
알고	알/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
이제	이제/mag
반지름이	반지름/ncn+이/jcc
r	r/f
인	이/jp+ㄴ/etm
원을	원/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
이	이/mmd
원의	원/ncn+의/jcm
넓이에	넓이/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공식을	공식/ncn+을/jco
알고	알/pvg+고/ecx
있습니까	있/px+습니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
파이	파이/ncn
r	r/f
제곱입니다	제곱/ncn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[nq[써지/nq
랭	랭/nq]nq]nq
:	:/sp
바로	바로/mag
그렇습니다	그렇/pad+습니다/ef
.	./sf
그것은	그것/npd+은/jxc
입니다	이/jp+ㅂ니다/ef
.	./sf
그러면	그러면/maj
란	란/jxc
무엇이죠	무엇/npd+이/jp+지/ef+요/jxf
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
파이가	파이/ncn+가/jcc
무엇이냐고요	무엇/npd+이/jp+냐고/ef+요/jxf
?	?/sf
써지	nq[nq[써지/nq
랭	랭/nq]nq]nq
:	:/sp
학생은	학생/ncn+은/jxc
파이가	파이/ncn+가/jcs
3.14	3.14/nnc
