<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
주장	주장/ncpa
콜럼부스가	콜럼부스/nq+가/jcs
신세계를	신/xp+세계/ncn+를/jco
발견하던	발견/ncpa+하/xsv+던/etm
그	그/mmd
해에	해/ncn+에/jca
대학교	대학교/ncn
2	2/nnc
학년이었던	학년/ncn+이/jp+었/ep+던/etm
코페르니쿠스는	코페르니쿠스/nq+는/jxc
수학과	수학/ncn+과/jcj
천문학을	천문/ncn+학/xsn+을/jco
공부하고	공부/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
이	이/mmd
때부터	때/ncn+부터/jxc
평생으로	평생/ncn+으로/jca
이어진	잇/pvg+어/ecx+지/px+ㄴ/etm
그의	그/npp+의/jcm
연구의	연구/ncpa+의/jcm
결과로	결과/ncn+로/jca
지구도	지구/ncn+도/jxc
태양의	태양/ncn+의/jcm
주위를	주위/ncn+를/jco
돌고	돌/pvg+고/ecx
있는	있/px+는/etm
항성의	항성/ncn+의/jcm
한	한/nnc
개에	개/nbu+에/jca
불과하다는	불과/ncps+하/xsm+다/ef+는/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
그러나	그러나/maj
당시의	당시/ncn+의/jcm
대부분의	대부분/ncn+의/jcm
사람들은	사람/ncn+들/xsn+은/jxc
지구처럼	지구/ncn+처럼/jca
무거운	무겁/paa+ㄴ/etm
물체가	물체/ncn+가/jcs
태양	태양/ncn
둘레를	둘레/ncn+를/jco
지속적으로	지속/ncpa+적/xsn+으로/jca
도는	돌/pvg+는/etm
일은	일/ncpa+은/jxc
불가능하다고	불/xp+가능/ncps+하/xsm+다/ef+고/ecs
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
그래서	그래서/maj
코페르니쿠스의	코페르니쿠스/nq+의/jcm
이론을	이론/ncn+을/jco
반박하는	반박/ncpa+하/xsv+는/etm
논리들을	논리/ncn+들/xsn+을/jco
제시했는데	제시/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
그	그/mmd
중	중/nbn
하나는	하나/nnc+는/jxc
"	"/sl
지구가	지구/ncn+가/jcs
움직인다고	움직이/pvg+ㄴ다/ef+고/ecs
가정하고	가정/ncpa+하/xsv+고/ecc
발에다	발/ncn+에/jxc+다/jca
동전	동전/ncn
하나를	하나/nnc+를/jco
떨어뜨려보자	떨어뜨리/pvg+어/ecx+보/px+자/ef
.	./sf
동전이	동전/ncn+이/jcs
떨어지는	떨어지/pvg+는/etm
동안에도	동안/ncn+에/jca+도/jxc
지구는	지구/ncn+는/jxc
돌	돌/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecs
,	,/sp
지구	지구/ncn
위의	위/ncn+의/jcm
당신의	당신/npp+의/jcm
발도	발/ncn+도/jxc
돌았을	돌/pvg+았/ep+을/etm
것이므로	것/nbn+이/jp+므로/ecs
동전은	동전/ncn+은/jxc
당신의	당신/npp+의/jcm
발에	발/ncn+에/jca
떨어질	떨어지/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
그러나	그러나/maj
실제로	실제로/mag
동전을	동전/ncn+을/jco
발에	발/ncn+에/jca
떨어뜨리면	떨어뜨리/pvg+면/ecs
발에	발/ncn+에/jca
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf
이것은	이것/npd+은/jxc
바로	바로/mag
지구가	지구/ncn+가/jcs
돌고	돌/pvg+고/ecx
있지	있/px+지/ecx
않다는	않/px+다/ef+는/etm
것을	것/nbn+을/jco
말해준다	말/ncpa+하/xsv+어/ecx+주/px+ㄴ다/ef
."	./sf+"/sr
는	는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그로부터	그/npd+로/jca+부터/jxc
약	약/mma
100	100/nnc
년	년/nbu
정도	정도/ncn
지났을	지나/pvg+았/ep+을/etm
무렵	무렵/nbn
아직	아직/mag
북미에	북미/ncn+에/jca
영국의	영국/nq+의/jcm
식민지가	식민지/ncn+가/jcs
형성되고	형성/ncpa+되/xsv+고/ecx
있을	있/px+을/etm
때	때/ncn
,	,/sp
갈릴레오도	갈릴레오/nq+도/jxc
지구가	지구/ncn+가/jcs
움직이고	움직이/pvg+고/ecx
있다는	있/px+다/ef+는/etm
주장에	주장/ncn+에/jca
동조하고	동조/ncpa+하/xsv+고/ecx
나왔다	나오/px+았/ep+다/ef
.	./sf
그의	그/npp+의/jcm
주장의	주장/ncn+의/jcm
논리는	논리/ncn+는/jxc
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
진동하나	진동/ncpa+하/xsv+나/ecs
느낄	느끼/pvg+ㄹ/etm
수	수/nbn
없이	없/paa+이/xsa
매끄럽게	매끄럽/paa+게/ecs
날아가는	날/pvg+아/ecx+가/px+는/etm
비행기	비행/ncn+기/xsn
안에	안/ncn+에/jca
당신이	당신/npp+이/jcs
서있다고	서/pvg+어/ecx+있/px+다/ef+고/ecs
가정해보라	가정/ncpa+하/xsv+어/ecx+보/px+라/ef
.	./sf
그리고	그리고/maj
당신의	당신/npp+의/jcm
발에	발/ncn+에/jca
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf
즉	즉/maj
다시	다시/mag
말해서	말/ncpa+하/xsv+어서/ecs
,	,/sp
밖을	밖/ncn+을/jco
내다	내/pvg+어다/ecx
볼	보/px+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
상자	상자/ncn
속에	속/ncn+에/jca
같혀	같히/pvg+어/ecx
있다고	있/px+다/ef+고/ecs
가정하면	가정/ncpa+하/xsv+면/ecs
정지	정지/ncn
,	,/sp
회전	회전/ncn
,	,/sp
출발이	출발/ncpa+이/jcs
없이	없/paa+이/xsa
어느	어느/mmd
한	한/nnc
방향으로	방향/ncn+으로/jca
