<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0417.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0417.txt </filename>
<title> 최부의 표류기 </title>
<author>최부 저 ; 박화목 역 </author>
<date>1993  </date>
<publisher>민문고  </publisher>
<kdc>981.2  </kdc>
<ddc>915.1  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
멀리	멀리/mag
바라보이는	바라보이/pvg+는/etm
한라산	한라산/nq
꼭대기에는	꼭대기/ncn+에/jca+는/jxc
뭉실뭉실한	뭉실뭉실/mag+하/xsm+ㄴ/etm
구름이	구름/ncn+이/jcs
감돌고	감돌/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
구름	구름/ncn
빛깔이	빛깔/ncn+이/jcs
잿빛인	잿빛/ncn+이/jp+ㄴ/etm
것이	것/nbn+이/jcs
어쩌면	어쩌면/mag
비구름	비구름/ncn
같기도	같/paa+기/etn+도/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
'	'/sl
오늘	오늘/ncn
날씨가	날씨/ncn+가/jcs
어떨까	어떻/pvd+ㄹ까/ef
?'	?/sf+'/sl
한라산	한라산/nq
꼭대기의	꼭대기/ncn+의/jcm
구름만	구름/ncn+만/jxc
보아	보/pvg+아/ecx
가지고서는	가지/px+고서/ecs+는/jxc
,	,/sp
날씨의	날씨/ncn+의/jcm
좋고	좋/paa+고/ecc
나쁨을	나쁘/paa+ㅁ/etn+을/jco
얼른	얼른/mag
가늠하기가	가늠/ncpa+하/xsv+기/etn+가/jcs
어려웠습니다	어렵/paa+었/ep+습니다/ef
.	./sf
더욱이	더욱이/mag
,	,/sp
지방	지방/ncn
시찰을	시찰/ncn+을/jco
위해	위하/pvg+어/ecs
이	이/mmd
곳	곳/ncn
제주도에	제주도/nq+에/jca
임시	임시/ncn
파견되어	파견/ncpa+되/xsv+어/ecs
온	오/pvg+ㄴ/etm
경차관	경차관/ncn
(	(/sl
특별한	특별/ncpa+하/xsv+ㄴ/etm
임무를	임무/ncn+를/jco
수행하기	수행/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
중앙에서	중앙/ncn+에서/jca
지방에	지방/ncn+에/jca
파견하는	파견/ncpa+하/xsv+는/etm
임시	임시/ncn
관원	관원/ncn
)	)/sr
최부였습니다	최부/nq+이/jp+었/ep+습니다/ef
.	./sf
최부로서는	최부/nq+로서/jca+는/jxc
제주도의	제주도/nq+의/jcm
날씨를	날씨/ncn+를/jco
도무지	도무지/mag
어림할	어림/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
그런데	그런데/maj
하늘이	하늘/ncn+이/jcs
온통	온통/mag
흐려	흐리/paa+어/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
아니었습니다	아니/paa+었/ep+습니다/ef
.	./sf
하늘	하늘/ncn
한쪽은	한쪽/ncn+은/jxc
엷은	엷/paa+은/etm
구름을	구름/ncn+을/jco
뚫고	뚫/pvg+고/ecc
햇빛이	햇빛/ncn+이/jcs
비치기도	비치/pvg+기/etn+도/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
바람도	바람/ncn+도/jxc
동풍이	동풍/ncn+이/jcs
조금	조금/mag
불어올	불/pvg+어/ecs+오/pvg+ㄹ/etm
뿐이었습니다	뿐/nbn+이/jp+었/ep+습니다/ef
.	./sf
바다	바다/ncn
물결도	물결/ncn+도/jxc
크게	크/paa+게/ecs
이는	일/pvg+는/etm
편은	편/ncn+은/jxc
아니고	아니/paa+고/ecc
,	,/sp
또	또/maj
물빛은	물빛/ncn+은/jxc
짙은	짙/paa+은/etm
청색이었습니다	청색/ncn+이/jp+었/ep+습니다/ef
.	./sf
이만하면	이만하/paa+면/ecs
배를	배/ncn+를/jco
띄우기에	띄우/pvg+기/etn+에/jca
그렇게	그렇게/mag
큰	크/paa+ㄴ/etm
염려는	염려/ncn+는/jxc
없을	없/paa+을/etm
성싶었습니다	성싶/px+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
최부는	최부/nq+는/jxc
,	,/sp
'	'/sl
떠나자	떠나/pvg+자/ef
!'	!/sf+'/sl
하는	하/pvg+는/etm
말이	말/ncn+이/jcs
얼른	얼른/mag
입에서	입/ncn+에서/jca
떨어지지가	떨어지/pvg+지가/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
금세	금세/mag
흐렸다가	흐리/paa+었/ep+다가/ecs
또	또/maj
금세	금세/mag
개곤	개/pvg+곤/ecx
하는	하/px+는/etm
변덕스러운	변덕/ncps+스럽/xsm+ㄴ/etm
바다	바다/ncn
날씨였기	날씨/ncn+이/jp+었/ep+기/etn
때문이었습니다	때문/nbn+이/jp+었/ep+습니다/ef
.	./sf
그리고	그리고/maj
조금	조금/mag
전까지만	전/ncn+까지/jca+만/jxc
해도	하/pvg+어/ecs+도/jxc
간간이	간간이/mag
비를	비/ncn+를/jco
뿌렸던	뿌리/pvg+었/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
최부는	최부/nq+는/etm
포구에	포구/ncn+에/jca
서서	서/pvg+서/ecs
잠시	잠시/mag
생각에	생각/ncn+에/jca
잠겨	잠기/pvg+어/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
배에서는	배/ncn+에서/jca+는/jxc
함께	함께/mag
갈	가/pvg+ㄹ/etm
사람들이	사람/ncn+들/xsn+이/jcs
부산히	부산/ncn+히/xsa
떠날	떠나/pvg+ㄹ/etm
채비를	채비/ncn+를/jco
하고	하/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
그	그/mmd
사람들은	사람/ncn+들/xsn+은/jxc
오늘	오늘/ncn
떠나는	떠나/pvg+는/etm
것으로	것/nbn+으로/jca
알고	알/pvg+고/ecx
있는	있/px+는/etm
듯	듯/nbn
싶었습니다	싶/paa+었/ep+습니다/ef
.	./sf
하기는	하기는/mag
아침나절에	아침나절/ncn+에/jca
여러	여러/mma
사람이	사람/ncn+이/jcs
