<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0451.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0451.txt </filename>
<title>재미있는 물리실험이야기  </title>
<author>L. J. 가리펠시타인 저 ; 장경룡 역</author>
<date>1993  </date>
<publisher>팬더북 </publisher>
<kdc>420  </kdc>
<ddc>530 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제	제/xp
1	1/nno
권	권/nbu
목차	목차/ncn
1	1/nno
.	./sf
공중	공중/ncn
레일이란	레일/ncn+이/jp+란/etm
무엇일까	무엇/npd+이/jp+ㄹ까/ef
?	?/sf
대도시의	대/xp+도시/ncn+의/jcm
도로에는	도로/ncn+에/jca+는/jxc
오가는	오가/pvg+는/etm
차량으로	차량/ncn+으로/jca
가득	가득/mag
.	./sf
사방의	사방/ncn+의/jcm
교차점에는	교차/ncn+점/xsn+에/jca+는/jxc
신호등	신호/ncn+등/ncn
.	./sf
전속력으로	전/mma+속력/ncn+으로/jca
달려가기에는	달리/pvg+어/ecs+가/pvg+기/etn+에/jca+는/jxc
무리입니다	무리/ncn+이/jp+ㅂ니다/ef
.	./sf
만일	만일/mag
지하철처럼	지하철/ncn+처럼/jca
땅	땅/ncn
밑에	밑/ncn+에/jca
뚫어	뚫/pvg+어/ecx
놓은	놓/px+은/etm
길을	길/ncn+을/jco
달린다면	달리/pvg+ㄴ다/ef+면/ecs
지상의	지상/ncn+의/jcm
혼잡한	혼잡/ncpa+하/xsv+ㄴ/etm
도로를	도로/ncn+를/jco
달리기보다는	달리/pvg+기/etn+보다/jca+는/jxc
경쾌하게	경쾌/ncps+하/xsm+게/jxc
달릴	달리/pvg+ㄹ/etm
수	수/nbn
있겠지요	있/paa+겠/ep+지요/ef
.	./sf
그러나	그러나/maj
땅	땅/ncn
밑에	밑/ncn+에/jca
터널을	터널/ncn+을/jco
뚫는	뚫/pvg+는/etm
공사에는	공사/ncn+에/jca+는/jxc
대단히	대단/ncn+히/xsa
많은	많/paa+은/etm
시간과	시간/ncn+과/jcj
비용이	비용/ncn+이/jcs
듭니다	들/pvg+ㅂ니다/ef
.	./sf
그렇다면	그렇다면/maj
공중	공중/ncn
도로를	도로/ncn+를/jco
건설하여	건설/ncpa+하/xsv+어/ecx
레일을	레일/ncn+을/jco
깔자	깔/pvg+자/ecs
!	!/sf
이리하여	이리하/pvd+여/ecs
기술자들은	기술/ncn+자/xsn+들/xsn+은/jxc
공중에	공중/ncn+에/jca
레일을	레일/ncn+을/jco
깔	깔/pvg+ㄹ/etm
것을	것/nbn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
냈습니다	내/px+었/ep+습니다/ef
.	./sf
빌딩이	빌딩/ncn+이/jcs
즐비하게	즐비하/paa+게/ecs
늘어서	늘/pvg+어/ecs+서/jxc
있는	있/paa+는/etm
도시일지라도	도시/ncn+이/jp+ㄹ지라도/ecs
그	그/mmd
공중에는	공중/ncn+에/jca+는/jxc
자유로운	자유롭/paa+ㄴ/etm
공간이	공간/ncn+이/jcs
얼마든지	얼마/ncn+든지/jxc
있습니다	있/paa+습니다/ef
.	./sf
"	"/sl
그렇지만	그렇지만/maj
그	그/mmd
레일을	레일/ncn+을/jco
무엇에	무엇/npd+에/jca
붙들어	붙들/pvg+어/ecs
매지요	매/pvg+지요/ef
?"	?/sf+"/sr
라는	라는/jcr
의문이	의문/ncn+이/jcs
머릿속에	머릿/ncn+속/ncn+에/jca
떠오르지	떠오르/pvg+지/ecx
않겠어요	않/px+겠/ep+어요/ef
?	?/sf
물론	물론/mag
구름에	구름/ncn+에/jca
달아멜	달/pvg+아/ecs+메/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없습니다	없/paa+습니다/ef
.	./sf
튼튼한	튼튼/ncps+하/xsm+ㄴ/etm
기둥을	기둥/ncn+을/jco
세우고	세우/pvg+고/ecc
그	그/mmd
위에	위/ncn+에/jca
길을	길/ncn+을/jco
만드는	만들/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
움직이는	움직이/pvg+는/etm
계단인	계단/ncn+이/jp+ㄴ/etm
에스컬레이터는	에스컬레이터/ncn+는/jxc
승객을	승객/ncn+을/jco
하늘	하늘/ncn
높이	높/paa+이/xsa
플랫폼에까지	플랫폼/ncn+에/jca+까지/jxc
실어	싣/pvg+어/ecs
나릅니다	나르/pvg+ㅂ니다/ef
.	./sf
그때	그때/npd
,	,/sp
공중	공중/ncn
열차가	열차/ncn+가/jcs
도착합니다	도착/ncpa+하/xsv+ㅂ니다/ef
.	./sf
자아	자아/ii
,	,/sp
한번	한/nnc+번/nbu
타	타/pvg+아/ecx
보자꾸나	보/px+자꾸나/ef
!	!/sf
자동	자동/ncn
도어가	도어/ncn+가/jcs
소리도	소리/ncn+도/jxc
없이	없/paa+이/xsa
닫히고	닫히/pvg+고/ecc
,	,/sp
열차의	열차/ncn+의/jcm
모터	모터/ncn
소리가	소리/ncn+가/jcs
난다	나/pvg+ㄴ다/ef
.	./sf
이젠	이제/ncn+ㄴ/etm
출발이다	출발/ncn+이/jp+다/ef
!	!/sf
눈	눈/ncn
아래는	아래/ncn+는/jxc
버스며	버스/ncn+며/jcj
승용차며	승용/ncn+차/ncn+며/jcj
,	,/sp
그리고	그리고/maj
보행자들이	보행/ncn+자/xsn+들/xsn+이/jcs
분주히	분주/ncn+히/xsa
오가는	오가/pvg+는/etm
모습이	모습/ncn+이/jcs
내려다보였습니다	내리다보/pvg++였/ep+습니다/ef
.	./sf
도로의	도로/ncn+의/jcm
신호등이	신호/ncn+등/ncn+이/jcs
색색으로	색색/ncn+으로/jca
장식된	장식/ncpa+되/xsv+ㄴ/etm
수많은	수많/paa+은/etm
가로등처럼	가로/ncn+등/ncn+처럼/jca
켜졌다	켜지/pvg+었/ep+다/ef
꺼졌다	꺼지/pvg+었/ep+다/ef
하는	하/pvg+는/etm
광경이	광경/ncn+이/jcs
내려다	내리/pvg+어다/ecs
보입니다	보이/pvg+ㅂ니다/ef
.	./sf
그렇지만	그렇지만/maj
이	이/mmd
공중	공중/ncn
열차는	열차/ncn+는/jxc
땅	땅/ncn
위에서	위/ncn+에서/jca
무슨	무슨/mmd
일이	일/ncn+이/jcs
일어나든	일/pvg+어/ecs+나/pvg+든/ecs
조금도	조금/ncn+도/jxc
개의치	개의/ncps+하/xsm+지/ecx
않습니다	않/px+습니다/ef
.	./sf
열차는	열차/ncn+는/jxc
더욱더	더욱더/mag
속도를	속도/ncn+를/jco
내어	내/pvg+어/ecs
점점	점점/mag
더	더/mag
멀리	멀리/mag
달려갑니다	달리/pvg+어/ecx+가/px+ㅂ니다/ef
.	./sf
마주	마주/mag
불어오는	불/pvg+어/ecx+오/px+는/etm
바람은	바람/ncn+은/jxc
윙윙	윙윙/mag
소리를	소리/ncn+를/jco
내고	내/pvg+고/ecx
아름답게	아름답/paa+게/ecs
칠해진	칠하/pvg+어/ecx+지/px+ㄴ/etm
열차는	열차/pvg+는/etm
햇빛에	햇빛/ncn+에/jca
반짝거리고	반짝거리/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
하지만	하지만/maj
항상	항상/mag
보아	보/pvg+아/ecx
와서	오/px+아서/ecs
눈에	눈/ncn+에/jca
익은	익/pvg+은/etm
보행자들은	보행/ncn+자/xsn+들/xsn+은/jxc
그	그/mmd
열차를	열차/ncn+를/jco
쳐다보려고도	쳐다보/pvg+려고/ecs+도/jxc
하지	하/pvg+지/ecx
않습니다	않/px+습니다/ef
.	./sf
한번	한/nnc+번/nbu
생각	생각/ncn
좀	좀/mag
해	하/pvg+어/ecx
보십시오	보/px+십시오/ef
.	./sf
공중	공중/ncn
열차라는	열차/ncn+라는/jca
것은	것/nbn+은/jxc
아주	아주/mag
근사한	근사/ncps+하/xsm+ㄴ/etm
탈	타/pvg+ㄹ/etm
것이	것/nbn+이/jcs
아니겠어요	아니/paa+겠/ep+어요/ef
!	!/sf
2	2/nno
.	./sf
왜	왜/mag
레일은	레일/ncn+은/jxc
한	한/nnc
개밖에	개/nbu+밖/nbn+에/jxc
없을까	없/paa+ㄹ까/ef
?	?/sf
보행자들이	보행/ncn+자/xsn+들/xsn+이/jcs
위를	위/ncn+를/jco
쳐다보지	쳐다보/pvg+지/ecx
않는	않/px+는/etm
것은	것/nbn+은/jxc
유감스러운	유감/ncps+스럽/xsm+ㄴ/etm
일입니다	일/ncn+이/jp+ㅂ니다/ef
.	./sf
거기에는	거기/npd+에/jca+는/jxc
재미있는	재미/ncn+있/paa+는/etm
것이	것/nbn+이/jcs
보입니다만	보이/pvg+ㅂ니다/ef+만/jxc
공중	공중/ncn
철도는	철도/ncn+는/jxc
레일이	레일/ncn+이/jcs
두개가	두/nnc+개/nbu+가/jcs
아니라	아니/paa+라/ecs
단	단/mma
한	한/nnc
개밖에	개/nbu+밖/nbn+에/jxc
없습니다	없/paa+습니다/ef
.	./sf
그래서	그래서/maj
이	이/mmd
철도는	철도/ncn+는/jxc
그리스어인	그리스/nq+어/xsn+인/xsn
모노스	모노스/nq
1	1/nno
이라는	이/jp+라/jca+는/jxc
말을	말/ncn+을/jco
써서	쓰/pvg+어/ecs+서/jxc
모노레일이라고	모노레일/ncn+이/jp+라고/jcr
불리고	불리/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
자전거	자전거/ncn
바퀴처럼	바퀴/ncn+처럼/jca
생긴	생기/pvg+ㄴ/etm
타이어가	타이어/ncn+가/jca
붙은	붙/pvg+은/etm
조그만	조그맣/paa+ㄴ/etm
열차	열차/ncn
바퀴가	바퀴/ncn+가/jcs
단	단/mma
한개의	한/nnc+개/nbu+의/jcm
레일을	레일/ncn+을/jco
따라	따르/pvg+아/ecs
차례차례	차례차례/mag
달려갑니다만	달리/pvg+어/ecx+가/px+ㅂ니다/ef+만/jxc
,	,/sp
그	그/mmd
대차	대차/ncn
(	(/sl
臺車	臺車/f
)	)/sr
에는	에/jca+는/jxc
승객을	승객/ncn+을/jco
태우는	태우/pvg+는/etm
차체가	차체/ncn+가/jcs
매달려	매달/pvg+려/ecx
있습니다	있/px+습니다/ef
.	./sf
다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
열차는	열차/ncn+는/jxc
레일	레일/ncn
아래쪽에	아래/ncn+쪽/nbn+에/jca
