<tdmsfile>


이곳에서는	이곳/npd+에서/jca+는/jxc
컴퓨터가	컴퓨터/ncn+가/jcs
처음인	처음/ncn+이/jp+ㄴ/etm
분들에게	분/nbn+들/xsn+에게/jca
컴퓨터는	컴퓨터/ncn+는/jxc
어떤	어떤/mmd
것이고	것/nbn+이/jp+고/ecc
,	,/sp
어디에	어디/npd+에/jca
쓸	쓰/pvg+ㄹ/etm
수	수/ncn
있는가를	있/paa+는가/ef+를/jco
간략하게	간략/ncps+하/xsm+게/ecc
소개하겠습니다	소개/ncpa+하/xsv+겠/ep+습니다/ef
.	./sf

혹시	혹시/mag
컴퓨터가	컴퓨터/ncn+가/jcs
처음이	처음/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
분이라면	분/nbn+이/jp+라/ef+면/ecs
건너뛰고	건너/pvg+어/ecs+뛰/pvg+고/ecc
다음	다음/ncn
단원부터	단원/ncn+부터/jxc
보셔도	보/pvg+시/ep+어도/ecs
좋습니다	좋/paa+습니다/ef
.	./sf

`	`/sl
음	음/ii
,	/sp
정보화	정보/ncn+화/xsn
사회라	사회/ncn+라/ef
.....`	....../se+`/sr

즉	즉/mag
,	,/sp
매일매일	매일매일/mag
쏟아져	쏟/pvg+아/ecx+지/px+어/ecs
나오는	나오/pvg+는/etm
수많은	수많/paa+은/etm
정보들이	정보/ncn+들/xsn+이/jcs
우리가	우리/npp+가/jcs
살아가는	살/pvg+아/ecx+가/px+는데/ecs
매우	매우/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
하고	하/pvg+고/ecx
있다는	있/px+다/ef+는/etm
말이지요	말/ncn+이/jp+지/ef+요/jxf
.	./sf

컴퓨터야말로	컴퓨터/ncn+야말로/jxc
수많은	수많/paa+은/etm
정보를	정보/ncn+를/jco
효율적으로	효율/ncn+적/xsn+으로/jca
기억하고	기억/ncpa+하/xsv+고/ecc
관리하며	관리/ncpa+하/xsv+며/ecs
정보화	정보/ncn+화/xsn
시대를	시대/ncn+를/jco
가능하게	가능/ncps+하/xsm+게/ecx
한	하/pvg+ㄴ/etm
결정적인	결정/ncn+적/xsn+이/jp+ㄴ/etm
존재였습니다	존재/ncn+이/jp+었/ep+습니다/ef
.	./sf

컴퓨터란	컴퓨터/ncn+란/jxc
무엇인가란	무엇/npd+이/jp+ㄴ가/ef+란/jxc
정의	정의/jcm
역시	역시/mag
,	,/sp
무한한	무한/ncps+하/xsm+ㄴ/etm
사용	사용/ncn
기능에	기능/ncn+에/jca
따라	따르/pvg+아/ecs
변화시키는	변화/ncpa+시키/xsv+는/etm
것이	것/nbn+이/jcs
좋을	좋/paa+을/etm
듯하기	듯하/px+기/etn
때문에	때문/nbn+에/jca
,	,/sp
컴퓨터가	컴퓨터/ncn+가/jcs
뭐다	뭐/npd+다/ef
하고	하/px+고/ecc
딱히	딱히/mag
규정짓지	규정/ncn+짓/pvg+지/ecx
않는	않/px+는/etm
것이	것/nbn+이/jcs
좋지	좋/paa+지/ecx
않을까	않/px+을까/ef
생각합니다	생각/ncpa+하/xsv+ㅂ니다/ef
.	./sf

요즘엔	요즘/ncn+에/jca+ㄴ/jxc
아예	아예/mag
컴퓨터	컴퓨터/ncn
하면	하/pvg+면/ecs
개인용	개인/ncn+용/xsn
컴퓨터를	컴퓨터/ncn+를/jco
뜻하는	뜻/ncpa+하/xsv+는/etm
경우가	경우/ncn+가/jcs
많아졌습니다	많/paa+아/ecx+지/px+었/ep+습니다/ef
.	./sf

기술의	기술/ncn+의/jcm
발전으로	발전/ncn+으로/jca
말미암아	말미암/pvg+아/ecs
중대형	중대/ncn+형/xsn
컴퓨터의	컴퓨터/ncn+의/jcm
기능이	기능/ncn+이/jcs
점차	점차/mag
개인용	개인/ncn+용/xsn
컴퓨터에	컴퓨터/ncn+에/jca
이전되는	이전/ncpa+되/xsv+는/etm
추세	추세/ncn
때문이지요	때문/nbn+이/jp+지/ef+요/jxf
.	./sf

개인용	개인/ncn+용/xsn
컴퓨터는	컴퓨터/ncn+는/jxc
데스크탑	데스크탑/ncn
(	(/sl
Desktop	Desktop/f
)	)/sr
이라고	이/jp+라/ef+고/jcr
불리는	불리/pvg+는/etm
탁상용에서부터	탁상/ncn+용/xsn+에서/jca+부터/jxc
,	,/sp
무릎	무릎/ncn
위에	위/ncn+에/jca
놓고	놓/pvg+고/ecx
쓴다는	쓰/pvg+ㄴ다/ef+는/etm
뜻에서	뜻/ncn+에서/jca
이름붙여진	이름/ncn+붙이/pvg+어/ecx+지/px+ㄴ/etm
랩탑	랩탑/ncn
(	(/sl
Laptop	Laptop/f
),	)/sr+,/sp
무릎도	무릎/ncn+도/jxc
넓으니	넓/paa+으니/ecs
손바닥	손바닥/ncn
위에	위/ncn+에/jca
놓고	놓/pvg+고/ecx
쓴다는	쓰/pvg+ㄴ다/ef+는/etm
뜻에서	뜻/ncn+에서/jca
이름붙여진	이름/ncn+붙이/pvg+어/ecx+지/px+ㄴ/etm
팜탑	팜탑/ncn
(	(/sl
Palmtop	Palmtop/f
)	)/sr
등	등/nbn
점차	점차/mag
작고	작/paa+고/ecc
가벼워지는	가볍/paa+어/ecx+지/px+는/etm
경향입니다	경향/ncn+이/jp+ㅂ니다/ef
.	./sf

지금부터	지금/ncn+부터/jxc
그	그/mmd
가운데서	가운데/ncn+서/jca
우리들과	우리/npp+들/xsn+과/jct
밀접하다고	밀접/ncpa+하/xsv+다/ef+고/jcr
할	하/pvg+ㄹ/etm
수있는	수/nbn+있/paa+는/etm
몇	몇/nnc
가지에	가지/nbu+에/jca
대해서	대하/pvg+어서/ecs
살펴보기로	살피/pvg+어/ecs+보/pvg+기/etn+로/jca
하겠습니다	하/pvg+겠/ep+습니다/ef
.	./sf

지금	지금/ncn
이	이/mmd
책을	책/ncn+을/jco
읽고	읽/pvg+고/ecx
계신	계시/px+ㄴ/etm
분들	분/nbn+들/xsn
가운데도	가운데/ncn+도/jxc
,	,/sp
컴퓨터는	컴퓨터/ncn+는/jxc
잘	잘/mag
몰라도	모르/pvg+아도/ecs
컴퓨터	컴퓨터/ncn
오락은	오락/ncn+은/jxc
한두	한두/nnc
번	번/nbu
이상씩	이상/ncn+씩/xsn
해	하/pvg+어/ecx
본	보/px+ㄴ/etm
분들이	분/nbn+들/xsn+이/jcs
있을	있/paa+을/etm
거라고	거/nbn+라고/jcr
생각합니다	생각/ncpa+하/xsv+ㅂ니다/ef
.	./sf

실제로	실제/ncn+로/jca
컴퓨터를	컴퓨터/ncn+를/jco
어떤	어떻/pad+ㄴ/etm
형태로	형태/ncn+로/jca
처음	처음/mag
접하게	접하/pvg+게/ecx
되었는가를	되/pvg+었/ep+는가/ef+를/jco
조사해	조사/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
,	,/sp
첫번째가	첫/nno+번째/nbu+가/jcs
바로	바로/mag
컴퓨터	컴퓨터/ncn
오락	오락/ncn
,	,/sp
즉	즉/mag
컴퓨터를	컴퓨터/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
게임이라고	게임/ncn+이/jp+라/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf

가장	가장/mag
많은	많/paa+은/etm
사람들의	사람/ncn+들/xsn+의/jcm
사랑이	사랑/ncn+이/jcs
쏟아졌다는	쏟/pvg+아/ecx+지/px+었/ep+다/ef+는/etm
`	`/sl
테트리스	테트리스/nq
(	(/sl
Tetris	Tetris/f
)`	)/sr+`/sr
를	를/jco
비롯해서	비롯/ncpa+하/xsv+어서/ecs
`	`/sl
버블버블	버블버블/nq
`,	`/sr+,/sp
오목바둑	오목바둑/ncn
,	,/sp
심지어	심지어/mag
화투놀이	화투/ncn+놀이/ncn
,	,/sp
카드놀이	카드/ncn+놀이/ncn
,	,/sp
전쟁놀이	전쟁/ncn+놀이/ncn
,	,/sp
스포츠놀이에	스포츠/ncn+놀이/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
