<tdmsfile>

<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_ac.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_ac.txt </filename>
<title> 한국어 관계구문의 통사와 의미구조 </title>
<author> 신효필 </author>
<date> 1994 </date>
<publisher>서울대학교  </publisher>
<kdc>TD715.8  </kdc>
<ddc>TD495.75 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>

논제명	논제/ncn+명/ncn
:	:/sp
한국어	한국어/nq
관계구문의	관계/ncn+구문/ncn+의/jcm
통사와	통사/ncn+와/jcj
의미구조	의미/ncn+구조/ncn
-	-/sd
통합문법적	통합/ncn+문법/ncn+적/xsn
접근	접근/ncn
-	-/sd
위치정보	위치/ncn+정보/ncn
:	:/sp
언어학과	언어/ncn+학과/ncn
박사학위	박사/ncn+학위/ncn
논문	논문/ncn
,	,/sp
1993	1993/nno
.	./sf
저자명	저자/ncn+명/ncn
:	:/sp
신효필	신효필/nq
22      <       </sl
국문	국문/ncn
초록	초록/ncn
>	>/sr
26      한국어  한국어nq
관계구문의	관계/ncn+구문/ncn+의/jcm
통사와	통사/ncn+와/jcj
의미구조	의미/ncn+구조/ncn
-	-/sd
통합문법적	통합/ncn+문법/ncn+적/xsn
접근	접근/ncn
-	-/sd
본	본/mma
논문은	논문/ncn+은/jxc
한국어	한국어/nq
관형구성의	관형/ncn+구성/ncn+의/jcm
일종으로	일종/ncn+으로/jca
오래	오래/mag
전부터	전/ncn+부터/jca
논의되어	논의/ncpa+되/xsv+어/ecx
온	오/px+ㄴ/etm
관계구성의	관계/ncn+구성/ncn+의/jcm
통사	통사/ncn
의미적인	의미/ncn+적/xsn+이/jp+ㄴ/etm
특성을	특성/ncn+을/jco
살피고	살피/pvg+고/ecs
다시	다시/mag
이를	이르/pvg+ㄹ/etm
정보기반적	정보/ncn+기반/ncn+적/xsn
(	(/sl
information	information/f
-	-/sd
based	based/f
)	)/sr
이고	이/jp+고/ecs
통합문법	통합/ncn+문법/ncn
적인	적/xsn+이/jp+ㄴ/etm
머리중심	머리/ncn+중심/ncn
구조문법	구조/ncn+문법/ncn
(	(/sl
Head	Head/f
-	-/sd
driven	driven/f
Phrase	Phrase/f
Structure	Structure/f
Grammar	Grammar/f
:	:/sp
HPSG	HPSG/f
)	)/sr
을	을/jco
기초로	기초/ncn+로/jca
하여	하/pvg+어/ecs
통사와	통사/ncn+와/jcj
의미가	의미/ncn+가/jcs
상호작용하는	상호/ncn+작용/ncn+하/xsv+는/etm
문법	문법/ncn
모형	모형/ncn
안에서	안/ncn+에서/jca
이와	이/npd+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
여러	여러/mma
현상들을	현상/ncn+들/xsn+을/jco
기술해보는	기술/ncpa+하/xsv+어/ecx+보/px+는/etm
것을	것/nbn+을/jco
목표로	목표/ncn+로/jca
삼는다	삼/pvg+는다/ef
.	./sf
한국어	한국어/nq
관계구성은	관계/ncn+구성/ncn+은/jxc
통사론과	통사/ncn+론/xsn+과/jcj
의미론의	의미/ncn+론/xsn+의/jcm
두	두/nnc
부문이	부문/ncn+이/jcs
함께	함께/mag
작용하는	작용/ncpa+하/xsv+는/etm
복합적인	복합/ncn+적/xsn+이/jp+ㄴ/etm
면을	면/ncn+을/jco
보이고	보이/pvg+고/ecs
,	,/sp
더	더/mag
나아가	나아가/pvg+아/ecs
화용적인	화용/ncn+적/xsn+이/jp+ㄴ/etm
상황까지	상황/ncn+까지/jca
요구되는	요구/ncpa+되/xsv+는/etm
측면	측면/ncn
을	을/jco
보이므로	보이/pvg+므로/ecs
현재	현재/ncn
어느	어느/mmd
다른	다르/paa+ㄴ/etm
문법이론보다	문법/ncn+이론/ncn+보다/jca
통사	통사/ncn
의미구조의	의미/ncn+구조/ncn+의/jcm
정보	정보/ncn
및	및/maj
화용적	화용/ncn+적/xsn
상황	상황/ncn
까지	까지/jca
포괄할	포괄/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
HPSG	HPSG/f
가	가/jcs
이	이/mmd
관계를	관계/ncn+를/jco
잘	잘/mag
포착할	포착/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
관형화	관형/ncn+화/xsn
(	(/sl
adnominalization	adnominalization/f
)	)/sr
는	는/jxc
한	한/nnc
문장이	문장/ncn+이/jcs
일정한	일정/ncpa+하/xsv+ㄴ/etm
관형형	관형/ncn+형/xsn
어미에	어미/ncn+에/jca
의해	의하/pvg+어/ecs
뒤에	뒤/ncn+에/jca
오는	오/pvg+는/etm
명사나	명사/ncn+나/jcj
명사구를	명사/ncn+구/ncn+를/jco
수식하는	수식/ncpa+하/xsv+는/etm
절차로	절차/ncn+로/jca
본	보/pvg+ㄴ/etm
논의에서는	논의/ncn+에서/jca+는/jxc
관형을	관형/ncn+을/jco
상위의	상위/ncn+의/jcm
범주로	범주/ncn+로/jca
하고	하/pvg+고/ecs
,	,/sp
그	그/mmd
하위	하위/ncn
유형으로	유형/ncn+으로/jca
보문	보문/ncn
/	//sp
동격구성	동격/ncn+구성/ncn
(	(/sl
appositive	appositive/f
construction	construction/f
),	)/sr+,/sp
관계구성	관계/ncn+구성/ncn
(	(/sl
relative	relative/f
construction	construction/f
),	)/sr+,/sp
그리고	그리고/maj
의사관계구성	의사/ncn+관계/ncn+구성/ncn
(	(/sl
pseudo	pseudo/f
-	-/sd
relative	relative/f
construction	construction/f
)	)/sr
을	을/jco
설정하고	설정/ncpa+하/xsv+고/ecs
그	그/mmd
통사	통사/ncn
의미적	의미/ncn+적/xsn
특징을	특징/ncn+을/jco
고찰하여	고찰/ncpa+하/xsv+어/ecs
,	,/sp
기존의	기존/ncn+의/jcm
보문	보문/ncn
/	//sp
동격구성과	동격/ncn+구성/ncn+과/jcj
관계구성이라는	관계/ncn+구성/ncn+이/jp+라/ef+는/etm
이분법적인	이분/ncn+법/ncn+적/xsn+이/jp+ㄴ/etm
분류를	분류/ncn+를/jco
지양하였다	지양/ncpa+하/xsv+었/ep+다/ef
.	./sf
논의의	논의/ncn+의/jcm
출발은	출발/ncn+은/jxc
관계구성의	관계/ncn+구성/ncn+의/jcm
