<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
토종	토종/ncn]nq
-	-/sd
박남일	박남일/nq
-----	-----/sy
차례	차례/ncn
-----	-----/sy
9       <       </sl
토종이란	토종/ncn+이/jp+란/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
>	>/sr
13      <       </sl
곡류	곡류/ncn
>	>/sr
1	1/nno
.	./sf
쌀	쌀/ncn
/	//sp
우리	우리/npp
민족의	민족/ncn+의/jcm
생명원	생명/ncn+원/xsn
2	2/nno
.	./sf
보리	보리/ncn
/	//sp
모진	모질/paa+ㄴ/etm
한파	한파/ncn
속에서	속/ncn+에서/jca
자란	자라/pvg+ㄴ/etm
오곡의	오곡/ncn+의/jcm
장	장/ncn
(	(/sl
長	長/ncn
)	)/sr
3	3/nno
.	./sf
참깨	참깨/ncn
/	//sp
신혼의	신혼/ncn+의/jcm
단꿈처럼	단꿈/ncn+처럼/jca
고소한	고소/ncps+하/xsm+ㄴ/etm
맛과	맛/ncn+과/jcj
향기	향기/ncn
4	4/nno
.	./sf
참밀	참밀/ncn
/	//sp
공해	공해/ncn
없고	없/paa+고/ecc
수확량	수확/ncn+량/ncn
많은	많/paa+은/etm
토종밀	토종/ncn+밀/ncn
5	5/nno
.	./sf
콩	콩/ncn
(	(/sl
대두	대두/ncn
)/	)/sr+//sp
구수한	구수/ncps+하/xsm+ㄴ/etm
된장맛의	된장/ncn+맛/ncn+의/jcm
뿌리	뿌리/ncn
6	6/nno
.	./sf
녹두	녹두/ncn
/	//sp
그릇된	그릇/ncpa+되/xsv+ㄴ/etm
역사를	역사/ncn+를/jco
응징하는	응징/ncpa+하/xsv+는/etm
곡식	곡식/ncn
7	7/nno
.	./sf
팥	팥/ncn
/	//sp
귀신을	귀신/ncn+을/jco
물리치는	물리치/pvg+는/etm
신성한	신성/ncps+하/xsm+ㄴ/etm
곡식	곡식/ncn
8	8/nno
.	./sf
조	조/ncn
/	//sp
알갱이는	알갱이/ncn+는/jxc
작지만	작/paa+지만/ecs
가장	가장/mag
오래된	오래/mag+되/xsv+ㄴ/etm
곡식	곡식/ncn
9	9/nno
.	./sf
메밀	메밀/ncn
/	//sp
도인들의	도인/ncn+들/xsn+의/jcm
선식	선식/ncn
94      <       </sl
본초류	본초/ncn+류/xsn
>	>/sr
10	10/nno
.	./sf
인삼	인삼/ncn
/	//sp
세계	세계/ncn
최고의	최고/ncn+의/jcm
고려	고려/nq
인삼	인삼/ncn
11	11/nno
.	./sf
칡	칡/ncn
/	//sp
굶주린	굶주리/pvg+ㄴ/etm
민중들의	민중/ncn+들/xsn+의/jcm
배고픔	배고픔/ncn
달래주는	달래/pvg+어/ecx+주/px+는/etm
구황식물	구황/ncn+식물/ncn
12	12/nno
.	./sf
고사리	고사리/ncn
/	//sp
줄기	줄기/ncn
연하고	연하/paa+고/ecc
향	향/ncn
짙은	짙/paa+은/etm
토종	토종/ncn
고사리	고사리/ncn
13	13/nno
.	./sf
약쑥	약쑥/ncn
/	//sp
쑥중의	쑥/ncn+중/nbn+의/jcm
귀족	귀족/ncn
싸주아리쑥	싸주아리쑥/nq
14	14/nno
.	./sf
오미자	오미자/ncn
/	//sp
다섯	다섯/nnc
가지의	가지/nbu+의/jcm
신비한	신비/ncps+하/xsm+ㄴ/etm
맛	맛/ncn
15	15/nno
.	./sf
산수유	산수유/nq
/	//sp
양지바른	양지/ncn+바르/paa+ㄴ/etm
곳에서	곳/ncn+에서/jca
자라는	자라/pvg+는/etm
강장제	강장/ncn+제/xsn
16	16/nno
.	./sf
도라지	도라지/ncn
/	//sp
심심산천에	심심산천/ncn+에/jca
흐드러지게	흐드러지/paa+게/ecs
핀	피/pvg+ㄴ/etm
꽃과	꽃/ncn+과/jcj
살진	살지/paa+ㄴ/etm
뿌리	뿌리/ncn
17	17/nno
.	./sf
더덕	더덕/nq
/	//sp
인삼의	인삼/ncn+의/jcm
사촌	사촌/ncn
18	18/nno
.	./sf
버섯	버섯/ncn
/	//sp
맛과	맛/ncn+과/jcj
향기를	향기/ncn+를/jco
갖추고	갖추/pvg+고/ecc
암을	암/ncn+을/jco
예방하는	예방/ncpa+하/xsv+는/etm
생약제	생/xp+약제/ncn
19	19/nno
.	./sf
황기	황기/nq
/	//sp
인삼대용의	인삼/ncn+대용/ncn+의/jcm
보약	보약/ncn
20	20/nno
.	./sf
구기자	구기자/nq
/	//sp
백년해로하는	백/nnc+년/nbu+해로/ncpa+하/xsv+는/etm
불로의	불로/ncn+의/jcm
묘약	묘약/ncn
21	21/nno
.	./sf
무	무/ncn
/	//sp
배처럼	배/ncn+처럼/jca
시원하고	시원/ncps+하/xsm+고/ecc
단맛나는	달/paa+ㄴ/etm+맛/ncn+나/pvg+는/etm
조선무	조선무/ncn
22	22/nno
.	./sf
호박	호박/ncn
/	//sp
어디든	어디/npd+든/jxc
거침없이	거침없/paa+이/xsa
뻗어가는	뻗/pvg+어/ecs+가/pvg+는/etm
호박넝쿨	호박/ncn+넝쿨/ncn
23	23/nno
.	./sf
율무	율무/nq
/	//sp
윤기나고	윤기/ncn+나/pvg+고/ecc
찰기있는	찰기/ncn+있/paa+는/etm
토종	토종/ncn
율무는	율무/nq+는/jxc
최고의	최고/ncn+의/jcm
미용제	미용/ncn+제/xsn
24	24/nno
.	./sf
대	대/ncn
(	(/sl
죽순	죽순/ncn
)/	)/sr+//sp
풀도	풀/ncn+도/jxc
아니고	아니/paa+고/ecc
나무도	나무/ncn+도/jxc
아닌	아니/paa+ㄴ/etm
것이	것/nbn+이/jcs
25	25/nno
