<tdmsfile>
<tdmsfile>
kbs1.hwp
여러분	여러분/npp
안녕하십니까?	안녕/ncps+하/xsm+시/ep+ㅂ니까/ef+?/sf
KBS	KBS/f
9시뉴스입니다.	nq[9/nno+시/nbu+뉴스/ncn]nq+이/jp+ㅂ니다/ef+./sf
오늘은	오늘/ncn+은/jxc
단기	단기/ncn
4329주년	4329/nno+주년/nbu
개천절입니다.	개천절/nq+이/jp+ㅂ니다/ef+./sf
오늘	오늘/mag
휴일을	휴일/ncn+을/jco
맞아서	맞/pvg+아서/ecs
이제	이제/mag
막	막/mag
단풍이	단풍/ncn+이/jcs
물들기	물/ncn+들/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
산과	산/ncn+과/jcj
들에는	들/ncn+에/jca+는/jxc
행락객들의	행락/ncn+객/xsn+들/xsn+의/jcm
물결이	물결/ncn+이/jcs
넘쳐흘렀습니다.	넘치/pvg+어/ecs+흐르/pvg+었/ep+습니다/ef+./sf
불타는	불/ncn+타/pvg+는/etm
금강산	금강산/nq
그러나	그러나/maj
수려한	수려/ncps+하/xsm+ㄴ/etm
경관으로는	경관/ncn+으로/jca+는/jxc
단연	단연/mag
으뜸인	으뜸/ncn+이/jp+ㄴ/etm
것이	것/nbn+이/jcs
금강산입니다.	금강산/nq+이/jp+ㅂ니다/ef+./sf
지금	지금/mag
이	이/mmd
금강산에도	금강산/nq+에/jca+도/jxc
단풍이	단풍/ncn+이/jcs
붉게	붉/paa+게/ecs
물들기	물/ncn+들/pvg+기/etn
시작했다는	시작/ncpa+하/xsv+었/ep+다/ef+는/etm
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
오늘	오늘/mag
먼저	먼저/mag
단풍이	단풍/ncn+이/jcs
뒤덮기	뒤덮/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
이	이/mmd
금강산	금강산/nq
비경으로	비경/ncn+으로/jca
시청자	시청/ncn+자/xsn
여러분들을	여러분/npp+들/xsn+을/jco
잠시	잠시/mag
안내해드리겠습니다.	안내/ncpa+하/xsv+어/ecx+드리/px+겠/ep+습니다/ef+./sf
이	이/mmd
금강산	금강산/nq
화면은	화면/ncn+은/jxc
최근	최근/ncn
중국	중국/nq
동포	동포/ncn
영상제작회사가	영상/ncn+제작/ncn+회사/ncn+가/jcs
기획촬영한	기획/ncn+촬영/ncpa+하/xsv+ㄴ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
임병걸	임병걸/nq
기자의	기자/ncn+의/jcm
설명입니다.	설명/ncn+이/jp+ㅂ니다/ef+./sf
수정봉과	수정봉/nq+과/jcj
옥녀봉,	옥녀봉/nq+,/sp
세전봉	세전봉/nq
등	등/nbn
장엄하고	장엄/ncps+하/xsm+고/ecc
기기묘묘한	기기묘묘/ncps+하/xsm+ㄴ/etm
봉우리들이	봉우리/ncn+들/xsn+이/jcs
파노라마처럼	파노라마/ncn+처럼/jca
펼쳐지는	펼치/pvg+어/ecx+지/px+는/etm
금강산,	금강산/nq+,/sp
타는	타/pvg+는/etm
듯	듯/nbn
붉게	붉/paa+게/ecs
물든	물/ncn+들/pvg+ㄴ/etm
단풍이	단풍/ncn+이/jcs
절정을	절정/ncn+을/jco
이룬	이루/pvg+ㄴ/etm
가을의	가을/ncn+의/jcm
금강산은	금강산/nq+은/jxc
더욱	더욱/mag
황홀	황홀/ncn
바위들이	바위/ncn+들/xsn+이/jcs
어우러진	어우러지/pvg+ㄴ/etm
계곡사이로	계곡/ncn+사이/ncn+로/jca
거울보다	거울/ncn+보다/jca
맑은	맑/paa+은/etm
물이	물/ncn+이/jcs
흘러내립니다.	흐르/pvg+어/ecs+내리/pvg+ㅂ니다/ef+./sf
옥류동	옥류동/nq
계곡을	계곡/ncn+을/jco
따라	따르/pvg+아/ecs
올라가면	오르/pvg+아/ecs+가/pvg+면/ecs
실타래가	실타래/ncn+가/jcs
풀리듯	풀리/pvg+듯/ecs
장장	장장/mag
139미터를	139/nnc+미터/nbu+를/jco
흘러내리는	흐르/pvg+어/ecs+내리/pvg+는/etm
비봉폭포가	비봉폭포/nq+가/jcs
있습니다.	있/paa+습니다/ef+./sf
비봉폭포에서	비봉폭포/nq+에서/jca
조금	조금/mag
더	더/mag
올라가면	오르/pvg+아/ecs+가/pvg+면/ecs
우리나라	우리/npp+나라/ncn
3대	3/nnc+대/nbu
폭포	폭포/ncn
가운데	가운데/ncn
하나라는	하나/ncn+라/ef+는/etm
구룡폭포의	구룡폭포/nq+의/jcm
장관을	장관/ncn+을/jco
