<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
훈련	훈련/ncn
팝니다"	팔/pvg+ㅂ니다/ef+"/sr
올	올/mma
여름에	여름/ncn+에/jca
열린	열리/pvg+ㄴ/etm
해병대	해병/ncn+대/xsn
극기	극기/ncn
훈련	훈련/ncn
캠프가	캠프/ncn+가/jcs
예상외로	예상/ncn+외/nbn+로/jca
큰	크/paa+ㄴ/etm
인기를	인기/ncn+를/jco
모으자	모으/pvg+자/ecs
해병대가	해병/ncn+대/xsn+가/jcs
겨울용	겨울/ncn+용/xsn
훈련	훈련/ncn
캠프도	캠프/ncn+도/jxc
개설하기로	개설/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
언제	언제/mag
어디서	어디/npd+서/jca
열리는	열리/pvg+는/etm
지	지/nbn
심원택	심원택/nq
기자가	기자/ncn+가/jcs
소개해	소개/ncpa+하/xsv+어/ecx
드립니다	드리/px+ㅂ니다/ef
올	올/mma
여름	여름/ncn
해병대	해병/ncn+대/xsn
캠프	캠프/ncn
모습입니다.	모습/ncn+이/jp+ㅂ니다/ef+./sf
유명한	유명/ncps+하/xsm+ㄴ/etm
영화	영화/ncn
감독	감독/ncn
배창호	배창호/nq
씨는	씨/xsn+는/jxc
비	비/ncn
속에서	속/ncn+에서/jca
진땀을	진땀/ncn+을/jco
흘렸습니다.	흘리/pvg+었/ep+습니다/ef+./sf
여름	여름/ncn
캠프에는	캠프/ncn+에/jca+는/jxc
7천	7천/nnc
명	명/nbu
이상의	이상/ncn+의/jcm
지원자가	지원/ncn+자/xsn+가/jcs
몰려	몰리/pvg+어/ecs
훈련	훈련/ncn
선발	선발/ncn
인원을	인원/ncn+을/jco
고르느라	고르/pvg+느라/ecs
애를	애/ncn+를/jco
먹었습니다.	먹/pvg+었/ep+습니다/ef+./sf
의사,	의사/ncn+,/sp
프로	프로/ncn
농구	농구/ncn
선수,	선수/ncn+,/sp
학생,	학생/ncn+,/sp
은행원	은행/ncn+원/xsn
등	등/nbn
10대부터	10/nno+대/nbn+부터/jxc
50대	50/nno+대/nbn
후반까지	후반/ncn+까지/jxc
다양한	다양/ncps+하/xsm+ㄴ/etm
직종과	직종/ncn+과/jcj
연령층이	연령/ncn+층/xsn+이/jcs
극기	극기/ncn
훈련에	훈련/ncn+에/jca
도전했습니다.	도전/ncpa+하/xsv+었/ep+습니다/ef+./sf
해병대는	해병/ncn+대/xsn+는/jxc
오는	오/pvg+는/etm
12월	12/nno+월/nbu
15일부터	15/nno+일/nbu+부터/jxc
내년	내년/ncn
1월	1/nno+월/nbu
20일까지	20/nno+일/nbu+까지/jxc
동계	동계/ncn
해병대	해병/ncn+대/xsn
캠프를	캠프/ncn+를/jco
운영할	운영/ncpa+하/xsv+ㄹ/etm
예정입니다	예정/ncn+이/jp+ㅂ니다/ef
갖가지	갖가지/ncn
극한	극한/ncn
상황을	상황/ncn+을/jco
극복하는	극복/ncpa+하/xsv+는/etm
데	데/nbn
중점을	중점/ncn+을/jco
두고	두/pvg+고/ecs
실시할	실시/ncpa+하/xsv+ㄹ/etm
생각입니다.	생각/ncn+이/jp+ㅂ니다/ef+./sf
특히	특히/mag
크리스마스	크리스마스/nq
캠프로	캠프/ncn+로/jca
설정해서	설정/ncpa+하/xsv+어서/ecs
특별한	특별/ncps+하/xsm+ㄴ/etm
프로그램을	프로그램/ncn+을/jco
준비	준비/ncn
중에	중/nbn+에/jca
있고	있/paa+고/ecc
훈련은	훈련/ncn+은/jxc
포항과	포항/nq+과/jcj
김포	김포/nq
2개	2/nnc+개/nbu
지역으로	지역/ncn+으로/jca
