<tdmsfile>
sbs.hwp
외환당국	외환/ncn+당국/ncn
개입	개입/ncn
중단,	중단/ncn
환율폭	환율/ncn+폭/ncn
안정을	안정/ncn+을/jco
찾았는가	찾/pvg+았/ep+는가/ecs
싶던	싶/px+던/etm
환율이	환율/ncn+이/jcs
오늘은	오늘/ncn+은/jxc
다시	다시/mag
상한가까지	상한/ncn+가/xsn+까지/jxc
치솟는	치솟/pvg+는/etm
폭등세를	폭등/ncn+세/xsn+를/jco
보이며	보이/pvg+며/ecs
외환시장이	외환/ncn+시장/ncn+이/jcs
마비됐습니다	마비/ncpa+되/xsv+었/ep+습니다/ef
연이어	연잇/pvg+어/ecs
주가는	주가/ncn+는/jxc
폭락하고	폭락/ncpa+하/xsv+고/ecs
금리는	금리/ncn+는/jxc
급등하면서	급등/ncpa+하/xsv+면서/ecs
금융시장에	금융/ncn+시장/ncn+에/jca
위기감이	위기/ncn+감/xsn+이/jcs
짙게	짙/paa+게/ecs
깔리고	깔리/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
오늘	오늘/ncn
금융시장의	금융/ncn+시장/ncn+의/jcm
불안은	불안/ncn+은/jxc
그동안	그/mma+동안/ncn
환율의	환율/ncn+의/jcm
안정을	안정/ncn+을/jco
끌어오던	끌/pvg+어/ecs+오/pvg+던/etm
외환당국이	외환/ncn+당국/ncn+이/jcs
시장개입을	시장/ncn+개입/ncn+을/jco
포기했기	포기/ncpa+하/xsv+었/ep+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
차병준기자가	차병준/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
오전장이	오전/ncn+장/ncn+이/jcs
평온하게	평온/ncps+하/xsm+게/ecs
지나갔던	지나/pvg+아/ecs+가/px+았/ep+던/etm
외환시장에	외환/ncn+시장/ncn+에/jca
오후들어	오후/ncn+들/pvg+어/ncn
누구도	누구/npd+도/jxc
생각못했던	생각/ncn+못/mag+하/pvg+던/etm
일이	일/ncn+이/jcs
벌어졌습니다.	벌어지/pvg+었/ep+습니다/ef+./sf
그동안	그/mma+동안/ncn
환율급등을	환율/ncn+급등/ncn+을/jco
막아오던	막/pvg+아/ecx+오/px+던/etm
외환당국이	외환/ncn+당국/ncn+이/jcs
갑자기	갑자기/mag
개입을	개입/ncn+을/jco
중단해	중단/ncpa+하/xsv+어/ecx
버린	버리/px+ㄴ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
환율이	환율/ncn+이/jcs
폭등세로	폭등/ncn+세/xsn+로/jca
돌아섰고	돌/pvg+아/ecs+서/pvg+었/ep+고/ecs
오후장	오후/ncn+장/ncn
개장	개장/ncn
35분만에	35/nnc+분/nbu+만/nbn+에/jca
무려	무려/mag
22원10전이나	22/nnc+원/nbu+10/nnc+전/nbu+이나/jxc
오른	오르/pvg+ㄴ/etm
상승상한가인	상승/ncn+상한/ncn+가/xsn+이/jp+ㄴ/etm
천8원60전을	천/ncn+8/nnc+원/nbu+60/nnc+전/nbu+을/jco
기록했습니다.	기록/ncpa+하/xsv+하/xsv+었/ep+습니다/ef+./sf
곧바로	곧바로/mag
외환시장은	외환/ncn+시장/ncn+은/jxc
거래가	거래/ncn+가/jcs
중단됐고	중단/ncpa+되/xsv+었/ep+고/ecs
기능이	기능/ncn+이/jcs
마비됐습니다.	마비/ncps+되/xsm+었/ep+습니다/ef+./sf
환율이	환율/ncn+이/jcs
폭등하자	폭등/ncpa+하/xsv+자/ecs
각	각/mma
은행창구에서는	은행/ncn+창구/ncn+에서/jca+는/jxc
일반고객에게	일반/ncn+고객/ncn+에게/jca
달러를	달러/ncn+를/jco
팔	팔/pvg+ㄹ/etm
때	때/ncn
적용하는	적용/ncpa+하/xsv+는/etm
환율을	환율/ncn+을/jco
천20원7전으로	천/mma+20/nnc+원/nbu+7/nnc+전/nbu+으로/jca
재고시했습니다.	재/xp+고시/ncpa+하/xsv+었/ep+습니다/ef+./sf
오전보다	오전/ncn+보다/jca
환율이	환율/ncn+이/jcs
한꺼번에	한꺼번/ncn+에/jca
20원	20/nnc+원/nbu
가까이나	가깝/paa+이/xsa+나/jxc
오르자	오르/pvg+자/ecs
환전하는	환전/ncpa+하/xsv+는/etm
고객들도	고객/ncn+들/xsn+도/jxc
눈에	눈/ncn+에/jca
띄게	띄/pvg+게/ecs
줄었습니다.	줄/pvg+었/ep+습니다/ef+./sf
환율폭등은	환율/ncn+폭등/ncn+은/jxc
또	또/mag
즉시	즉시/mag
외환위기로	외환/ncn+위기/ncn+로/jca
증폭되면서	증폭/ncpa+되/xsv+면서/ecs
연이어	연잇/pvg+어/ecs
주가폭락	주가/ncn+폭락/ncn
금리급등으로	금리/ncn+급등/ncn+으로/jca
이어져	잇/pvg+어/ecx+지/px+어/ecs
전체	전체/ncn
금융시장은	금융/ncn+시장/ncn+은/jxc
일시에	일시/ncn+에/jca
혼란	혼란/ncn
속으로	속/ncn+으로/jca
빠져들었습니다.	빠지/pvg+어/ecx+들/px+었/ep+습니다/ef+./sf
종합주가지수는	종합/ncn+주가/ncn+지수/ncn+는/jxc
22.39포인트	22.39/nnc+포인트/nbu
떨어진	떨어지/pvg+ㄴ/etm
496.98을	496.98/nnc+을/jco
기록해	기록/ncpa+하/xsv+어/ecs
일주일만에	일주일/ncn+만/nbn+에/jca
다시	다시/mag
5백선	5백/nnc+선/ncn
밑으로	밑/ncn+으로/jca
떨어졌고	떨어지/pvg+었/ep+고/ecs
시중금리	시중/ncn+금리/ncn
지표인	지표/ncn+이/jp+ㄴ/etm
회사채수익률은	회사/ncn+채/xsn+수익/ncn+률/xsn+은/jxc
연	연/ncn
13.4%로	13.4/nnc+%/su+로/jca
2년8개월만에	2/nnc+년/nbu+8/nnc+개월/nbu+만/nbn+에/jca
최고치를	최고/ncn+치/xsn+를/jco
나타냈습니다.	나타내/pvg+었/ep+습니다/ef+./sf
금융관계자들은	금융/ncn+관계/ncn+자/xsn+들/xsn+은/jxc
당국이	당국/ncn+이/jcs
외환시장	외환/ncn+시장/ncn
개입을	개입/ncn+을/jco
포기한	포기/ncpa+하/xsv+ㄴ/etm
만큼	만큼/nbn
환율폭등	환율/ncn+폭등/ncn
주가불안	주가/ncn+불안/ncn
금리급등의	금리/ncn+급등/ncn+의/jcm
악순환은	악순환/ncn+은/jxc
당분간	당분간/mag
이어질	잇/pvg+어/ecx+지/px+ㄹ/etm
것으로	것/nbn+으로/jca
우려하고	우려/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
에스비에스	에스비에스/nq
차병준입니다.	차병준/nq+이/jp+ㅂ니다/ef+./sf
달러에	달러/ncn+에/jca
대한	대하/pvg+ㄴ/etm
