<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
종합주가지수	종합/ncn+주가/ncn+지수/ncn
5백선이	5백/nnc+선/ncn+이/jcs
무너진	무너지/pvg+ㄴ/etm
오늘	오늘/ncn
증권사	증권/ncn+사/xsn
직원들과	직원/ncn+들/xsn+과/jcj
투자가들은	투자/ncn+가/xsn+들/xsn+은/jxc
망연자실한	망연자실/ncpa+하/xsv+ㄴ/etm
표정이	표정/ncn+이/jcs
역력했습니다.	역력/ncps+하/xsm+었/ep+습니다/ef+./sf
뉴욕	뉴욕/nq
증권시장처럼	증권/ncn+시장/ncn+처럼/jca
우리도	우리/npp+도/jxc
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
휴장이라도	휴장/ncn+이라도/jxc
해야	하/pvg+어야/ecs
한다는	하/px+ㄴ다/ef+는/etm
주장까지	주장/ncn+까지/jxc
제기됐습니다.	제기/ncpa+되/xsv+었/ep+습니다/ef+./sf
이현식기자가	이현식/nq+기자/ncn+가/jcs
취재했습니다.	취재/ncpa+하/xsv+었/ep+습니다/ef+./sf
추락하는	추락/ncpa+하/xsv+는/etm
주가지수와	주가/ncn+지수/ncn+와/jct
함께	함께/mag
사라져버린	사라지/pvg+어/ecx+버리/px+ㄴ/etm
돈을	돈/ncn+을/jco
생각하면	생각/ncpa+하/xsv+면/ecs
피가	피/ncn+가/jcs
끓지만,	끓/pvg+지만/ecs+,/sp
증권투자자들은	증권/ncn+투자/ncn+자/xsn+들/xsn+은/jxc
이제	이제/mag
흥분할	흥분/ncpa+하/xsv+ㄹ/etm
기력조차	기력/ncn+조차/jxc
잃어버렸습니다.	잃/pvg+어/ecx+버리/px+었/ep+습니다/ef+./sf
모니터를	모니터/ncn+를/jco
바라보는	바라/pvg+아/ecs+보/pvg+는/etm
증권사	증권/ncn+사/xsn
직원의	직원/ncn+의/jcm
표정에는	표정/ncn+에/jca+는/jxc
허탈감과	허탈/ncn+감/xsn+과/jct
함께	함께/mag
분노마저	분노/ncn+마저/jxc
서려	서리/pvg+어/ecx
있습니다.	있/px+습니다/ef+./sf
공황심리의	공황/ncn+심리/ncn+의/jcm
확산으로	확산/ncn+으로/jca
증시	증시/ncn
기반이	기반/ncn+이/jcs
붕괴될	붕괴/ncpa+되/xsv+ㄹ/etm
조짐을	조짐/ncn+을/jco
보이자,	보이/pvg+자/ecc+,/sp
증권사	증권/ncn+사/xsn
단일노조	단일/ncn+노조/ncn
준비위원회는	준비/ncn+위원/ncn+회/xsn+는/jxc
증권시장의	증권/ncn+시장/ncn+의/jcm
한시적	한시/ncn+적/xsn
휴장을	휴장/ncn+을/jco
촉구했습니다.	촉구/ncpa+하/xsv+었/ep+습니다/ef+./sf
한편	한편/maj
재계는	재계/ncn+는/jxc
주가	주가/ncn
폭락으로	폭락/ncn+으로/jca
증시를	증시/ncn+를/jco
통한	통하/pvg+ㄴ/etm
자금조달이	자금/ncn+조달/ncn+이/jcs
거의	거의/mag
불가능해지는	불/xp+가능/ncps+하/xsm+어/ecx+지/px+는/etm
타격을	타격/ncn+을/jco
입었습니다.	입/pvg+었/ep+습니다/ef+./sf
게다가	게다가/mag
환율	환율/ncn
폭등으로	폭등/ncn+으로/jca
이미	이미/mag
도입한	도입/ncpa+하/xsv+ㄴ/etm
외화자금의	외화/ncn+자금/ncn+의/jcm
상환부담이	상환/ncn+부담/ncn+이/jcs
눈덩이처럼	눈덩이/ncn+처럼/jca
커지고	커지/pvg+고/ecx
있는데다	있/px+는데다/ecs
내년도	내년도/ncn
자금조달	자금/ncn+조달/ncn
계획까지	계획/ncn+까지/jxc
불투명해지는	불/xp+투명/ncps+하/xsm+어/ecx+지/px+는/etm
등	등/nbn
현재의	현재/ncn+의/jcm
금융공황은	금융/ncn+공황/ncn+은/jxc
우리	우리/npp
경제를	경제/ncn+를/jco
뿌리째	뿌리/ncn+째/xsn
흔들고	흔들/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
SBS	SBS/f
이현식입니다.	이현식/nq+이/jp+ㅂ니다/ef+./sf
우리	우리/npp
증시	증시/ncn
대추락의	대/xp+추락/ncn+의/jcm
원인이	원인/ncn+이/jcs
되기도	되/pvg+기/etn+도/jxc
했습니다만	하/pvg+었/ep+습니다/ef+만/jxc
오늘	오늘/ncn
세계금융시장을	세계/ncn+금융/ncn+시장/ncn+을/jco
지배하는	지배/ncpa+하/xsv+는/etm
주요국들의	주요/ncn+국/ncn+들/xsn+의/jcm
증권시장이	증권/ncn+시장/ncn+이/jcs
일제히	일제/ncn+히/xsa
대폭락하는	대/xp+폭락/ncpa+하/xsv+는/etm
사태를	사태/ncn+를/jco
맞았습니다.	맞/pvg+았/ep+습니다/ef+./sf
도꾜증시는	도꾜/nq+증시/ncn+는/jxc
올들어	올/ncn+들/xsn+어/ncn
주가가	주가/ncn+가/jcs
최저치로	최저/ncn+치/xsn+로/jca
추락했고	추락/ncpa+하/xsv+았/ep+고/ecs
홍콩도	홍콩/nq+도/jxc
주가지수가	주가/ncn+지수/ncn+가/jcs
2년만에	2/nno+년/nbu+만/nbn+에/jca
처음으로	처음/ncn+으로/jca
9천	9천/nnc
포인트나	포인트/nbu+나/jxc
떨어졌습니다.	떨어지/pvg+었/ep+습니다/ef+./sf
도꾜에서	도꾜/nq+에서/jca
박진원특파원입니다.	박진원/nq+특파/ncn+원/xsn+이/jp+ㅂ니다/ef+./sf
도쿄	도쿄/nq
증권시장의	증권/ncn+시장/ncn+의/jcm
주가도	주가/ncn+도/jxc
폭락했습니다.	폭락/ncpa+하/xsv+었/ep+습니다/ef+./sf
오늘	오늘/ncn
아침	아침/ncn
개장하자마자	개장/ncpa+하/xsv+자마자/ecs
무조건	무/xp+조건/ncn
팔고보자는	팔/pvg+고/ecx+보/px+자/ef+는/etm
주문이	주문/ncn+이/jcs
쏟아졌습니다.	쏟/pvg+아/ecx+지/px+었/ep+습니다/ef+./sf
뉴욕시장의	뉴욕/nq+시장/ncn+의/jcm
폭락에	폭락/ncn+에/jca
따른	따르/pvg+ㄴ/etm
위기감	위기/ncn+감/xsn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
닛케이	닛케이/nq
평균주가는	평균/ncn+주가/ncn+는/jxc
어제보다	어제/ncn+보다/jca
725.67엔이	725.67/nnc+엔/nbu+이/jcs
떨어진	떨어지/pvg+ㄴ/etm
16312.69엔으로	16312.69/nnc+엔/nbu+으로/jca
오늘장을	오늘/ncn+장/ncn+을/jco
마감해	마감/ncpa+하/xsv+어/ecs
올들어	올/ncn+들/pvg+어/ecs
최저치를	최저/ncn+치/xsn+를/jco
보였습니다.	보이/pvg+었/ep+습니다/ef+./sf
자동차와	자동/ncn+차/ncn+와/jcj
전자등	전자/ncn+등/nbn
수출관련	수출/ncn+관련/ncn
우량주와	우량/ncn+주/xsn+와/jcj
은행주가	은행/ncn+주/xsn+가/jcs
특히	특히/mag
큰	크/paa+ㄴ/etm
폭으로	폭/ncn+으로/jca
내렸습니다.	내리/pvg+었/ep+습니다/ef+./sf
도쿄증권거래소측은	도쿄/nq+증권/ncn+거래/ncn+소/xsn+측/nbn+은/jxc
7년만에	7/nno+년/nbu+만/nbn+에/jca
처음으로	처음/ncn+으로/jca
긴급성명을	긴급/ncn+성명/ncn+을/jco
발표해	발표/ncpa+하/xsv+어/ecs
신중한	신중/ncps+하/xsm+ㄴ/etm
투자를	투자/ncn+를/jco
호소했습니다.	호소/ncpa+하/xsv+었/ep+습니다/ef+./sf
정부도	정부/ncn+도/jxc
진화에	진화/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
동남아	동남아/nq
금융시장의	금융/ncn+시장/ncn+의/jcm
불안이	불안/ncn+이/jcs
남아있고	남/pvg+아/ecx+있/px+고/ecs
일본의	일본/nq+의/jcm
경기전망도	경기/ncn+전망/ncn+도/jxc
밝지않아	밝/paa+지/ecx+않/px+아/ecs
일본	일본/nq
정부의	정부/ncn+의/jcm
시장개입이	시장/ncn+개입/ncn+이/jcs
불가피합니다.	불가피/ncps+하/xsm+ㅂ니다/ef+./sf
한편	한편/maj
홍콩의	홍콩/nq+의/jcm
