<tdmsfile>
<tdmsfile>
지금	지금/mag
신한국당과	신한국당/nq+과/jcj
이인제	이인제/nq
신당	신당/nq
주변에서	주변/ncn+에서/jca
벌어지고	벌어지/pvg+고/ecx
있는	있/px+는/etm
기기묘묘한	기기묘묘/ncps+하/xsm+ㄴ/etm
정국의	정국/ncn+의/jcm
'보이지	'/sl+보이/pvg+지/ecx
않는	않/px+는/etm
손'의	손/ncn+'/sr+의/jcm
임자는	임자/ncn+는/jxc
김영삼	김영삼/nq
대통령이라는	대통령/ncn+이/jp+라/ef+는/etm
설이	설/ncn+이/jcs
있다.	있/paa+다/ef+./sf
청와대측은	청와대/nq+측/xsn+은/jxc
부인하고	부인/ncpa+하/xsv+고/ecx
있지만,	있/px+지만/ecs+,/sp
현재	현재/mag
진행중인	진행/ncn+중/nbn+이/jp+ㄴ/etm
일의	일/ncn+의/jcm
규모가	규모/ncn+가/jcs
김	김/nq
대통령	대통령/ncn
아니고는	아니/paa+고는/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
정도의	정도/ncn+의/jcm
'대규모	'/sl+대/xp+규모/ncn
공사'이고,	공사/ncn+'/sr+이/jp+고/ecc+,/sp
일이	일/ncn+이/jcs
흘러가는	흐르/pvg+어/ecs+가/pvg+는/etm
방향도	방향/ncn+도/jxc
'이회창	'/sl+이회창/nq
대신	대신/ncn
이인제'쪽이라는	이인제/nq+'/sr+쪽/nbn+이/jp+라/ef+는/etm
점에서	점/ncn+에서/jca
'YS	'/sl+YS/f
총지휘설'이	총/xp+지휘/ncn+설/xsn+'/sr+이/jcs
나오고	나오/pvg+고/ecx
있는	있/px+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
강삼재	강삼재/nq
전사무총장의	전/mma+사무/ncn+총장/ncn+의/jcm
비자금	비자금/ncn
관련	관련/ncn
자료	자료/ncn
공격이나	공격/ncn+이나/jcj
박범진	박범진/nq
전총재	전/mma+총재/ncn
비서실장의	비서/ncn+실장/ncn+의/jcm
'당직자회의의	'/sl+당직/ncn+자/xsn+회의/ncn+의/jcm
내용	내용/ncn
폭로',	폭로/ncn+'/sr+,/sp
황명수	황명수/nq
전의원의	전/mma+의원/ncn+의/jcm
