<tdmsfile>
<tdmsfile>
Han1.hwp  2차 수정(박현이)
신한국당	신한국당/nq
비주류	비/xp+주류/ncn
의원	의원/ncn
4명이	4/nnc+명/nbu+이/jcs
2일	2/nno+일/nbu
추가로	추가/ncn+로/jca
탈당을	탈당/ncn+을/jco
선언한	선언/ncpa+하/xsv+ㄴ/etm
가운데	가운데/ncn
이회창	이회창/nq
총재는	총재/ncn+는/jxc
`디제이피(김대중	`/sl+디제이피/nq+(/sl+김대중/nq
김종필)	김종필/nq+)/sr
연합'의	연합/ncn+'/sr+의/jcm
내각제	내각/ncn+제/xsn
개헌론을	개헌/ncn+론/xsn+을/jco
정면	정면/ncn
비판하면서	비판/ncpa+하/xsv+면서/ecs
대선	대선/ncn
정국의	정국/ncn+의/jcm
쟁점	쟁점/ncn
변화를	변화/ncn+를/jco
시도하고	시도/ncpa+하/xsv+고/ecs
나섰다.	나서/pvg+었/ep+다/ef+./sf
이들은	이/npp+들/xsn+은/jxc
이미	이미/mag
탈당한	탈당/ncpa+하/xsv+ㄴ/etm
이만섭	이만섭/nq
전	전/mma
국회의장과	국회/ncn+의장/ncn+과/jct
함께	함께/mag
3일	3/nno+일/nbu
오전	오전/ncn
이인제	이인제/nq
전	전/mma
경기지사의	경기/nq+지사/ncn+의/jcm
국민신당(가칭)에	국민신당/nq+(/sl+가칭/ncn+)/sr+에/jca
입당하기로	입당/ncpa+하/xsv+기/etn+로/jca
했다.	하/px+었/ep+다/ef+./sf
임범	임범/nq
기자는	기자/ncn+는/jxc
그동안	그/mmd+동안/ncn
완만한	완만/ncps+하/xsm+ㄴ/etm
하강추세속에	하강/ncn+추세/ncn+속/ncn+에/jca
조정국면을	조정/ncn+국면/ncn+을/jco
보이던	보이/pvg+던/etm
경기가	경기/ncn+가/jcs
금융시장	금융/ncn+시장/ncn
불안지속	불안/ncn+지속/ncn
등으로	등/nbn+으로/jca
이달에는	이/mmd+달/ncn+에/jca+는/jxc
다시	다시/mag
급락할	급락/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
전망됐다.	전망/ncpa+되/xsv+었/ep+다/ef+./sf
전국경제인연합회는	전국경제인연합회/nq+는/jxc
최근	최근/ncn
업종별	업종/ncn+별/xsn
매출액	매출/ncn+액/xsn
순위	순위/ncn
600대	600/nno+대/xsn
기업을	기업/ncn+을/jco
대상으로	대상/ncn+으로/jca
조사한	조사/ncpa+하/xsv+ㄴ/etm
결과,	결과/ncn+,/sp
11월	11/nno+월/nbu
중	중/nbn
계절조정	계절/ncn+조정/ncn
종합기업경기실사지수	종합/ncn+기업/ncn+경기/ncn+실사/ncn+지수/ncn
(BSI)	(/sl+BSI/f+)/sr
전망치가	전망/ncn+치/xsn+가/jcs
76.5로	76.5/nnc+로/jca
한보사태가	한보/nq+사태/ncn+가/jcs
지속되던	지속/ncpa+되/xsv+던/etm
올해	올해/ncn
4월(74.4)	4/nno+월/nbu+(/sl+74.4/nnc+)/sr
이후	이후/ncn
최저치로	최저/ncn+치/xsn+로/jca
떨어졌다고	떨어지/pvg+었/ep+다/ef+고/jcr
2일	2/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
경기실사지수는	경기/ncn+실사/ncn+지수/ncn+는/jxc
100이	100/nnc+이/jcs
기준이며,	기준/ncn+이/jp+며/ecc+,/sp
이보다	이/npd+보다/jca
낮으면	낮/paa+으면/ecs
경기를	경기/ncn+를/jco
어둡게	어둡/paa+게/ecs
보는	보/pvg+는/etm
사람이	사람/ncn+이/jcs
많다는	많/paa+다/ef+는/etm
것을	것/nbn+을/jco
뜻한다.	뜻/ncpa+하/xsv+ㄴ다/ef+./sf
전경련은	전경련/nq+은/jxc
기업자금사정	기업/ncn+자금/ncn+사정/ncn
악화에	악화/ncn+에/jca
따른	따르/pvg+ㄴ/etm
경영불안	경영/ncn+불안/ncn
요인이	요인/ncn+이/jcs
기업의	기업/ncn+의/jcm
체감경기	체감/ncn+경기/ncn
침체를	침체/ncn+를/jco
주도하고	주도/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
분석되며,	분석/ncpa+되/xsv+며/ecc+,/sp
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
기업의	기업/ncn+의/jcm
투자심리도	투자/ncn+심리/ncn+도/jxc
상당히	상당/ncn+히/xsa
위축될	위축/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
내다봤다.	내다보/pvg+았/ep+다/ef+./sf
내수판매	내수/ncn+판매/ncn
전망지수는	전망/ncn+지수/ncn+는/jxc
소비심리	소비/ncn+심리/ncn
위축으로	위축/ncn+으로/jca
102에	102/nnc+에/jca
머물러,	머무르/pvg+어/ecs+,/sp
계절적	계절/ncn+적/xsn
성수기를	성수/ncn+기/xsn+를/jco
앞두고	앞/ncn+두/pvg+고/ecx
있음에도	있/px+음/etn+에/jca+도/jxc
내수판매가	내수/ncn+판매/ncn+가/jcs
늘지	늘/pvg+지/ecx
않을	않/px+을/etm
것으로	것/nbn+으로/jca
전망됐다.	전망/ncpa+되/xsv+었/ep+다/ef+./sf
기업의	기업/ncn+의/jcm
자금사정(전망치	자금/ncn+사정/ncn+(/sl+전망/ncn+치/xsn
83)은	83/nnc+)/sr+은/jxc
동남아,	동남아/nq+,/sp
일본	일본/nq
등의	등/nbn+의/jcm
동반주가폭락에	동반/ncn+주가/ncn+폭락/ncn+에/jca
따른	따르/pvg+ㄴ/etm
불안심리와	불안/ncn+심리/ncn+와/jct
함께	함께/mag
금융권의	금융/ncn+권/xsn+의/jcm
보수적인	보수/ncn+적/xsn+이/jp+ㄴ/etm
자금운영으로	자금/ncn+운영/ncn+으로/jca
어려움이	어려움/ncn+이/jcs
지속될	지속/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상됐다.	예상/ncpa+되/xsv+었/ep+다/ef+./sf
기업의	기업/ncn+의/jcm
투자집행	투자/ncn+집행/ncn
지수도	지수/ncn+도/jxc
경기전망	경기/ncn+전망/ncn
불투명,	불/xp+투명/ncn+,/sp
자금시장	자금/ncn+시장/ncn
악화를	악화/ncn+를/jco
반영해	반영/ncpa+하/xsv+어/ecs
77로	77/nnc+로/jca
나타나	나타나/pvg+아/ecs
부진이	부진/ncn+이/jcs
계속될	계속/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예측됐다.	예측/ncpa+되/xsv+었/ep+다/ef+./sf
오는	오/pvg+는/etm
99년부터	99/nno+년/nbu+부터/jxc
서울의	서울/nq+의/jcm
각	각/mma
가정에서는	가정/ncn+에서/jca+는/jxc
지역별로	지역/ncn+별/xsn+로/jca
지정된	지정/ncpa+되/xsv+ㄴ/etm
날짜와	날짜/ncn+와/jcj
시간에	시간/ncn+에/jca
맞춰	맞추/pvg+어/ecs
쓰레기를	쓰레기/ncn+를/jco
배출해야	배출/ncpa+하/xsv+어야/ecs
하며	하/px+며/ecs
이를	이/npd+를/jco
어길	어기/pvg+ㄹ/etm
경우	경우/ncn
과태료가	과태/ncn+료/xsn+가/jcs
부과된다.	부과/ncpa+되/xsv+ㄴ다/ef+./sf
또	또/maj
파손되기	파손/ncpa+되/xsv+기/etn
쉬운	쉽/paa+ㄴ/etm
현재의	현재/ncn+의/jcm
종량제	종량/ncn+제/xsn
규격봉투	규격/ncn+봉투/ncn
대신	대신/ncn
재활용이	재/xp+활용/ncn+이/jcs
가능한	가능/ncps+하/xsm+ㄴ/etm
플라스틱통이	플라스틱/ncn+통/ncn+이/jcs
쓰레기	쓰레기/ncn
배출용기로	배출/ncn+용기/ncn+로/jca
보급되며	보급/ncpa+되/xsv+며/ecc
2000년부터는	2000/nno+년/nbu+부터/jxc+는/jxc
쓰레기	쓰레기/ncn
수거체계도	수거/ncn+체계/ncn+도/jxc
현재의	현재/ncn+의/jcm
종이,	종이/ncn+,/sp
플라스틱류,	플라스틱/ncn+류/xsn+,/sp
유리병류,	유리/ncn+병/ncn+류/xsn+,/sp
캔류,	캔/ncn+류/xsn+,/sp
고철류	고철/ncn+류/xsn
등	등/nbn
5종에서	5/nnc+종/nbu+에서/jca
종이류와	종이/ncn+류/xsn+와/jcj
기타류	기타/ncn+류/xsn
등	등/nbn
2종으로	2/nnc+종/nbu+으로/jca
전환된다.	전환/ncpa+되/xsv+ㄴ다/ef+./sf
서울시는	서울시/nq+는/jxc
이같은	이/npd+같/paa+은/etm
내용을	내용/ncn+을/jco
골자로	골자/ncn+로/jca
하는	하/pvg+는/etm
폐기물관리	폐기/ncn+물/xsn+관리/ncn
종합계획을	종합/ncn+계획/ncn+을/jco
마련,	마련/ncn+,/sp
단계적으로	단계/ncn+적/xsn+으로/jca
시행키로	시행/ncpa+키/etn+로/jca
했다고	하/px+었/ep+다/ef+고/jcr
2일	2/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
시는	시/ncn+는/jxc
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
99년부터는	99/nno+년/nbu+부터/jxc+는/jxc
지역별로	지역/ncn+별/xsn+로/jca
