<tdmsfile>
<tdmsfile>
Han2.hwp
전대협과	전대협/nq+과/jcj
자민통	자민통/nq
사건	사건/ncn
관련자들	관련/ncn+자/xsn+들/xsn
대부분과	대부분/ncn+과/jcj
70살이	70/nnc+살/nbu+이/jcs
이상	이상/ncn
비전향	비/xp+전향/ncn
장기수	장기/ncn+수/xsn
6명도	6/nnc+명/nbu+도/jxc
이	이/mmd
때	때/ncn
풀려났다.	풀리/pvg+어/ecx+나/px+았/ep+다/ef+./sf
전두환	전두환/nq
전	전/mma
대통령	대통령/ncn
또한	또한/maj
정권을	정권/ncn+을/jco
잡은	잡/pvg+은/etm
뒤인	뒤/ncn+이/jp+ㄴ/etm
81년	81/nno+년/nbu
3월3일	3/nno+월/nbu+3/nno+일/nbu
특별사면을	특별/ncn+사면/ncn+을/jco
통해	통하/pvg+어/ecs
광주민주항쟁	광주민주항쟁/nq
관련	관련/ncn
307명과	307/nnc+명/nbu+과/jcj
사북사태	사북사태/nq
관련	관련/ncn
21명,	21/nnc+명/nbu+,/sp
민청학련사건	민청학련사건/nq
관련	관련/ncn
33명에	33/nnc+명/nbu+에/jca
대한	대하/pvg+ㄴ/etm
사면복권을	사면/ncn+복권/ncn+을/jco
단행했다.	단행/ncpa+하/xsv+었/ep+다/ef+./sf
먼저	먼저/mag
이	이/nq
총재의	총재/ncn+의/jcm
이날	이/mmd+날/ncn
발언은	발언/ncn+은/jxc
양심수의	양심/ncn+수/xsn+의/jcm
존재를	존재/ncn+를/jco
인정할	인정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
뜻으로	뜻/ncn+으로/jca
해석될	해석/ncpa+되/xsv+ㄹ/etm
여지가	여지/ncn+가/jcs
있어,	있/paa+어/ecs+,/sp
김	김/nq
총재의	총재/ncn+의/jcm
발언을	발언/ncn+을/jco
곧바로	곧바로/mag
색깔론으로	색깔/ncn+론/xsn+으로/jca
몰고간	몰/pvg+고/ecs+가/pvg+ㄴ/etm
이사철	이사철/nq
대변인의	대변/ncn+인/xsn+의/jcm
전날	전/mma+날/ncn
성명이나	성명/ncn+이나/jcj
양심수가	양심/ncn+수/xsn+가/jcs
없다는	없/paa+다/ef+는/etm
법무부의	법무부/nq+의/jcm
입장과는	입장/ncn+과/jct+는/jxc
분명한	분명/ncps+하/xsm+ㄴ/etm
차이가	차이/ncn+가/jcs
있다.	있/paa+다/ef+./sf
국민신당	국민신당/nq
안에도	안/ncn+에/jca+도/jxc
`양심수'	`/sl+양심/ncn+수/xsn+'/sr
출신	출신/ncn
인사가	인사/ncn+가/jcs
참여하고	참여/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
데다,	데/nbn+다/ecs+,/sp
이	이/nq
전	전/mma
지사가	지사/ncn+가/jcs
13대	13/nno+대/nbu
의원	의원/ncn
출마	출마/ncn
전까지	전/ncn+까지/jxc
인권변호사를	인권/ncn+변호/ncn+사/xsn+를/jco
자임한	자임/ncpa+하/xsv+ㄴ/etm
바	바/nbn
있어	있/paa+어/ecs
`공안세력'을	`/sl+공안/ncn+세력/ncn+'/sr+을/jco
일방적으로	일방/ncn+적/xsn+으로/jca
대변하는	대변/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
비쳐서는	비치/pvg+어서/ecs+는/jxc
곤란하다는	곤란/ncps+하/xsm+다/ef+는/etm
판단에	판단/ncn+에/jca
따른	따르/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
93년	93/nno+년/nbu
1월	1/nno+월/nbu
이른바	이른바/maj
문민정부	문민/ncn+정부/ncn
출범을	출범/ncn+을/jco
앞두고	앞/ncn+두/pvg+고/ecs
`대통령직	`/sl+nq[대통령/ncn+직/xsn
인수위원회'는	인수/ncn+위원/ncn+회/xsn]nq+'/sr+는/jxc
공안사범	공안/ncn+사범/ncn
등	등/nbn
양심수를	양심/ncn+수/xsn+를/jco
특별사면	특별/ncn+사면/ncn
형식으로	형식/ncn+으로/jca
대사면하는	대/xp+사면/ncpa+하/xsv+는/etm
방안을	방안/ncn+을/jco
검토했다.	검토/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
문제로	문제/ncn+로/jca
인수위가	인수위/nq+가/jcs
실무진들과	실무/ncn+진/xsn+들/xsn+과/jct
갈등을	갈등/ncn+을/jco
빚자,	빚/pvg+자/ecs+,/sp
이번에는	이/mmd+번/nbn+에/jca+는/jxc
우리사회	우리/npp+사회/ncn
원로들과	원로/ncn+들/xsn+과/jcj
국제사면위원회가	국제사면위원회/nq+가/jcs
양심수	양심/ncn+수/xsn
석방을	석방/ncn+을/jco
촉구하는	촉구/ncpa+하/xsv+는/etm
편지를	편지/ncn+를/jco
김영삼	김영삼/nq
당선자	당선/ncn+자/xsn
앞으로	앞/ncn+으로/jca
보내	보내/pvg+어/ecs
힘을	힘/ncn+을/jco
실어줬다.	싣/pvg+어/ecx+주/px+었/ep+다/ef+./sf
그	그/mmd
결과	결과/ncn
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
`건국	`/sl+건국/ncn
이래	이래/ncn
최대'라고	최대/ncn+'/sr+라고/jcr
밝힌	밝히/pvg+ㄴ/etm
취임	취임/ncn
대특사를	대/xp+특사/ncn+를/jco
통해	통하/pvg+어/ecs
이들	이/npp+들/xsn
가운데	가운데/ncn
일부를	일부/ncn+를/jco
석방했다.	석방/ncpa+하/xsv+었/ep+다/ef+./sf
국내외	국내외/ncn
인권단체	인권/ncn+단체/ncn
등의	등/nbn+의/jcm
양심수	양심/ncn+수/xsn
석방	석방/ncn
촉구는	촉구/ncn+는/jxc
끊임	끊임/ncn
없이	없/paa+이/xsa
제기되고	제기/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
93년	93/nno+년/nbu
4월	4/nno+월/nbu
국제사면위원회는	국제사면위원회/nq+는/jxc
공식적으로	공식/ncn+적/xsn+으로/jca
소설가	소설/ncn+가/xsn
황석영씨를	황석영/nq+씨/xsn+를/jco
양심수로	양심/ncn+수/xsn+로/jca
선정했고,	선정/ncpa+하/xsv+었/ep+고/ecc+,/sp
그해	그/mmd+해/ncn
6월에는	6/nno+월/nbu+에/jca+는/jxc
국제펜클럽본부	국제펜클럽본부/nq
투옥작가위원회도	투옥작가위원회/nq+도/jxc
황씨	황/nq+씨/xsn
석방을	석방/ncn+을/jco
요구하는	요구/ncpa+하/xsv+는/etm
구명운동을	구명/ncn+운동/ncn+을/jco
벌이기도	벌이/pvg+기/etn+도/jxc
