<tdmsfile>
<tdmsfile>
Han3.hwp
먼저	먼저/mag
대학과	대학/ncn+과/jcj
정계	정계/ncn
등	등/nbn
여러	여러/mma
곳에서	곳/ncn+에서/jca
등에처럼	등에/ncn+처럼/jxc
귀찮고	귀찮/paa+고/ecc
따가운	따갑/paa+ㄴ/etm
눈총을	눈총/ncn+을/jco
받으면서	받/pvg+으면서/ecs
`거사'에	`/sl+거사/ncn+'/sr+에/jca
나선	나서/pvg+ㄴ/etm
용기이다.	용기/ncn+이/jp+다/ef+./sf
글쎄	글쎄/ii
가만히	가만/ncn+히/xsa
있으면	있/paa+으면/ecs
장차	장차/mag
대통령의	대통령/ncn+의/jcm
전화를	전화/ncn+를/jco
받거나	받/pvg+거나/ecc
대사가	대사/ncn+가/jcc
되기에	되/pvg+기/etn+에/jca
부족함이	부족/ncps+하/xsm+ㅁ/etn+이/jcs
없는	없/paa+는/etm
분들이	분/nbn+들/xsn+이/jcs
혹시	혹시/mag
이번	이/mmd+번/nbn
일로	일/ncn+로/jca
그	그/mmd
영광을	영광/ncn+을/jco
스스로	스스로/mag
차버린	차/pvg+아/ecx+버리/px+ㄴ/etm
것이나	것/nbn+이/jcc+나/jxc
아닌지	아니/paa+ㄴ지/ecs
옆에서	옆/ncn+에서/jca
보자니	보/pvg+자니/ecs
안타까운	안타깝/paa+ㄴ/etm
생각마저	생각/ncn+마저/jxc
든다.	들/pvg+ㄴ다/ef+./sf
한층	한층/mag
복잡한	복잡/ncps+하/xsm+ㄴ/etm
이유로는	이유/ncn+로/jca+는/jxc
질식할	질식/ncps+하/xsm+ㄹ/etm
것만	것/nbn+만/jxc
같은	같/paa+은/etm
기성	기성/ncn
정치판에	정치/ncn+판/ncn+에/jca
다소나마	다소/ncn+나마/jxc
숨통을	숨통/ncn+을/jco
터주고,	트/pvg+어/ecx+주/px+고/ecc+,/sp
연줄과	연줄/ncn+과/jcj
권력에	권력/ncn+에/jca
따른	따르/pvg+ㄴ/etm
이합집산이	이합집산/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
정책	정책/ncn
차별화로	차별/ncn+화/xsn+로/jca
선거에	선거/ncn+에/jca
임하려는	임/ncpa+하/xsv+려/ecs+는/etm
자세가	자세/ncn+가/jcs
반갑기	반갑/paa+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
사실이	사실/ncn+이/jcs
그렇지	그렇/pad+지/ecx
않은가?	않/px+은가/ef+?/sf
정권을	정권/ncn+을/jco
잡기	잡/pvg+기/etn
위해	위하/pvg+어/ecs
무슨	무슨/mmd
