<tdmsfile>
<tdmsfile>
Chosun2. 2차 수정 hwp
새로운	새롭/paa+ㄴ/etm
업무영역이	업무/ncn+영역/ncn+이/jcs
생기자	생기/pvg+자/ecs
국제금융에	국제/ncn+금융/ncn+에/jca
익숙지	익숙/ncn+지/ecx
못했던	못하/px+었/ep+던/etm
전환	전환/ncn
종금사	종금/ncn+사/xsn
들은	들/xsn+은/jxc
3개월짜리	3/nnc+개월/nbu+짜리/xsn
단기외화를	단기/ncn+외화/ncn+를/jco
차입해와	차입/ncpa+하/xsv+어/ecs+오/pvg+아/ecs
기업들에게	기업/ncn+들/xsn+에게/jca
장기인	장기/ncn+이/jp+ㄴ/etm
5년짜리	5/nnc+년/nbu+짜리/xsn
리스	리스/ncn
등	등/nbn
으로	으로/jca
돈을	돈/ncn+을/jco
퍼주었다.	푸/pvg+어/ecs+주/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
최근	최근/ncn
해외에서	해외/ncn+에서/jca
종금사들의	종금/ncn+사/xsn+들/xsn+의/jcm
신인도가	신인/ncn+도/xsn+가/jcs
급락,	급락/ncn+,/sp
금리	금리/ncn
역마진은	역/xp+마진/ncn+은/jxc
물론이고	물론/ncn+이/jp+고/ecc
외화확보	외화/ncn+확보/ncn
자체가	자체/ncn+가/jcs
어려워져	어렵/paa++어/ecx+지/px+어/ecs
경영위기까지	경영/ncn+위기/ncn+까지/jxc
몰리고	몰리/pvg+고/ecx
있다.	있/px+다/ef+./sf
김광두	김광두/nq
금융통화운영위원은	금융/ncn+통화/ncn+운영/ncn+위원/ncn+은/jxc
전환종금사들이	전환/ncn+종금/ncn+사/xsn+들/xsn+이/jcs
외화자산을	외화/ncn+자산/ncn+을/jco
급속히	급속/ncn+히/xsa
늘리는	늘리/pvg+는/etm
등	등/nbn
무리한	무리/ncps+하/xsm+ㄴ/etm
경영확장을	경영/ncn+확장/ncn+을/jco
했을	하/pvg+었/ep+을/etm
때	때/ncn
재경원이	재경원/nq+이/jcs
제대로	제대로/mag
감독하고	감독/ncpa+하/xsv+고/ecc
제동을	제동/ncn+을/jco
걸었어야	걸/pvg+었/ep+어야/ecs
했다"고	하/px+었/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
중앙대	중앙대/nq
박승	박승/nq
교수는	교수/ncn+는/jxc
14일	14/nno+일/nbu
한국경영자총협회	한국경영자총협회/nq
주최	주최/ncn
경영조찬세미나에서	경영/ncn+조찬/ncn+세미나/ncn+에서/jca
"기업생존을	"/sl+기업/ncn+생존/ncn+을/jco
위해서는	위하/pvg+어서/ecs+는/jxc
고용근로자를	고용/ncn+근로/ncn+자/xsn+를/jco
절반	절반/ncn
또는	또는/maj
3분의	3/nnc+분/nbu+의/jcm
1	1/nnc
수준까지	수준/ncn+까지/jxc
대폭	대폭/mag
감축하고,	감축/ncpa+하/xsv+고/ecc+,/sp
생산성을	생산/ncn+성/xsn+을/jco
그만큼	그/npd+만큼/jxc
높이는	높이/pvg+는/etm
경영혁신을	경영/ncn+혁신/ncn+을/jco
수행하는	수행/ncpa+하/xsv+는/etm
길밖에	길/ncn+밖에/jca
없다"고	없/paa+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
박	박/nq
교수는	교수/ncn+는/jxc
이날	이/mmd+날/ncn
'위기의	'/sl+위기/ncn+의/jcm
한국	한국/nq
경제,	경제/ncn+,/sp
그	그/mmd
원인과	원인/ncn+과/jcj
처방'이라는	처방/ncn+'/sr+이/jp+라/ef+는/etm
주제의	주제/ncn+의/jcm
강연을	강연/ncn+을/jco
통해	통하/pvg+어/ecs
"지난	"/sl+지나/pvg+ㄴ/etm
10년간	10/nnc+년/nbu+간/xsn
우리나라의	우리/npp+나라/ncn+의/jcm
임금상승률은	임금/ncn+상승/ncn+률/xsn+은/jxc
2백40%에	2백/nnc+40/nnc+%/su+에/jca
이르지만	이르/pvg+지만/ecs
미국이나	미국/nq+이나/jcj
일본은	일본/nq+은/jxc
30%대에	30/nnc+%/su+대/xsn+에/jca
그치고	그치/pvg+고/ecx
있다"며	있/px+다/ef+"/sr+며/ecs
이렇게	이렇/pad+게/ecs
지적했다.	지적/ncpa+하/xsv+었/ep+다/ef+./sf
그는	그/npp+는/jxc
"신정부는	"/sl+신/xp+정부/ncn+는/jxc
부실기업의	부실/ncn+기업/ncn+의/jcm
원활한	원활/ncps+하/xsm+ㄴ/etm
정리와	정리/ncn+와/jcj
인수합병을	인수/ncn+합병/ncn+을/jco
촉진시키기	촉진/ncpa+시키/xsv+기/etn
위한	위하/pvg+ㄴ/etm
'산업조정법'을	'/sl+산업/ncn+조정/ncn+법/ncn+'/sr+을/jco
제정하고,	제정/ncpa+하/xsv+고/ecc+,/sp
금융기관에	금융/ncn+기관/ncn+에/jca
대한	대하/pvg+ㄴ/etm
응급지원	응급/ncn+지원/ncn
대책을	대책/ncn+을/jco
마련해야	마련/ncpa+하/xsv+어야/ecx
한다"며	하/px+ㄴ다/ef+"/sr+며/ecs
"국정의	"/sl+국정/ncn+의/jcm
일대	일대/ncn
혁신조치를	혁신/ncn+조치/ncn+를/jco
추진하기	추진/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
'국정개혁위원회'를	'/sl+국정개혁위원회/nq+'/sr+를/jco
설치,	설치/ncn+,/sp
개혁을	개혁/ncn+을/jco
주도토록	주도/ncpa+토록/ecs
해야	하/pvg+어야/ecx
한다"고	하/px+ㄴ다/ef+"/sr+고/jcr
강조했다.	강조/ncpa+하/xsv+었/ep+다/ef+./sf
앞으로	앞/ncn+으로/jca
청소년	청소년/ncn
유해업소들은	유해/ncn+업소/ncn+들/xsn+은/jxc
적발될	적발/ncpa+되/xsv+ㄹ/etm
경우	경우/ncn
벌금	벌금/ncn
외에	외/nbn+에/jca
과징금까지	과징/ncn+금/xsn+까지/jxc
물게	물/pvg+게/ecx
된다.	되/px+ㄴ다/ef+./sf
이를	이/npd+를/jco
내용별로	내용/ncn+별/xsn+로/jca
보면	보/pvg+면/ecs
청소년에게	청소년/ncn+에게/jca
술을	술/ncn+을/jco
판	팔/pvg+ㄴ/etm
경우	경우/ncn
13건,	13/nnc+건/nbu+,/sp
담배를	담배/ncn+를/jco
판	팔/pvg+ㄴ/etm
경우	경우/ncn
10건,	10/nnc+건/nbu+,/sp
청소년유해업소에	청소년/ncn+유해/ncn+업소/ncn+에/jca
청소년을	청소년/ncn+을/jco
고용한	고용/ncpa+하/xsv+ㄴ/etm
경우	경우/ncn
5건,	5/nnc+건/nbu+,/sp
출입시킨	출입/ncpa+시키/xsv+ㄴ/etm
경우	경우/ncn
11건	11/nnc+건/nbu
등이다.	등/nbn+이/jp+다/ef+./sf
과징금은	과징/ncn+금/xsn+은/jxc
담배판매	담배/ncn+판매/ncn
1백만원,	1백만/nnc+원/nbu+,/sp
술판매	술/ncn+판매/ncn
2백만원,	2백만/nnc+원/nbu+,/sp
유해업소	유해/ncn+업소/ncn
출입허용	출입/ncn+허용/ncn
3백만원,	3백만/nnc+원/nbu+,/sp
유해업소	유해/ncn+업소/ncn
고용	고용/ncn
8백만원	8백만/nnc+원/nbu
등으로	등/nbn+으로/jca
판매량과는	판매/ncn+량/ncn+과/jct+는/jxc
관계없이	관계/ncn+없/paa+이/xsa
부과되며,	부과/ncpa+되/xsv+며/ecc+,/sp
사법당국이	사법/ncn+당국/ncn+이/jcs
부과하는	부과/ncpa+하/xsv+는/etm
벌금과는	벌금/ncn+과/jct+는/jxc
별도다.	별도/ncn+다/ef+./sf
청소년보호위원회는	청소년보호위원회/nq+는/jxc
전국에서	전국/ncn+에서/jca
적발된	적발/ncpa+되/xsv+ㄴ/etm
4천5백3개	4천/nnc+5백/nnc+3/nnc+개/nbu
업소에	업소/ncn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
단속내용이	단속/ncn+내용/ncn+이/jcs
시-도별로	시/ncn+-/sd+도/ncn+별/xsn+로/jca
파악되는	파악/ncpa+되/xsv+는/etm
대로	대로/nbn
올	올/mma
연말과	연말/ncn+과/jcj
내년	내년/ncn
상반기중	상반/ncn+기/xsn+중/nbn
모두	모두/mag
과징금을	과징/ncn+금/xsn+을/jco
부과할	부과/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
일본	일본/nq
혼슈(본주)	혼슈/nq+(/sl+본주/nq+)/sr
동북부	동북부/ncn
벽지에	벽지/ncn+에/jca
우리의	우리/npp+의/jcm
전통	전통/ncn
문화와	문화/ncn+와/jcj
유적을	유적/ncn+을/jco
재현한	재현/ncpa+하/xsv+ㄴ/etm
'작은	'/sl+작/paa+은/etm
한국'이	한국/nq+'/sr+이/jcs
만들어졌다.	만들/pvg+어/ecx+지/px+었/ep+다/ef+./sf
사진설명:고려관	사진/ncn+설명/ncn+:/sp+고려관/nq
내부의	내부/ncn+의/jcm
한국	한국/nq
정원과	정원/ncn+과/jcj
전통양식	전통/ncn+양식/ncn
건물들.	건물/ncn+들/xsn+./sf
앞쪽에	앞/ncn+쪽/nbn+에/jca
보이는	보이/pvg+는/etm
것이	것/nbn+이/jcs
"포석정"이다.	"/sl+포석정/nq+"/sr+이/jp+다/ef+./sf
<야마가타=이충일기자>.         </sl+야마가타/nq+=/sy+이충일/nq+기자/ncn+>/sr+./sf
니가타	니가타/nq
북쪽에	북쪽/ncn+에/jca
있는	있/paa+는/etm
동해변	동해/nq+변/xsn
야마가타현은	야마가타현/nq+은/jxc
급류와	급류/ncn+와/jcj
절경으로	절경/ncn+으로/jca
유명한	유명/ncps+하/xsm+ㄴ/etm
모가미강	모가미강/nq
주변에	주변/ncn+에/jca
최근	최근/ncn
'고려관'을	'/sl+고려관/nq+'/sr+을/jco
건립해	건립/ncpa+하/xsv+어/ecs
공개했다.	공개/ncpa+하/xsv+었/ep+다/ef+./sf
총	총/mma
11억엔(한화	11억/nnc+엔/nbu+(/sl+한화/ncn
약	약/mma
90억원)을	90억/nnc+원/nbu+)/sr+을/jco
들여	들이/pvg+어/ecs
우리의	우리/npp+의/jcm
전통	전통/ncn
의식주	의식주/ncn
문화와	문화/ncn+와/jcj
예술품을	예술/ncn+품/xsn+을/jco
소개한	소개/ncpa+하/xsv+ㄴ/etm
'민족	'/sl+민족/ncn
문화관'	문화/ncn+관/xsn+'/sr
한국에서	한국/nq+에서/jca
직수입한	직수입/ncpa+하/xsv+ㄴ/etm
화강암으로	화강암/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
