<tdmsfile>


자연이	자연/ncn+이/jcs
만든	만들/pvg+ㄴ/etm
투명하고	투명/ncps+하/xsm+고/ecc
멋진	멋/ncn+지/px+ㄴ/etm
일곱	일곱/nnc
가지	가지/nbu
색을	색/ncn+을/jco
가진	가지/pvg+ㄴ/etm
,	,/sp
그러나	그러나/maj
순간적으로	순간/ncn+적/xsn+으로/jca
터지고	터지/pvg+고/ecx
마는	말/px+는/etm
비눗방울	비눗방울/ncn
.	./sf
그래서	그래서/maj
우리는	우리/npp+는/jxc
그것보다	그것/npd+보다/jca
더	더/mag
아름답고	아름/ncps+답/xsm+고/ecs
,	,/sp
그것보다	그것/npd+보다/jca
더	더/mag
오래가는	오래/mag+가/pvg+는/etm
비눗방울을	비눗방울/ncn+을/jco
만들고	만들/pvg+고/ecx
싶어지는	싶/px+어/ecx+지/px+는/etm
것은	것/nbn+은/jxc
아닐까요	아니/paa+ㄹ까/ef+요/jxf
?	?/sf
그렇게	그렇/pad+게/ecs
아름답고	아름/ncps+답/xsm+고/ecc
신비하며	신비/ncps+하/xsm+며/ecc
터지지	터지/pvg+지/ecx
않고	않/px+고/ecc
오래가는	오래/mag+가/pvg+는/etm
비눗방울을	비눗방울/ncn+을/jco
만들기	만들/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
사항에	사항/ncn+에/jca
주의해야	주의/ncpa+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
비누를	비누/ncn+를/jco
뜨겁게	뜨겁/paa+게/ecs
물에	물/ncn+에/jca
녹여	녹이/pvg+어/ecs
칠한	칠하/pvg+ㄴ/etm
다음	다음/ncn
두	두/nnc
손을	손/ncn+을/jco
모아	모으/pvg+아/ecs
엄지와	엄지/ncn+와/jcj
집게손가락으로	집게/ncn+손가락/ncn+으로/jca
마름모를	마름모/ncn+를/jco
만들면서	만들/pvg+면서/ecs
살살	살살/mag
벌려보면	벌리/pvg+어/ecx+보/px+면/ecs
비누막이	비누/ncn+막/ncn+이/jcs
만들어집니다	만들/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf
어린	어리/paa+ㄴ/etm
동생들이	동생/ncn+들/xsn+이/jcs
초콜릿이나	초콜릿/ncn+이나/jcj
케이크	케이크/ncn
등을	등/nbn+을/jco
먹고	먹/pvg+고/ecx
난	나/px+ㄴ/etm
다음	다음/ncn
씻지도	씻/pvg+지/ecs+도/jxc
않고	않/px+고/ecs
비눗방울을	비눗방울/ncn+을/jco
만들려고	만들/pvg+려고/ecs
덤벼들면	덤비/pvg+어/ecx+들/px+면/ecs
비눗방울은	비눗방울/ncn+은/jxc
더러운	더럽/paa+ㄴ/etm
손을	손/ncn+을/jco
싫어	싫/paa+어/ecx
한단다	하/px+ㄴ다/ef+ㄴ다/ef
.	./sf
크게	크/paa+게/ecs
만들어	만들/pvg+어/ecx
보려면	보/px+려면/ecs
손을	손/ncn+을/jco
잘	잘/mag
씻고	씻/pvg+고/ecs
와	오/pvg+아/ef
라고	라고/jcr
말해	말/ncpa+하/xsv+어/ecx
주세요	주/px+시/ep+어/ef+요/jxf
.	./sf
물론	물론/mag
이런	이런/mmd
설명은	설명/ncn+은/jxc
재미는	재미/ncn+는/jxc
있지만	있/paa+지만/ecs
우리의	우리/npp+의/jcm
궁금증을	궁금/ncn+증/xsn+을/jco
해결하는	해결/ncpa+하/xsv+는/etm
데는	데/nbn+는/jxc
별로	별로/mag
도움이	도움/ncn+이/jcc
되지	되/pvg+지/ecx
못합니다	못하/px+ㅂ니다/ef
.	./sf
습기에	습기/ncn+에/jca
의해	의하/pvg+어/ecs
공기	공기/ncn
중에	중/nbn+에/jca
있는	있/paa+는/etm
먼지와	먼지/ncn+와/jcj
티끌이	티끌/ncn+이/jcs
거의	거의/mag
떨어져	떨어지/pvg+어/ecx
버리기	버리/px+기/etn
때문에	때문/nbn+에/jca
비눗방울이	비눗방울/ncn+이/jcs
잘	잘/mag
만들어지고	만들/pvg+어/ecx+지/px+고/ecc
오래	오래/mag
유지되는	유지/ncpa+되/xsv+는/etm
데	데/nbn
방해를	방해/ncn+를/jco
받지	받/pvg+지/ecx
않습니다	않/px+습니다/ef
.	./sf
강한	강하/paa+ㄴ/etm
조명빛	조명/ncn+빛/ncn
때문에	때문/nbn+에/jca
뜨거울	뜨겁/paa+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
카메라와	카메라/ncn+와/jcj
마이크는	마이크/ncn+는/jxc
습기에	습기/ncn+에/jca
약하기	약하/paa+기/etn
때문에	때문/nbn+에/jca
건조하기	건조/ncpa+하/xsv+기/etn
이를	이르/pvg+ㄹ/etm
데	데/nbn
없습니다	없/paa+습니다/ef
.	./sf
궂은	궂/paa+은/etm
날이나	날/ncn+이나/jcj
악조건	악조건/ncn
속에서도	속/ncn+에서/jca+도/jxc
살아갈	살/pvg+아/ecx+가/px+ㄹ/etm
수	수/nbn
있어야만	있/paa+어야/ecs+만/jxc
씩씩한	씩씩/ncps+하/xps+ㄴ/etm
비눗방울이	비눗방울/ncn+이/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있지요	있/paa+지/ef+요/jxf
.	./sf
비눗물도	비눗물/ncn+도/jxc
잘	잘/mag
만들고	만들/pvg+고/ecs
손도	손/ncn+도/jxc
잘	잘/mag
씻었는데	씻/pvg+었/ep+는데/ecs
잘	잘/mag
안	안/mag
만들어질	만들/pvg+어/ecx+지/px+ㄹ/etm
때가	때/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
처음	처음/ncn
사용하는	사용/ncpa+하/xsv+는/etm
플라스틱	플라스틱/ncn
컵	컵/ncn
등은	등/nbn+은/jxc
아무리	아무리/mag
깨끗하게	깨끗/ncps+하/xsm+게/ecs
보여도	보이/pvg+어도/ecs
제조	제조/ncn
공정에서	공정/ncn+에서/jca
특수	특수/ncn
기름이	기름/ncn+이/jcs
묻었을	묻/pvg+었/ep+을/etm
수도	수/nbn+도/jxc
있기	있/paa+기/etn
때문이지요	때문/nbn+이/jp+지/ef+요/jxf
.	./sf
문방구에서	문방구/ncn+에서/jca
팔고	팔/pvg+고/ecx
있는	있/px+는/etm
비눗방울	비눗방울/ncn
빨대조차	빨대/ncn+조차/jxc
처음	처음/ncn
네다섯	네다섯/nnc
번	번/nbu
사용할	사용/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
빨대에	빨대/ncn+에/jca
비눗물을	비눗물/ncn+을/jco
묻혀	묻히/pvg+어/ecs
불어도	불/pvg+어도/ecs
,	,/sp
방울이	방울/ncn+이/jcs
잘	잘/mag
만들어	만들/pvg+어/ecx
지지	지/px+지/ecx
않을	않/px+을/etm
때가	때/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
이와	이/npd+와/jct
같은	같/paa+은/etm
기름과	기름/ncn+과/jcj
더러운	더럽/paa+ㄴ/etm
것들이	것/nbn+들/xsn+이/jcs
씻겨	씻기/pvg+어/ecs
없어질	없/paa+어/ecx+지/px+ㄹ/etm
때까지는	때/ncn+까지/jxc+는/jxc
비눗방울이	비눗방울/ncn+이/jcs
잘	잘/mag
만들어지지	만들/pvg+어/ecx+지/px+지/ecx
않습니다	않/px+습니다/ef
.	./sf
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
도구와	도구/ncn+와/jcj
그릇을	그릇/ncn+을/jco
이용해야	이용/ncpa+하/xsv+어야/ecs
하고	하/px+고/ecs
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
손으로	손/ncn+으로/jca
해야	하/pvg+어야/ecs
한다는	하/px+ㄴ다/ef+는/etm
것도	것/nbn+도/jxc
알았습니다	알/pvg+았/ep+습니다/ef
.	./sf
돌을	돌/ncn+을/jco
높이	높/paa+이/xsa
쌓으면	쌓/pvg+으면/ecs
쌓을수록	쌓/pvg+을수록/ecs
정성이	정성/ncn+이/jcs
하늘에	하늘/ncn+에/jca
닿아	닿/pvg+아/ecs
자기가	자기/npp+가/jcs
원하는	원/ncpa+하/xsv+는/etm
바를	바/nbn+를/jco
이룰	이루/pvg+ㄹ/etm
수	수/nbn
있으리라는	있/paa+으리라/ef+는/etm
기대	기대/ncn
때문에	때문/nbn+에/jca
그런	그런/mmd
관습이	관습/ncn+이/jcs
이어져	잇/pvg+어/ecx+지/px+어/ecs
내려온	내리/pvg+어/ecx+오/px+ㄴ/etm
것	것/nbn
같아요	같/paa+아/ef+요/jxf
.	./sf
비눗방울이	비눗방울/ncn+이/jcs
왜	왜/mag
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
좋아하느냐라는	좋/paa+아/ecx+하/px+느냐/ef+라/ecs+는/jxc
이유를	이유/ncn+를/jco
찾다가	찾/pvg+다가/ecs
웬	웬/mma
서낭당	서낭당/ncn
이야기를	이야기/ncn+를/jco
하느냐구요	하/pvg+느냐/ef+구/ef+요/jxf
?	?/sf
이런	이런/mmd
과학문제를	과학/ncn+문제/ncn+를/jco
풀어	풀/pvg+어/ecs
나가려면	나가/pvg+려면/ecs
조급한	조급/ncps+하/xsm+ㄴ/etm
마음을	마음/ncn+을/jco
가지는	가지/pvg+는/etm
것은	것/nbn+은/jxc
절대	절대/mag
금물이랍니다	금물/ncn+이/jp+라/ef+ㅂ니다/ef
.	./sf
이렇게	이렇/pad+게/ecs
실패하는	실패/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
자꾸	자꾸/mag
해보는	하/pvg+어/ecx+보/px+는/etm
것은	것/nbn+은/jxc
지금	지금/mag
우리가	우리/npp+가/jcs
해결하려는	해결/ncpa+하/xsv+려/ecs+는/etm
문제와	문제/ncn+와/jct
무슨	무슨/mmd
관련이	관련/ncn+이/jcs
있는	있/paa+는/etm
것이	것/nbn+이/jcc
아닐까요	아니/paa+ㄹ까/ef+요/jxf
?	?/sf
여러분이	여러분/npp+이/jcs
열	열/nnc
개	개/nbu
쌓기도	쌓/pvg+기/etn+도/jxc
힘들었던	힘/ncn+들/pvg+었/ep+던/etm
돌멩이들은	돌멩이/ncn+들/xsn+은/jxc
그	그/mmd
모양이	모양/ncn+이/jcs
비슷하고	비슷/ncps+하/xsm+고/ecc
납작할수록	납작/ncps+하/xsm+ㄹ수록/ecs
쌓기가	쌓/pvg+기/etn+가/jcs
좋았을	좋/paa+았/ep+을/etm
겁니다	거/nbn+ㅂ니다/ef
.	./sf
비눗방울도	비눗방울/ncn+도/jxc
위에서처럼	위/ncn+에서/jca+처럼/jca
물과	물/ncn+과/jcj
비누가	비누/ncn+가/jcs
규칙적으로	규칙/ncn+적/xsn+으로/jca
