
그리스	그리스/nq
철학자들은	철학/ncn+자/xsn+들/xsn+은/jxc
적당히	적당/ncn+히/xsa
먹고	먹/pvg+고/ecc
마시기를	마시/pvg+기/etn+를/jco
권했는데	권하/pvg+었/ep+는데/ecs
,	,/sp
철학적인	철학/ncn+적/xsn+이/jp+ㄴ/etm
이유에서뿐만	이유/ncn+에서/jca+뿐/jxc+만/jxc
아니라	아니/paa+라/ecs
실제로	실제/ncn+로/jca
이	이/mmd
규칙을	규칙/ncn+을/jco
따랐던	따르/pvg+았/ep+던/etm
사람들이	사람/ncn+들/xsn+이/jcs
건강하게	건강/ncps+하/xsm+게/ecc
오래	오래/mag
살았기	살/pvg+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

그러나	그러나/maj
이렇게	이렇/pad+게/ecx
하면	하/px+면/ecs
건강이	건강/ncn+이/jcs
유지되기는	유지/ncpa+되/xsv+기/etn+는/jxc
하지만	하/pvg+지만/ecs
충분치는	충분/ncps+하/xsm+지/ecx+는/jxc
않음을	않/px+음/etn+을/jco
알게	알/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

사람이	사람/ncn+이/jcs
잘	잘/mag
먹을	먹/pvg+을/etm
수	수/nbn
있는	있/paa+는/etm
행운과	행운/ncn+과/jcj
과식을	과식/ncn+을/jco
절제할	절제/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
지혜를	지혜/ncn+를/jco
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
할지라도	하/pvg+ㄹ지라도/ecs
중요한	중요/ncps+하/xsm+ㄴ/etm
원소가	원소/ncn+가/jcs
부족하게	부족/ncps+하/xsm+게/ecx
될	되/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있고	있/paa+고/ecc
세계	세계/ncn
일부	일부/ncn
지역의	지역/ncn+의/jcm
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
이런	이런/mmd
상황에	상황/ncn+에/jca
처해	처하/pvg+어/ecx
있다	있/px+다/ef
.	./sf

식물체는	식물/ncn+체/xsn+는/jxc
이산화탄소와	이산화탄소/ncn+와/jcj
물	물/ncn
그리고	그리고/maj
몇몇	몇몇/mma
무기	무기/ncn
염류만	염류/ncn+만/jxc
있으면	있/paa+으면/ecs
잘	잘/mag
살아간다	살/pvg+아/ecx+가/px+ㄴ다/ef
.	./sf

마찬가지로	마찬가지/ncn+로/jca
독립	독립/ncn
영양	영양/ncn
(	(/sl
자신이	자신/ncn+이/jcs
먹을	먹/pvg+을/etm
것을	것/nbn+을/jco
만드는	만들/pvg+는/etm
)	)/sr
생물이라	생물/ncn+이/jp+라/ef
불리는	불리/pvg+는/etm
몇몇	몇몇/mma
미생물은	미생물/ncn+은/jxc
유기	유기/ncn
음식물	음식/ncn+물/xsn
없이도	없/paa+이/xsa+도/jxc
살	살/pvg+ㄹ/etm
수	수/nbn
있거니와	있/paa+거니와/ecs
이들은	이/npd+들/xsn+은/jxc
다른	다르/paa+ㄴ/etm
생명체가	생명/ncn+체/xsn+가/jcs
없는	없/paa+는/etm
환경에서도	환경/ncn+에서/jca+도/jxc
살아갈	살/pvg+아/ecx+가/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

빵에	빵/ncn+에/jca
생기는	생기/pvg+는/etm
붉은	붉/paa+은/etm
빵곰팡이는	빵/ncn+곰팡이/ncn+는/jxc
더	더/mag
복잡해서	복잡/ncps+하/xsm+어서/ecs
무기	무기/ncn
물질	물질/ncn
이외에	이외/ncn+에/jca
당과	당/ncn+과/jcj
비오틴이라는	비오틴/ncn+이/jp+라/ef+는/etm
비타민이	비타민/ncn+이/jcs
필요하다	필요/ncps+하/xsm+다/ef
.	./sf

그리고	그리고/maj
생명체의	생명/ncn+체/xsn+의/jcm
형태가	형태/ncn+가/jcs
복잡해질수록	복잡/ncps+하/xsm+어/ecx+지/px+ㄹ수록/ecs
생체	생체/ncn
조직을	조직/ncn+을/jco
유지하는	유지/ncpa+하/xsv+는/etm
데	데/nbn
더	더/mag
많은	많/paa+은/etm
유기물	유기/ncn+물/xsn
구성	구성/ncn
단위를	단위/ncn+를/jco
필요로	필요/ncn+로/jca
하는	하/pvg+는/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf

이는	이/npd+는/jxc
환경에	환경/ncn+에/jca
대한	대하/pvg+ㄴ/etm
의존도가	의존/ncn+도/xsn+가/jcs
커져서	크/paa+어/ecx+지/px+어서/ecs
생존에	생존/ncn+에/jca
불리하게	불리/ncps+하/xsm+게/ecx
되는	되/pvg+는/etm
,	,/sp
일종의	일종/ncn+의/jcm
퇴보로	퇴보/ncn+로/jca
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으나	있/paa+으나/ecs
꼭	꼭/mag
그렇지만도	그렇/pad+지/ecx+만/jxc+도/jxc
않다	않/paa+다/ef
.	./sf

환경에서	환경/ncn+에서/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
공급해	공급/ncpa+하/xsv+어/ecx
준다면	주/px+ㄴ다/ef+면/ecs
세포는	세포/ncn+는/jxc
왜	왜/mag
정교한	정교/ncps+하/xsm+ㄴ/etm
효소	효소/ncn
기구를	기구/ncn+를/jco
가지고	가지/pvg+고/ecx
있어야	있/px+어야/ecs
하는가	하/pvg+는가/ef
?	?/sf

이	이/mmd
기구가	기구/ncn+가/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
세포는	세포/ncn+는/jxc
좀더	좀더/mag
정교하고	정교/ncps+하/xsm+고/ecc
특수한	특수/ncps+하/xsm+ㄴ/etm
목적을	목적/ncn+을/jco
위하여	위하/pvg+어/ecs
에너지를	에너지/ncn+를/jco
사용하고	사용/ncpa+하/xsv+고/ecc
공간을	공간/ncn+을/jco
확보하게	확보/ncpa+하/xsv+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

다른	다르/paa+ㄴ/etm
동물과	동물/ncn+과/jct
마찬가지로	마찬가지/ncn+로/jca
사람은	사람/ncn+은/jxc
필요한	필요/ncps+하/xsm+ㄴ/etm
음식물을	음식/ncn+물/xsn+을/jco
얻으려면	얻/pvg+으려면/ecs
물리적으로	물리/ncn+적/xsn+으로/jca
다른	다르/paa+ㄴ/etm
생명체를	생명/ncn+체/ncn+를/jco
섭취해야	섭취/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf

녹말과	녹말/ncn+과/jcj
단백질	단백질/ncn
등의	등/nbn+의/jcm
거대	거대/ncn
분자가	분자/ncn+가/jcs
효소	효소/ncn
작용으로	작용/ncn+으로/jca
분해	분해/ncn
즉	즉/mag
소화되어서	소화/ncpa+되/xsv+어서/ecs
작은	작/paa+은/etm
부스러기	부스러기/ncn
(	(/sl
아미노산	아미노산/ncn
,	,/sp
포도당	포도당/ncn
)	)/sr
로	로/jca
흡수된다	흡수/ncpa+되/xsv+ㄴ다/ef
.	./sf

이	이/mmd
부스러기는	부스러기/ncn+는/jxc
에너지를	에너지/ncn+를/jco
내기	내/pvg+기/etn
위해	위하/pvg+어/ecs
포식자의	포식/ncn+자/xsn+의/jcm
몸	몸/ncn
안에서	안/ncn+에서/jca
더	더/mag
잘게	잘/paa+게/ecx
부숴지거나	부수/pvg+어/ecx+지/px+거나/ecc
다시	다시/mag
조합되어	조합/ncpa+되/xsv+어/ecs
피식자보다는	피식/ncn+자/xsn+보다/jca+는/jxc
포식자의	포식/ncn+자/xsn+의/jcm
특징을	특징/ncn+을/jco
나타내는	나타내/pvg+는/etm
거대	거대/ncn
분자를	분자/ncn+를/jco
형성하게	형성/ncpa+하/xsv+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

아마	아마/mag
모든	모든/mma
동물이	동물/ncn+이/jcs
이런	이런/mmd
식으로	식/ncn+으로/jca
먹고	먹/pvg+고/ecc
산다면	살/pvg+ㄴ다/ef+면/ecs
동물의	동물/ncn+의/jcm
삶은	삶/ncn+은/jxc
오래	오래/mag
지속되지	지속/ncpa+되/xsv+지/ecx
못할	못하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

일반적으로	일반/ncn+적/xsn+으로/jca
1	1/nnc
Kg	Kg/su
의	의/jcm
포식자를	포식/ncn+자/xsn+를/jco
유지하기	유지/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
10	10/nnc
Kg	Kg/su
의	의/jcm
피식자가	피식/ncn+자/xsn+가/jcs
필요하다	필요/ncps+하/xsm+다/ef
.	./sf

식물은	식물/ncn+은/jxc
동물보다	동물/ncn+보다/jca
훨씬	훨씬/mag
많아	많/paa+아/ecs
초식	초식/ncn
동물	동물/ncn
전체의	전체/ncn+의/jcm
양은	양/ncn+은/jxc
육식	육식/ncn
동물보다	동물/ncn+보다/jca
훨씬	훨씬/mag
많다	많/paa+다/ef
.	./sf

그래서	그래서/maj
초식	초식/ncn
동물에	동물/ncn+에/jca
의해	의하/pvg+어/ecs
육식	육식/ncn
동물의	동물/ncn+의/jcm
유지가	유지/ncn+가/jcs
가능해진다	가능/ncps+하/xsm+어/ecx+지/px+ㄴ다/ef
(	(/sl
한편	한편/maj
사람과	사람/ncn+과/jcj
곰	곰/ncn
,	,/sp
돼지	돼지/ncn
등은	등/nbn+은/jxc
잡식성이어서	잡식/ncn+성/xsn+이/jp+어서/ecs
식물과	식물/ncn+과/jcj
동물을	동물/ncn+을/jco
모두	모두/mag
먹는다	먹/pvg+는다/ef
).	)/sr+./sf

식물에서	식물/ncn+에서/jca
동물로의	동물/ncn+로/jca+의/jcm
에너지나	에너지/ncn+나/jcj
조직	조직/ncn
성분	성분/ncn
전달은	전달/ncn+은/jxc
매우	매우/mag
비효율적이기	비/xp+효율/ncn+적/xsn+이/jp+기/etn
때문에	때문/nbn+에/jca
식물이	식물/ncn+이/jcs
동물에게	동물/ncn+에게/jca
먹히는	먹히/pvg+는/etm
것보다	것/nbn+보다/jca
빨리	빠르/paa+이/xsa
재생되지	재생/ncpa+되/xsv+지/ecx
않는다면	않/px+는다/ef+면/ecs
어떤	어떤/mmd
생명체도	생명/ncn+체/xsn+도/jxc
살아남지	살/pvg+아/ecs+남/pvg+지/ecx
못할	못하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그러나	그러나/maj
식물체는	식물/ncn+체/xsn+는/jxc
광합성이라는	광합성/ncn+이/jp+라/ef+는/etm
과정을	과정/ncn+을/jco
통해	통하/pvg+어/ecs
태양	태양/ncn
에너지를	에너지/ncn+를/jco
이용	이용/ncn
,	,/sp
먹히는	먹히/pvg+는/etm
것보다	것/nbn+보다/jca
더	더/mag
빨리	빠르/paa+이/xsa
재생된다	재생/ncpa+되/xsv+ㄴ다/ef
.	./sf

이런	이런/mmd
식으로	식/ncn+으로/jca
식물은	식물/ncn+은/jxc
무생물을	무/xp+생물/ncn+을/jco
이용해	이용/ncpa+하/xsv+어/ecx
살아가고	살/pvg+아/ecx+가/px+고/ecc
모든	모든/mma
생명체를	생명/ncn+체/xsn+를/jco
유지하게	유지/ncpa+하/xsv+게/ecx
한다	하/px+ㄴ다/ef
.	./sf

1	1/nnc
%	%/su
에도	에/jca+도/jxc
미치지	미치/pvg+지/ecx
못하는	못하/px+는/etm
양을	양/ncn+을/jco
흡수하여	흡수/ncpa+하/xsv+어/ecs
이를	이/npd+를/jco
조직의	조직/ncn+의/jcm
성분으로	성분/ncn+으로/jca
전환시킨다	전환/ncpa+시키/xsv+ㄴ다/ef
.	./sf

유기	유기/ncn
음식물	음식/ncn+물/xsn
사람이	사람/ncn+이/jcs
음식물에서	음식/ncn+물/xsn+에서/jca
얻어야	얻/pvg+어야/ecs
할	하/pvg+ㄹ/etm
것이	것/nbn+이/jcs
에너지뿐이라면	에너지/ncn+뿐/jxc+이/jp+라면/ecs
실제로	실제/ncn+로/jca
그렇게	그렇/pad+게/ecc
많은	많/paa+은/etm
음식물이	음식/ncn+물/xsn+이/jcs
필요하지	필요/ncps+하/xsm+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

이를테면	이를테면/maj
반	반/nnc
파운드의	파운드/nbu+의/jcm
버터만	버터/ncn+만/jxc
있으면	있/paa+으면/ecs
한	한/nnc
사람이	사람/ncn+이/jcs
하루	하루/ncn
종일	종일/ncn
일하는	일/ncpa+하/xsv+는/etm
데	데/nbn
필요한	필요/ncps+하/xsm+ㄴ/etm
에너지를	에너지/ncn+를/jco
충분히	충분/ncn+히/xsa
얻을	얻/pvg+을/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

하지만	하지만/maj
음식물은	음식/ncn+물/xsn+은/jxc
에너지의	에너지/ncn+의/jcm
공급뿐만	공급/ncn+뿐/jxc+만/jxc
아니라	아니/paa+라/ecs
신체	신체/ncn
조직의	조직/ncn+의/jcm
보수와	보수/ncn+와/jcj
구성에	구성/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
구성	구성/ncn
단위가	단위/ncn+가/jcc
되거니와	되/pvg+거니와/ecs
이것은	이것/npd+은/jxc
여러	여러/mma
음식물에서	음식/ncn+물/xsn+에서/jca
발견된다	발견/ncpa+되/xsv+ㄴ다/ef
.	./sf

이들은	이/npd+들/xsn+은/jxc
단백질이	단백질/ncn+이/jcs
가장	가장/mag
중요하며	중요/ncps+하/xsm+며/ecc
생물체는	생물/ncn+체/xsn+는/jxc
단백질만	단백질/ncn+만/jxc
섭취해도	섭취/ncpa+하/xsv+어도/ecs
살아갈	살/pvg+아/ecx+가/px+ㄹ/etm
수	수/nbn
있음을	있/paa+음/etn+을/jco
밝혔다	밝히/pvg+었/ep+다/ef
.	./sf

신체에는	신체/ncn+에/jca+는/jxc
질소원이	질소/ncn+원/xsn+이/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
탄수화물이나	탄수화물/ncn+이나/jcj
지질로부터	지질/ncn+로/jca+부터/jxc
단백질을	단백질/ncn+을/jco
만들지는	만들/pvg+지/ecx+는/jxc
못하지만	못하/pvg+지만/ecs
제공되는	제공/ncpa+되/xsv+는/etm
단백질에서	단백질/ncn+에서/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
탄수화물이나	탄수화물/ncn+이나/jcj
지질을	지질/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수는	수/nbn+는/jxc
있다	있/paa+다/ef
.	./sf

그리고	그리고/maj
흉년	흉년/ncn
뒤에	뒤/ncn+에/jca
오는	오/pvg+는/etm
기근으로	기근/ncn+으로/jca
충분한	충분/ncps+하/xsm+ㄴ/etm
음식물을	음식/ncn+물/xsn+을/jco
얻지	얻/pvg+지/ecx
못하기도	못하/px+기/etn+도/jxc
하고	하/pvg+고/ecc
육체적	육체/ncn+적/xsn
혹은	혹은/maj
경제적	경제/ncn+적/xsn
분배	분배/ncn
과정에	과정/ncn+에/jca
문제가	문제/ncn+가/jcs
생겨	생기/pvg+어/ecs
음식물을	음식/ncn+물/xsn+을/jco
얻지	얻/pvg+지/ecx
못하거나	못하/px+거나/ecc
취할	취하/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
사람들도	사람/ncn+들/xsn+도/jxc
있다	있/paa+다/ef
.	./sf

음식이	음식/ncn+이/jcs
충분한	충분/ncps+하/xsm+ㄴ/etm
것	것/nbn
같은	같/paa+은/etm
때에도	때/ncn+에/jca+도/jxc
단백질의	단백질/ncn+의/jcm
함량이	함량/ncn+이/jcs
너무	너무/mag
적어	적/paa+어/ecs
영양부족은	영양/ncn+부족/ncn+은/jxc
아니나	아니/paa+나/ecs
영양	영양/ncn
실조가	실조/ncn+가/jcc
되기도	되/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf

특히	특히/mag
어린이들이	어린이/ncn+들/xsn+이/jcs
단백질	단백질/ncn
부족으로	부족/ncn+으로/jca
고생하는	고생/ncpa+하/xsv+는/etm
경우가	경우/ncn+가/jcs
많은데	많/paa+은데/ecs
,	,/sp
그	그/mmd
이유는	이유/ncn+는/jxc
단순히	단순/ncn+히/xsa
조직을	조직/ncn+을/jco
대체하는	대체/ncpa+하/xsv+는/etm
것	것/nbn
외에	외/nbn+에/jca
성장에	성장/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
새	새/mma
조직을	조직/ncn+을/jco
만드는	만들/pvg+는/etm
데에도	데/nbn+에/jca+도/jxc
단백질이	단백질/ncn+이/jcs
필요하기	필요/ncps+하/xsm+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

자유롭게	자유/ncps+롭/xsm+게/ecs
먹고	먹/pvg+고/ecc
필요한	필요/ncps+하/xsm+ㄴ/etm
모든	모든/mma
것을	것/nbn+을/jco
얻을	얻/pvg+을/etm
수	수/nbn
있는	있/paa+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
언제나	언제나/mag
소수에	소수/ncn+에/jca
지나지	지나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

그리고	그리고/maj
이것은	이것/npd+은/jxc
여러	여러/mma
가지	가지/nbu
면에서	면/ncn+에서/jca
,	,/sp
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
음식물을	음식/ncn+물/xsn+을/jco
거의	거의/mag
섭취하지	섭취/ncpa+하/xsv+지/ecx
못할	못하/px+ㄹ/etm
때	때/ncn
고비를	고비/ncn+를/jco
넘기기	넘기/pvg+기/etn
위한	위하/pvg+ㄴ/etm
에너지	에너지/ncn
저장물	저장/ncn+물/xsn
등으로	등/nbn+으로/jca
유용하다	유용/ncps+하/xsm+다/ef
.	./sf

이	이/mmd
같은	같/paa+은/etm
상태는	상태/ncn+는/jxc
불편을	불편/ncn+을/jco
주고	주/pvg+고/ecc
퇴행성	퇴행/ncn+성/xsn
대사	대사/ncn
이상으로	이상/ncn+으로/jca
생기는	생기/pvg+는/etm
질병	질병/ncn
즉	즉/mag
당뇨나	당뇨/ncn+나/jcj
동맥	동맥/ncn
경화	경화/ncn
등을	등/nbn+을/jco
발생시키기도	발생/ncpa+시키/xsv+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
(	(/sl
그리고	그리고/maj
균형잡힌	균형/ncn+잡히/pvg+ㄴ/etm
식사가	식사/ncn+가/jcs
이루어지지	이루/pvg+어/ecx+지/px+지/ecx
않으면	않/px+으면/ecs
비만인	비만/ncn+이/jp+ㄴ/etm
상태에서도	상태/ncn+에서/jca+도/jxc
영양	영양/ncn
결핍이	결핍/ncn+이/jcs
일어날	일어나/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
).	)/sr+./sf

생활	생활/ncn
수준이	수준/ncn+이/jcs
높고	높/paa+고/ecc
비만을	비만/ncn+을/jco
바람직하게	바람직/ncps+하/xsm+게/ecx
생각하지	생각/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
미국	미국/nq
같은	같/paa+은/etm
나라에서	나라/ncn+에서/jca
체중	체중/ncn
과다는	과다/ncn+는/jxc
심각한	심각/ncps+하/xsm+ㄴ/etm
문제이다	문제/ncn+이/jp+다/ef
.	./sf

이를	이/npd+를/jco
막는	막/pvg+는/etm
유일한	유일/ncps+하/xsm+ㄴ/etm
방법은	방법/ncn+은/jxc
음식의	음식/ncn+의/jcm
양을	양/ncn+을/jco
줄이거나	줄이/pvg+거나/ecc
활동을	활동/ncn+을/jco
많이	많/paa+이/xsa
하는	하/pvg+는/etm
것으로	것/nbn+으로/jca
,	,/sp
이것이	이것/npd+이/jcs
싫은	싫/paa+은/etm
사람이	사람/ncn+이/jcs
체중	체중/ncn
증가를	증가/ncn+를/jco
막을	막/pvg+을/etm
방법이란	방법/ncn+이/jp+라/ef+ㄴ/jxc
없다	없/paa+다/ef
.	./sf

