아들은	아들/ncn+은/jxc
정상적인	정상/ncn+적/xsn+이/jp+ㄴ/etm
청력을	청력/ncn+을/jco
가지고	가지/pvg+고/ecs
태어났지만	태어나/pvg+었/ep+지만/ecs
,	,/sp
어쨌거나	어쨌거나/mag
어머니의	어머니/ncn+의/jcm
집안인	집안/ncn+이/jp+ㄴ/etm
외갓집은	외갓집/ncn+은/jxc
더욱	더욱/mag
심각했다	심각/ncps+하/xsm+었/ep+다/ef
.	./sf

무슨	무슨/mmd
일이	일/ncn+이/jcs
있을	있/paa+을/etm
때마다	때/ncn+마다/jxc
'	'/sl
자식이	자식/ncn+이/jcs
생기지	생기/pvg+지/ecx
않았더라면	않/px+았/ep+더라면/ecs
좋았을	좋/paa+았/ep+을/etm
것을	것/nbn+을/jco
',	'/sr+,/sp
'	'/sl
나를	나/npp+를/jco
낳은	낳/pvg+은/etm
것은	것/nbn+은/jxc
보모의	보모/ncn+의/jcm
실패요	실패/ncn+요/jxf
책임이다	책임/ncn+이/jp+다/ef
'	'/sr
라고	라고/jcr
부모와	부모/ncn+와/jcj
자식간에	자식/ncn+간/nbn+에/jca
분노의	분노/ncn+의/jcm
화풀이가	화/ncn+풀이/ncn+가/jcs
계속된다	계속/ncpa+되/xsv+ㄴ다/ef
.	./sf

또한	또한/maj
자식을	자식/ncn+을/jco
위하여	위하/pvg+어/ecs
자기를	자기/npp+를/jco
희생하는	희생/ncpa+하/xsv+는/etm
부모의	부모/ncn+의/jcm
애정에는	애정/ncn+에/jca+는/jxc
그	그/mmd
누구나	누구/npp+나/jxc
감탄하지	감탄/ncpa+하/xsv+지/ecx
않을	않/px+을/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

교육을	교육/ncn+을/jco
위한	위하/pvg+ㄴ/etm
어머니의	어머니/ncn+의/jcm
과잉	과잉/ncn
보호도	보호/ncn+도/jxc
부모의	부모/ncn+의/jcm
자식에	자식/ncn+에/jca
대한	대하/pvg+ㄴ/etm
책임감의	책임/ncn+감/xsn+의/jcm
일부일	일부/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

자식을	자식/ncn+을/jco
낳는	낳/pvg+는/etm
수가	수/nbn+가/jcs
줄고	줄/pvg+고/ecs
그에	그/npd+에/jca
배해	비하/pvg+어/ecs
주부들의	주부/ncn+들/xsn+의/jcm
여가가	여가/ncn+가/jcs
많아지는	많/paa+아/ecx+지/px+는/etm
데서	데/nbn+서/jca
그	그/mmd
중하나	중/nbn+하나/nnc
원인을	원인/ncn+을/jco
찾을	찾/pvg+을/etm
수가	수/nbn+가/jcs
있겠다	있/paa+겠/ep+다/ef
.	./sf

부모의	부모/ncn+의/jcm
잘잘못은	잘잘못/ncn+은/jxc
'	'/sl
유전	유전/ncn
(	(/sl
遺傳	遺傳/ncn
)'	)/sr+'/sr
이라는	이/jp+라/ef+는/etm
필연을	필연/ncn+을/jco
통해	통하/pvg+어/ecs
태아에	태아/ncn+에/jca
전달되기	전달/ncpa+되/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
다소의	다소/ncn+의/jcm
예외는	예외/ncn+는/jxc
있겠으나	있/paa+겠/ep+으나/ecs
2	nq[2/nno
차	차/nbu
대전	대전/ncn]nq
전의	전/ncn+의/jcm
대다수의	대/xp+다수/ncn+의/jcm
부모들에게	부모/ncn+들/xsn+에게/jca
있어서	있/paa+어서/ecs
자식은	자식/ncn+은/jxc
귀중한	귀중/ncps+하/xsm+ㄴ/etm
존재였고	존재/ncn+이/jp+었/ep+고/ecs
수태	수태/ncn
(	(/sl
受胎	受胎/ncn
)	)/sr
여부도	여부/ncn+도/jxc
운	운/ncn
(	(/sl
運	運/ncn
)	)/sr
에	에/jca
맡겨졌고	맡기/pvg+어/ecx+지/px+었/ep+고/ecs
임신하면	임신/ncpa+하/xsv+면/ecs
반드시	반드시/mag
낳는다는	낳/pvg+는다/ef+는/etm
원칙을	원칙/ncn+을/jco
가지고	가지/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
인공	인공/ncn
임신중절	임신/ncn+중절/ncn
등은	등/nbn+은/jxc
예외	예외/ncn
중의	중/nbn+의/jcm
예외였으며	예외/ncn+이/jp+었/ep+으며/ecs
,	,/sp
자칫	자칫/mag
잘못하면	잘못/ncpa+하/xsv+면/ecs
본인이나	본인/ncn+이나/jcj
의사까지	의사/ncn+까지/jxc
낙태	낙태/ncn
죄로	죄/ncn+로/jca
처벌을	처벌/ncn+을/jco
면치	면하/pvg+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf

그	그/mmd
중에는	중/nbn+에/jca+는/jxc
마음씨	마음씨/ncn
나쁜	나쁘/paa+ㄴ/etm
시어머니와	시어머니/ncn+와/jcj
시누이가있어	시누이/ncn+가/jcs+있/paa+어/ecs
불구자를	불구/ncn+자/xsn+를/jco
낳은	낳/pvg+은/etm
며느리와	며느리/ncn+와/jcj
올케를	올케/ncn+를/jco
괴롭힌	괴롭히/pvg+ㄴ/etm
일은	일/ncn+은/jxc
있겠지만	있/paa+겠/ep+지만/ecs
산모의	산모/ncn+의/jcm
입장으로서는	입장/ncn+으로서/jca+는/jxc
그야말로	그야말로/mag
불가항력이라고	불/xp+가항/ncn+력/xsn+이/jp+라/ef+고/jcr
하겠다	하/pvg+겠/ep+다/ef
.	./sf
내용인	내용/ncn+이/jp+ㄴ/etm
즉	즉/nbn
,	,/sp
가족	가족/ncn
중에	중/nbn+에/jca
이상한	이상/ncps+하/xsm+ㄴ/etm
병이	병/ncn+이/jcs
있는	있/paa+는/etm
것을	것/nbn+을/jco
알았는데	알/pvg+았/ep+는데/ecs
자손에게	자손/ncn+에게/jca
유전될	유전/ncpa+되/xsv+ㄹ/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
혹은	혹은/maj
유전의	유전/ncn+의/jcm
염려가	염려/ncn+가/jcs
없다면	없/paa+다/ef+면/ecs
금월초	금월/ncn+초/ncn
배란시에	배란/ncn+시/xsn+에/jca
수태하여	수태/ncpa+하/xsv+어/ecs
어린애를	어리/paa+ㄴ/etm+애/ncn+를/jco
낳고자	낳/pvg+고자/ecs
하니	하/pvg+니/ecs
회답을	회답/ncn+을/jco
달라는	달라/pvg+는/etm
사연이었다	사연/ncn+이/jp+었/ep+다/ef
.	./sf
수태	수태/ncn
방지에	방지/ncn+에/jca
,	,/sp
즉	즉/mag
피임에	피임/ncn+에/jca
대하여	대하/pvg+어/ecs
언제나	언제나/mag
성공하고	성공/ncpa+하/xsv+고/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
그것을	그것/npd+을/jco
그만두면	그만두/pvg+면/ecs
틀림없이	틀림/ncn+없/paa+이/xsa
수태할	수태/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
자신을	자신/ncn+을/jco
가지고	가지/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
생각과는	생각/ncn+과/jct+는/jxc
반대로	반대/ncn+로/jca
혹시	혹시/mag
수태하는	수태/ncpa+하/xsv+는/etm
일이라도	일/ncn+이/jp+라/ef+도/jxc
생긴다면	생기/pvg+ㄴ다/ef+면/ecs
언제나	언제나/mag
중절	중절/ncn
수술을	수술/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
안심이	안심/ncn+이/jcs
거기에	거기/npd+에/jca
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이와	이/npd+와/jct
같이	같/paa+이/xsa
아기를	아기/ncn+를/jco
낳는	낳/pvg+는/etm
일이	일/ncn+이/jcs
자유자재로	자유자재/ncn+로/jca
행하여질	행하/pvg+어/ecx+지/px+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
세상이	세상/ncn+이/jcc
되었으니	되/pvg+었/ep+으니/ecs
이제	이제/mag
아기의	아기/ncn+의/jcm
탄생은	탄생/ncn+은/jxc
자연의	자연/ncn+의/jcm
현상이	현상/ncn+이/jcc
아니라	아니/paa+라/ecs
부모의	부모/ncn+의/jcm
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
의지에	의지/ncn+에/jca
따라	따르/pvg+아/ecs
좌우할	좌우/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
시대는	시대/ncn+는/jxc
번모해	번모/ncpa+하/xsv+어/ecx
가고	가/px+고/ecx
있다	있/px+다/ef
.	./sf
혹시	혹시/mag
태아에	태아/ncn+에/jca
나쁜	나쁘/paa+ㄴ/etm
영향이라도	영향/ncn+이/jp+라/ef+도/jxc
미치게	미치/pvg+게/ecx
된다면	되/px+ㄴ다/ef+면/ecs
그것은	그것/npd+은/jxc
곧	곧/maj
부모의	부모/ncn+의/jcm
책임이므로	책임/ncn+이/jp+므로/ecs
아쉽지만	아쉽/paa+지만/ecs
중절하고	중절/ncpa+하/xsv+고/ecs
다시	다시/mag
한	한/nnc
번	번/nbu
수태하는	수태/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
태어나는	태어나/pvg+는/etm
2	2/nno
세를	세/nbu+를/jco
위해	위하/pvg+어/ecs
안전하지	안전/ncpa+하/xsv+지/ecx
않겠느냐는	않/px+겠/ep+느냐/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
출산의	출산/ncn+의/jcm
시기가	시기/ncn+가/jcs
일년	일/nnc+년/nbu
중	중/nbn
3	3/nno
4	4/nno
월경이	월/nbu+경/xsn+이/jcs
가장	가장/mag
이상적이라고	이상/ncn+적/xsn+이/jp+라/ef+고/jcr
생각하고	생각/ncpa+하/xsv+고/ecx
있던	있/px+던/etm
중	중/nbn
수태	수태/ncn
방지	방지/ncn
피임에	피임/ncn+에/jca
실패하여	실패/ncpa+하/xsv+어/ecs
그만	그만/mag
12	12/nno
월	월/nbu
임신하고	임신/ncpa+하/xsv+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
이런	이런/mmd
경우	경우/ncn
출산은	출산/ncn+은/jxc
이듬	이듬/mma
해	해/ncn
9	9/nno
