<tdmsfile>


모두들	모두/ncn+들/xsn
축구에	축구/ncn+에/jca
열중하느라	열중/ncpa+하/xsv+느라/ecs
우리가	우리/npp+가/jcs
다가가는	다가가/pvg+는/etm
것도	것/nbn+도/jx
모르고	모르/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

그옆에는	그/mmd+옆/ncn+에/jca+는/jxc
조금	조금/mag
더	더/mag
어린	어리/paa+ㄴ/etm
아이들이	아이/ncn+들/xsn+이/jcs
회전목마를	회전/ncn+목마/ncn+를/jco
타며	타/pvg+며/ecs
신나게	신/ncn+나/pvg+게/ecs
소리치고	소리/ncn+치/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

광장	광장/ncn
한	한/nnc
쪽에는	쪽/nbn+에/jca+는/jxc
나무에	나무/ncn+에/jca
오르고	오르/pvg+고/ecc
,	,/sp
술래잡기를	술래/ncn+잡기/ncn+를/jco
하는	하/pvg+는/etm
아이들도	아이/ncn+들/xsn+도/jxc
있었다	있/paa+었/ep+다/ef
.	./sf

광장	광장/ncn
한	한/nnc
쪽에는	쪽/nbn+에/jca+는/jxc
나무에	나무/ncn+에/jca
오르고	오르/pvg+고/ecc
,	,/sp
술래잡기를	술래/ncn+잡기/ncn+를/jco
하는	하/pvg+는/etm
아이들도	아이/ncn+들/xsn+도/jxc
있었다	있/paa+었/ep+다/ef
.	./sf

아저씨와	아저씨/ncn+와/jcj
나는	나/npp+는/jxc
축구공을	축구/ncn+공/ncn+을/jco
발로	발/ncn+로/jca
차고	차/pvg+고/ecx
있는	있/px+는/etm
남자	남자/ncn
아이에게	아이/ncn+에게/jca
다가가	다가가/pvg+아/ecs
물어보았다	묻/pvg+어/ecx+보/px+았/ep+다/ef
.	./sf

네가	네/npp+가/jcs
공을	공/ncn+을/jco
찬	차/pvg+ㄴ/etm
것은	것/nbn+은/jxc
한참	한참/mag
전인데도	전/ncn+이/jp+ㄴ데도/ecs
공은	공/ncn+은/jxc
아직도	아직/mag+도/jxc
굴러가고	구르/pvg+어/ecs+가/pvg+고/ecx
있는데	있/px+는데/ef
?	?/sf
아	아/ii
,	,/sp
그것은	그것/npd+은/jxc
관성의	관성/ncn+의/jcm
법칙	법칙/ncn
때문이에요	때문/nbn+이/jp+어/ef+요/jxf
.	./sf

공은	공/ncn+은/jxc
왜	왜/mag
계속	계속/mag
굴러갈까	구르/pvg+어/ecs+가/pvg+ㄹ까/ef
?	?/sf
-	-/sd
관성	관성/ncn
관성의	관성/ncn+의/jcm
법칙은	법칙/ncn+은/jxc
우리나라의	우리/npp+나라/ncn+의/jcm
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
법칙의	법칙/ncn+의/jcm
하나인데	하나/nnc+이/jp+ㄴ데/ecs
모든	모든/mma
것은	것/nbn+은/jxc
이	이/mmd
법칙을	법칙/ncn+을/jco
따르고	따르/pvg+고/ecx
있어요	있/px+어/ef+요/jxf
.	./sf

관성의	관성/ncn+의/jcm
법칙이란	법칙/ncn+이/jp+란/jxc
어떤	어떤/mmd
것인데	것/nbn+이/jp+ㄴ데/ef
?	?/sf
그	그/mmd
아이는	아이/ncn+는/jxc
자세를	자세/ncn+를/jco
가다듬고	가다듬/pvg+고/ecc
천천히	천천/ncn+히/xsa
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf

옐/	./sf
쨍/	./sf
우리들은	우리/npp+들/xsn+은/jxc
그	그/mmd
말을	말/ncn+을/jco
듣고는	듣/pvg+고/ecc+는/jxc
갑자기	갑자기/mag
웃음을	웃음/ncn+을/jco
터뜨렸다	터뜨리/pvg+었/ep+다/ef
.	./sf

그	그/mmd
아이는	아이/ncn+는/jxc
자신의	자신/npp+의/jcm
친구들이	친구/ncn+들/xsn+이/jcs
공	공/ncn
쪽으로	쪽/nbn+으로/jca
달려가는	달리/pvg+어/ecs+가/pvg+는/etm
것을	것/nbn+을/jco
바라보면서	바라보/pvg+면서/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf

자	자/ii
,	,/sp
보세요	보/pvg+시/ep+어/ef+요/jxf
!	!/sf
한번	한/nnc+번/nbu
힘을	힘/ncn+을/jco
가해서	가하/pvg+어서/ecs
움직이면	움직이/pvg+면/ecs
쭉	쭉/mag
미끄러지죠	미끄러지/pvg+지/ef+요/jxf
?	?/sf
그럼	그럼/maj
똑같은	똑같/paa+은/etm
일을	일/ncn+을/jco
풀	풀/ncn
위에서	위/ncn+에서/jca
해보세요	하/pvg+어/ecx+보/px+시/ep+어/ef+요/jxf
.	./sf

시험삼아	시험/ncn+삼/pvg+아/ecs
해보니	하/pvg+어/ecx+보/px+니/ecs
,	,/sp
풀	풀/ncn
위에서는	위/ncn+에서/jca+는/jxc
50	50/nnc
cm	cm/su
정도도	정도/ncn+도/jxc
나아가지	나아가/pvg+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf

그것은	그것/npd+은/jxc
우리나라	우리/npp+나라/ncn
말로	말/ncn+로/jca
설명하면	설명/ncpa+하/xsv+면/ecs
이렇게	이렇/pad+게/ecx
돼요	되/pvg+어/ef+요/jxf
.	./sf

즉	즉/mag
,	,/sp
풀	풀/ncn
위를	위/ncn+를/jco
미끄러지려고	미끄러지/pvg+려고/ecs
하면	하/pvg+면/ecs
어떤	어떤/mmd
힘이	힘/ncn+이/jcs
강하게	강하/paa+게/ecs
작용해서	작용/ncpa+하/xsv+어서/ecs
그것을	그것/npd+을/jco
멈추게	멈추/pvg+게/ecx
해요	하/px+어/ef+요/jxf
.	./sf

얼음	얼음/ncn
위에서는	위/ncn+에서/jca+는/jxc
이	이/mmd
